Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719132850,5062.07421875,1980,1,1.0625,40358.59504699707,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,27.51422119140625,4.839988708496094,41.68010330200195,9.952667236328125,59.51589584350586,47.14323425292969,28.385169982910156,18.342811584472656,19.170211791992188,11.539558410644531,69.54891967773438,10.1201171875,7879061504,20937863168,6681518080,16448507904
199,1767719132851,5062.077117919922,1980,1,0.7375,40358.6180267334,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.38240432739258,7.1059417724609375,54.02580642700195,17.680618286132813,94.91175079345703,37.31766128540039,100,100,28.232322692871094,0.47857666015625,90.87254333496094,36.705081939697266,7879061504,20937863168,6681710592,16448507904
199,1767719133051,5062.182418823242,1980,1,0.7375,40359.98471069336,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.75602722167969,17.665367126464844,40.676063537597656,40.31846237182617,39.6175422668457,30.65880584716797,37.9397087097168,44.34325408935547,37.36924362182617,14.838302612304688,67.54246520996094,16.31952667236328,7879061504,20937863168,6699270144,16662106112
199,1767719133251,5062.286026000977,1980,1,0.7375,40361.16441345215,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.25847244262695,11.063934326171875,56.696414947509766,13.404022216796875,60.01980972290039,18.49468231201172,32.91527557373047,58.54005432128906,50.193328857421875,11.949134826660156,58.96767044067383,21.17412567138672,7879061504,20937863168,6712242176,16668172288
199,1767719133451,2999.883102416992,1980,1,0.7375,40362.42010498047,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.992469787597656,11.835151672363281,63.73610305786133,14.270599365234375,32.08740234375,27.516868591308594,21.40467071533203,71.98258209228516,48.22774887084961,12.81781005859375,67.35599517822266,20.72277069091797,7879061504,20937863168,6725341184,16673320960
199,1767719133652,3996.915267944336,1980,1,0.7375,40364.03564453125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,81.16117858886719,53.233951568603516,76.91300964355469,69.8954086303711,81.09911346435547,60.27569580078125,66.50220489501953,74.04013061523438,79.38314819335938,60.781673431396484,80.89244079589844,71.8354263305664,7879061504,20937863168,6771335168,16700981248
200,1767719133852,5062.626983642578,1980,1,0.7375,40365.454177856445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.18440246582031,47.518768310546875,56.83535385131836,62.731590270996094,59.15147399902344,45.64103317260742,49.728294372558594,70.62632751464844,74.91199493408203,45.3919792175293,74.56790161132813,46.98594665527344,7879061504,20937863168,6776590336,16693096448
199,1767719134052,4277.356857299805,1980,1,0.7375,40367.13316345215,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.7714614868164,64.25892639160156,79.68551635742188,62.5531120300293,75.88262176513672,62.18944549560547,81.62724304199219,70.46138763427734,69.5670166015625,53.52094650268555,80.57691955566406,62.60696029663086,7879061504,20937863168,6725140480,16730710016
199,1767719134253,4277.527770996094,1980,1,0.7125,40368.909591674805,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,93.30122375488281,87.22930908203125,93.72396087646484,94.44717407226563,92.60234069824219,88.93574523925781,91.16353607177734,91.4228744506836,91.8057861328125,91.83450317382813,96.13260650634766,95.3968734741211,7879061504,20937863168,6691213312,16740397056
200,1767719134453,5063.117950439453,1980,1,0.7375,40370.519287109375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,87.85604095458984,60.75849533081055,72.38044738769531,85.46550750732422,78.59053802490234,65.55592346191406,71.25598907470703,75.55208587646484,85.83787536621094,63.0330696105957,82.74547576904297,71.72196960449219,7879061504,20937863168,6687600640,16741777408
