Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719173274,5086.363739013672,1980,1,0.7125,40640.526794433594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.32091522216797,1.2281265258789063,67.34387969970703,0,32.94593811035156,2.8889617919921875,7.4734649658203125,7.194633483886719,32.954620361328125,64.95357513427734,16.49437713623047,4.181877136230469,7879061504,20937863168,6677356544,16435515392
188,1767719173286,5086.372421264648,1980,1,0.7375,40640.631256103516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.75082015991211,84.6977310180664,38.090267181396484,58.66945266723633,63.191497802734375,30.561492919921875,38.72158432006836,35.82007598876953,61.61001968383789,88.33816528320313,100,42.9582633972168,7879061504,20937863168,6677815296,16437170176
199,1767719173475,3024.827194213867,1980,1,0.7125,40641.795349121094,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,38.617008209228516,15.553085327148438,55.91260528564453,10.981765747070313,62.27375793457031,15.757347106933594,28.932029724121094,19.665237426757813,39.72760772705078,39.4006462097168,60.06898498535156,27.064529418945313,7879061504,20937863168,6696251392,16650813440
199,1767719173675,5086.625564575195,1980,1,0.7125,40643.294204711914,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,81.47567749023438,43.08380889892578,67.23770141601563,40.393184661865234,67.31320190429688,42.16089630126953,48.7387809753418,70.97022247314453,77.26811218261719,56.2897834777832,63.503662109375,44.32883834838867,7879061504,20937863168,6730575872,16676614144
200,1767719173875,5086.772018432617,1980,1,0.7125,40644.861236572266,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.74366760253906,41.25836181640625,60.36329650878906,62.158164978027344,59.9033203125,46.16548156738281,40.390071868896484,66.87837982177734,53.26664733886719,50.80067443847656,75.45609283447266,47.09732437133789,7879061504,20937863168,6769778688,16717811712
200,1767719174076,2002.2514343261719,1980,1,0.7375,40646.49055480957,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.46627807617188,49.69733428955078,66.33294677734375,64.3411636352539,86.80801391601563,72.18838500976563,53.47233581542969,74.1934814453125,68.91876983642578,51.69926452636719,71.73518371582031,51.268333435058594,7879061504,20937863168,6787883008,16761053184
199,1767719174277,3025.484329223633,1980,1,0.7375,40648.31872558594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,93.74050903320313,91.12568664550781,93.3458251953125,90.78334045410156,91.73390197753906,87.5354995727539,89.65009307861328,90.7666015625,93.98613739013672,91.56718444824219,92.8768310546875,90.33007049560547,7879061504,20937863168,6851661824,16846508032
200,1767719174477,3025.6383056640625,1980,1,0.7125,40649.81369018555,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,79.58708190917969,49.36897277832031,72.625,47.327606201171875,71.02629089355469,45.51011657714844,56.66410827636719,78.63548278808594,73.78858184814453,53.817543029785156,87.44671630859375,70.72339630126953,7879061504,20937863168,6827433984,16769990656
200,1767719174678,4302.458404541016,1980,1,0.7125,40651.04318237305,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.94530487060547,9.1053466796875,58.36647033691406,16.99340057373047,40.805259704589844,11.752555847167969,14.544319152832031,80.44928741455078,42.54457473754883,23.805648803710938,79.14420318603516,43.72509765625,7879061504,20937863168,6808416256,16772694016
199,1767719174878,4022.4278717041016,1980,1,0.7125,40652.64241027832,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.82571411132813,40.30129623413086,77.370849609375,53.63358688354492,69.67491912841797,43.7606086730957,59.13932418823242,58.485748291015625,66.16339111328125,64.96333312988281,81.12579345703125,65.53759765625,7879061504,20937863168,6838386688,16783736832
199,1767719175079,4022.5595092773438,1980,1,0.7125,40653.96269226074,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.73453140258789,18.204421997070313,66.11365509033203,18.55743408203125,65.94707489013672,15.53155517578125,24.91289520263672,69.75897979736328,57.230499267578125,28.12506866455078,59.97074508666992,47.372779846191406,7879061504,20937863168,6838984704,16785608704
200,1767719175279,3026.1578826904297,1980,1,1.05625,40655.24946594238,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.99259948730469,12.577255249023438,56.62326431274414,20.074386596679688,52.43783187866211,10.604301452636719,28.43415069580078,58.28211212158203,43.36943435668945,31.451644897460938,66.05712890625,39.170494079589844,7879061504,20937863168,6846148608,16782315520
200,1767719175480,4022.790542602539,1980,1,0.7125,40656.46772766113,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.192237854003906,28.04669189453125,69.77568054199219,9.052650451660156,65.60836791992188,17.290618896484375,19.511138916015625,53.45171356201172,33.52619171142578,27.588668823242188,61.2963981628418,20.786705017089844,7879061504,20937863168,6851698688,16783130624
200,1767719175680,2003.3955841064453,1980,1,1.0625,40657.802474975586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.07081985473633,26.519065856933594,57.08523941040039,29.05223846435547,100,13.1915283203125,25.518226623535156,58.61867141723633,39.9401741027832,27.940025329589844,63.931697845458984,35.851531982421875,7879061504,20937863168,6857814016,16789184512
199,1767719175881,5088.145660400391,1980,1,1.0625,40659.560470581055,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.11865997314453,63.66912078857422,63.20448684692383,75.85689544677734,87.52349090576172,48.09540939331055,66.66517639160156,78.93628692626953,67.62890625,52.914981842041016,86.73004150390625,66.48596954345703,7879061504,20937863168,6858952704,16864841728
199,1767719176081,5088.288970947266,1980,1,1.05625,40661.11445617676,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.156005859375,69.83072662353516,75.18529510498047,65.39732360839844,77.93567657470703,55.75890350341797,89.87183380126953,86.1047592163086,59.1988410949707,83.71275329589844,71.79957580566406,68.33349609375,7879061504,20937863168,6833594368,16830865408
199,1767719176282,2549.6487884521484,1980,1,1.0625,40662.60694885254,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.17064666748047,28.064529418945313,71.19636535644531,32.945777893066406,72.98924255371094,21.883621215820313,76.62156677246094,66.75775909423828,64.6582260131836,31.0966796875,54.07829666137695,50.415985107421875,7879061504,20937863168,6813110272,16734507008
199,1767719176482,3026.9313049316406,1980,1,1.0625,40664.14376831055,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.96764373779297,38.97378921508789,77.15750122070313,55.05194854736328,69.85978698730469,37.30776596069336,55.40435791015625,70.09262084960938,75.4307861328125,43.33192443847656,71.27349853515625,58.52167892456055,7879061504,20937863168,6764249088,16729849856
200,1767719176682,5088.65217590332,1237.5,2,1.0625,40665.45692443848,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.02526092529297,11.946281433105469,50.59435272216797,22.661766052246094,71.0306625366211,11.917030334472656,37.84727096557617,68.45358276367188,52.536529541015625,29.28046417236328,73.09929656982422,34.91405487060547,7879061504,20937863168,6702931968,16727580672
200,1767719176882,4303.847305297852,1980,1,1.0625,40666.84364318848,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.81428909301758,14.28631591796875,66.61416625976563,13.114738464355469,39.46828842163086,13.220146179199219,27.55756378173828,71.06848907470703,30.23613739013672,32.811553955078125,59.98847198486328,25.81664276123047,7879061504,20937863168,6673797120,16724758528
199,1767719177083,4303.97395324707,1980,1,0.7375,40668.417892456055,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.37406921386719,23.552146911621094,59.52024459838867,26.17852020263672,60.22099304199219,14.991050720214844,35.069053649902344,66.4040298461914,69.7213134765625,27.263816833496094,54.03401184082031,55.87746810913086,7879061504,20937863168,6648229888,16718204928
200,1767719177283,5088.979217529297,1980,1,0.7375,40669.814529418945,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.28512573242188,16.274436950683594,60.680152893066406,35.697784423828125,59.861080169677734,13.467384338378906,27.26715087890625,75.39446258544922,59.92168426513672,37.303321838378906,70.79368591308594,38.84378433227539,7879061504,20937863168,6629515264,16714629120
199,1767719177483,4304.204498291016,1980,1,0.7375,40671.23310852051,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.961936950683594,16.955368041992188,68.31290435791016,26.90723419189453,61.60414505004883,24.061050415039063,49.65057373046875,43.61887741088867,57.047760009765625,43.021461486816406,70.58700561523438,33.405982971191406,7879061504,20937863168,6629371904,16717287424
200,1767719177684,2550.7901153564453,1980,1,0.7375,40672.824127197266,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.1193618774414,28.336280822753906,74.03329467773438,28.898590087890625,65.07408142089844,14.707817077636719,65.27853393554688,60.5413818359375,62.70520782470703,47.29256057739258,70.20948791503906,53.146949768066406,7879061504,20937863168,6617300992,16722030592
199,1767719177884,5089.324645996094,1980,1,0.7375,40674.24891662598,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.93959426879883,19.89594268798828,65.52595520019531,15.354049682617188,49.575279235839844,14.724472045898438,26.21240997314453,74.31318664550781,39.179664611816406,47.66306686401367,49.90755081176758,37.713287353515625,7879061504,20937863168,6608662528,16726900736
200,1767719178084,5089.472839355469,1980,1,0.7375,40675.897201538086,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,78.62677001953125,24.39897918701172,61.0637321472168,30.183853149414063,68.5880126953125,44.875205993652344,42.942508697509766,58.66674041748047,69.33757781982422,45.069854736328125,95.1192626953125,36.48004913330078,7879061504,20937863168,6618574848,16725204992
200,1767719178285,4304.732864379883,1980,1,0.7375,40677.52436828613,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.21707153320313,47.937496185302734,70.34065246582031,69.92340087890625,77.10123443603516,44.872135162353516,63.562320709228516,65.68849182128906,85.02378845214844,75.83342742919922,72.91651153564453,79.6611557006836,7879061504,20937863168,6632894464,16724062208
199,1767719178485,4024.9832305908203,1980,1,0.7375,40679.13998413086,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,82.28410339355469,42.19636154174805,81.41397094726563,53.39439010620117,76.74539184570313,54.48624801635742,64.51856994628906,64.71653747558594,70.08184814453125,64.43190002441406,79.24028015136719,61.91259765625,7879061504,20937863168,6663368704,16734081024
200,1767719178685,4025.1145935058594,1980,1,0.7375,40680.62120056152,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,73.10868072509766,36.831932067871094,68.96551513671875,24.48041534423828,68.93746948242188,30.775650024414063,35.875274658203125,70.09851837158203,66.7651138305664,49.351783752441406,49.109527587890625,82.33234405517578,7879061504,20937863168,6657331200,16730484736
200,1767719178886,5090.018997192383,1980,1,0.7375,40682.08262634277,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.10832214355469,39.914825439453125,68.40064239501953,35.426048278808594,56.10934829711914,31.394126892089844,35.485939025878906,63.59498596191406,68.78526306152344,38.80801773071289,57.98649597167969,57.559879302978516,7879061504,20937863168,6669742080,16749068288
200,1767719179086,4025.4171447753906,1980,1,0.7375,40683.831771850586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.78071594238281,23.890052795410156,73.88402557373047,24.17353057861328,68.117919921875,51.926265716552734,51.11260986328125,68.96488189697266,59.36415481567383,48.13286209106445,64.93022155761719,50.58978271484375,7879061504,20937863168,6668177408,16743813120
