Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719146086,4004.755859375,1980,1,0.7375,40452.387939453125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.01091003417969,14.692878723144531,6.157020568847656,100,57.79199981689453,8.998092651367188,29.234718322753906,17.50061798095703,85.30560302734375,47.187461853027344,34.17730712890625,62.12788009643555,7879061504,20937863168,6685761536,16665874432
199,1767719146087,4004.758529663086,1980,1,0.7375,40452.417877197266,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.80839920043945,100,48.583316802978516,100,100,75.34886169433594,74.32987213134766,44.22995376586914,100,100,73.38447570800781,82.10535430908203,7879061504,20937863168,6688665600,16665874432
200,1767719146287,4284.817764282227,1980,1,0.7375,40453.932205200195,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.124061584472656,46.38909912109375,60.33835983276367,37.183353424072266,66.03715515136719,25.45734405517578,46.27875900268555,64.45484924316406,68.48479461669922,55.53213882446289,77.2924575805664,32.30731201171875,7879061504,20937863168,6635339776,16698707968
199,1767719146487,5070.810958862305,1980,1,0.7375,40455.16687011719,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.484352111816406,27.623062133789063,42.27238845825195,19.738784790039063,62.68318557739258,11.150047302246094,23.487327575683594,75.61335754394531,49.25104522705078,27.98724365234375,65.81413269042969,18.221031188964844,7879061504,20937863168,6655995904,16703963136
200,1767719146687,5070.8709716796875,1980,1,1.0625,40456.46124267578,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.18360900878906,25.722076416015625,44.49772262573242,14.720756530761719,26.529495239257813,11.774551391601563,26.94775390625,71.11306762695313,60.837806701660156,22.52667999267578,73.28379821777344,22.914596557617188,7879061504,20937863168,6665314304,16709660672
200,1767719146888,5070.95329284668,1980,1,0.7375,40457.76870727539,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.55493927001953,13.475494384765625,52.97484588623047,27.180809020996094,41.51799774169922,12.603096008300781,21.878326416015625,73.54402160644531,74.63723754882813,16.06726837158203,67.20783996582031,35.31291198730469,7879061504,20937863168,6671200256,16713678848
200,1767719147088,5071.100646972656,1980,1,0.7375,40459.181640625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.63008117675781,24.728302001953125,59.43961715698242,16.723037719726563,82.53489685058594,19.9102783203125,40.858062744140625,53.720542907714844,69.37950897216797,31.448959350585938,68.61949157714844,15.791191101074219,7879061504,20937863168,6677704704,16717697024
199,1767719147289,4285.399124145508,1980,1,0.7375,40460.587661743164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.16234588623047,20.85887908935547,74.55734252929688,16.44696044921875,68.49282836914063,13.371849060058594,31.184188842773438,67.73109436035156,49.60697555541992,42.22185134887695,57.61155319213867,30.71302032470703,7879061504,20937863168,6686187520,16710901760
199,1767719147489,1985.0454711914063,1980,1,0.7375,40462.10824584961,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.51486206054688,37.47526931762695,73.65455627441406,34.07734680175781,52.66984558105469,49.906639099121094,51.1455078125,66.99939727783203,55.66461181640625,53.07936096191406,64.67406463623047,57.774166107177734,7879061504,20937863168,6695718912,16710184960
200,1767719147689,3008.8133697509766,1980,1,0.7375,40463.37559509277,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.54248046875,25.846153259277344,43.282936096191406,24.676292419433594,50.1224479675293,13.933326721191406,48.01457977294922,53.329368591308594,50.79074478149414,33.503135681152344,46.9918212890625,26.565589904785156,7879061504,20937863168,6702235648,16719638528
200,1767719147889,4005.983428955078,1980,1,0.7375,40464.781188964844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.73438262939453,14.638114929199219,59.41111755371094,28.66595458984375,66.19270324707031,15.628166198730469,41.00898742675781,63.6368522644043,38.65847396850586,44.143672943115234,57.406105041503906,37.77200698852539,7879061504,20937863168,6704697344,16720945152
200,1767719148090,3009.0032501220703,1980,1,0.7375,40465.92527770996,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.09234619140625,14.8712158203125,51.10216522216797,13.047042846679688,27.323890686035156,13.893936157226563,42.25381851196289,64.67465209960938,32.09410858154297,15.535873413085938,40.54951477050781,27.93841552734375,7879061504,20937863168,6700539904,16724889600
200,1767719148290,5071.699768066406,1980,1,0.7375,40467.107833862305,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.45305633544922,15.707427978515625,52.17254638671875,8.869049072265625,35.61528015136719,12.5401611328125,35.1063232421875,63.15497589111328,48.65632629394531,15.240699768066406,45.08161926269531,31.2957763671875,7879061504,20937863168,6705971200,16725233664
200,1767719148491,5071.779022216797,1980,1,0.7375,40468.38459777832,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.50608825683594,14.023300170898438,51.042625427246094,23.152816772460938,36.53079605102539,20.378822326660156,45.108489990234375,62.3906135559082,46.441200256347656,16.71068572998047,69.81599426269531,45.304412841796875,7879061504,20937863168,6718042112,16727482368
200,1767719148691,3009.286590576172,1980,1,0.7375,40469.725646972656,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.87342834472656,14.625396728515625,71.51561737060547,20.65008544921875,45.50470733642578,20.558555603027344,46.38960266113281,67.67399597167969,51.393795013427734,24.942108154296875,54.639225006103516,47.24235534667969,7879061504,20937863168,6728790016,16728625152
199,1767719148892,4006.613510131836,1980,1,0.7125,40471.14326477051,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.2581787109375,20.068214416503906,67.88308715820313,33.3446044921875,46.1360969543457,32.79991912841797,41.60741424560547,65.43438720703125,61.292015075683594,28.653953552246094,56.09293746948242,65.10986328125,7879061504,20937863168,6730645504,16730005504
200,1767719149092,4286.442230224609,1980,1,0.7375,40472.43687438965,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.6749267578125,21.34593963623047,57.37594223022461,26.269149780273438,50.76380157470703,17.83483123779297,49.0369873046875,71.79959869384766,38.228187561035156,41.408302307128906,56.924320220947266,39.79834747314453,7879061504,20937863168,6730330112,16733437952
200,1767719149293,5072.174560546875,1980,1,0.7375,40473.73490905762,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.570465087890625,27.625343322753906,52.11778259277344,19.0633544921875,45.75706481933594,16.24512481689453,46.995121002197266,65.24615478515625,47.46663284301758,13.869422912597656,55.42386245727539,29.397537231445313,7879061504,20937863168,6733103104,16735916032
200,1767719149493,1986.2174835205078,1980,1,0.7125,40475.33004760742,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.156272888183594,21.839393615722656,62.414581298828125,15.718757629394531,84.31547546386719,14.364341735839844,51.7711181640625,65.81036376953125,44.441932678222656,52.01888656616211,58.60197067260742,38.52981185913086,7879061504,20937863168,6741020672,16735694848
199,1767719149693,3009.9422454833984,1980,1,0.7125,40476.91796875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,81.4326400756836,36.23762893676758,69.65370178222656,42.50313186645508,81.82136535644531,26.729835510253906,68.98616027832031,68.62542724609375,72.89879608154297,59.13358688354492,81.64433288574219,66.69865417480469,7879061504,20937863168,6734118912,16731512832
199,1767719149894,5072.60807800293,1980,1,0.7125,40478.39213562012,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.24029541015625,25.413978576660156,65.58737182617188,18.479034423828125,59.155208587646484,24.262847900390625,36.14054870605469,78.46039581298828,52.68709182739258,43.82502365112305,63.39784240722656,53.38384246826172,7879061504,20937863168,6710157312,16725102592
200,1767719150094,3010.2333221435547,1980,1,0.7125,40479.843673706055,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.36891174316406,25.65496063232422,67.60772705078125,46.570980072021484,71.8238525390625,26.12055206298828,36.83635711669922,83.93065643310547,54.515323638916016,54.35929489135742,71.73918914794922,37.192203521728516,7879061504,20937863168,6661529600,16736673792
199,1767719150294,4007.6566009521484,1980,1,0.7125,40481.52670288086,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,73.31954193115234,30.18170166015625,74.15476989746094,27.596450805664063,66.40682220458984,35.430816650390625,37.10243225097656,76.40877532958984,49.439903259277344,60.80529022216797,55.582191467285156,60.01759338378906,7879061504,20937863168,6616645632,16734666752
