Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719118274,2990.4820709228516,1980,1,0.7125,40256.01901245117,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,12.234840393066406,3.5304946899414063,59.54310607910156,18.559341430664063,33.563697814941406,20.864212036132813,24.617599487304688,12.653076171875,42.00486755371094,0.5559463500976563,22.074539184570313,0,7879061504,20937863168,7094116352,16477782016
199,1767719118275,5053.095352172852,1980,1,0.7125,40256.04556274414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.18236541748047,100,45.080509185791016,25.69903564453125,70.24586486816406,100,51.525794982910156,32.41344451904297,54.499839782714844,1.7196578979492188,100,47.201568603515625,7879061504,20937863168,7094128640,16477782016
200,1767719118474,3987.444778442383,1980,1,0.7125,40257.41264343262,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.42108154296875,24.816009521484375,61.7136116027832,16.16893768310547,66.8033676147461,19.68891143798828,37.50041580200195,31.728477478027344,31.945518493652344,24.180374145507813,67.24850463867188,22.99560546875,7879061504,20937863168,7108493312,16490135552
200,1767719118675,5053.395401000977,1980,1,0.7125,40258.78414916992,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.52347183227539,32.647247314453125,52.79719543457031,20.227096557617188,100,9.450859069824219,16.23204803466797,71.30004119873047,49.19498825073242,20.8084716796875,56.614139556884766,23.095932006835938,7879061504,20937863168,7139749888,16705265664
200,1767719118875,4268.145660400391,1980,1,0.7125,40260.1471862793,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.66435623168945,18.774620056152344,55.59757995605469,27.94286346435547,75.94292449951172,15.010787963867188,25.86810302734375,63.67892074584961,72.0987548828125,25.235641479492188,71.79345703125,29.675918579101563,7879061504,20937863168,7203946496,16788221952
200,1767719119076,3987.8186798095703,1980,1,0.7125,40261.486267089844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.29082489013672,15.992156982421875,64.28694152832031,17.496803283691406,23.0260009765625,56.076255798339844,19.985877990722656,59.616214752197266,68.80703735351563,14.259323120117188,68.51628112792969,26.01740264892578,7879061504,20937863168,7165902848,16713523200
200,1767719119276,3987.9252014160156,1980,1,0.70625,40262.6960144043,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.55744171142578,18.280990600585938,56.17805862426758,11.596122741699219,35.568931579589844,9.962020874023438,18.057601928710938,56.65972137451172,52.03826904296875,16.307403564453125,73.40214538574219,8.094322204589844,7879061504,20937863168,7167770624,16711520256
199,1767719119477,2508.365463256836,1980,1,0.7125,40264.04249572754,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.1623420715332,31.246620178222656,71.89275360107422,18.269798278808594,48.77126693725586,43.9046516418457,61.237831115722656,52.177127838134766,51.857887268066406,26.0362548828125,48.6132926940918,53.81257629394531,7879061504,20937863168,7160573952,16712093696
200,1767719119677,2991.2940826416016,1980,1,0.7125,40265.677825927734,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.93391418457031,49.183433532714844,67.05860137939453,59.32593536376953,85.28278350830078,41.81441116333008,91.72723388671875,66.94879150390625,78.6103515625,49.05564498901367,70.51078796386719,69.84214782714844,7879061504,20937863168,7153631232,16724455424
199,1767719119877,2508.6856536865234,1980,1,0.7125,40267.05702209473,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,78.4896469116211,11.846755981445313,55.49894332885742,32.884376525878906,100,13.950675964355469,30.4837646484375,60.02692794799805,66.81442260742188,29.740455627441406,62.23615646362305,43.162105560302734,7879061504,20937863168,7142498304,16723316736
199,1767719120078,3988.458053588867,1980,1,0.7125,40268.38807678223,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.704952239990234,16.17804718017578,56.666019439697266,23.106239318847656,100,11.811073303222656,37.92544937133789,46.34588623046875,60.23525619506836,18.917556762695313,63.85525131225586,22.280433654785156,7879061504,20937863168,7143153664,16722243584
200,1767719120278,4268.998962402344,1980,1,0.7125,40269.77494812012,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.85154724121094,17.496315002441406,63.74931716918945,27.48706817626953,100,23.27581787109375,43.3336067199707,48.67027282714844,60.79437255859375,26.519371032714844,61.688072204589844,28.968955993652344,7879061504,20937863168,7116292096,16724344832
199,1767719120479,5054.557632446289,1980,1,1.0625,40271.10626220703,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.27143859863281,30.12261962890625,63.07578659057617,24.472854614257813,56.46260070800781,32.426368713378906,61.6397705078125,63.0942497253418,57.139041900634766,27.02788543701172,66.8040771484375,46.77021408081055,7879061504,20937863168,7114137600,16732450816
199,1767719120680,3988.897491455078,1980,1,1.0375,40272.68864440918,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.34014129638672,55.694637298583984,64.34089660644531,59.72568893432617,74.94921875,64.20591735839844,100,63.994140625,73.32180786132813,65.92036437988281,65.60220336914063,69.50414276123047,7879061504,20937863168,7127171072,16829464576
200,1767719120880,2992.0624084472656,1980,1,1.0625,40274.2833404541,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.82749938964844,42.237213134765625,77.81597900390625,44.50679397583008,78.9231185913086,41.76689147949219,58.703033447265625,70.09283447265625,72.6932373046875,44.948768615722656,61.31182098388672,45.56932830810547,7879061504,20937863168,7146045440,16828698624
200,1767719121080,5054.969650268555,1237.5,2,1.05625,40275.684814453125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.39701080322266,29.572113037109375,79.52416229248047,26.423049926757813,70.75214385986328,20.408058166503906,36.99692916870117,54.34069061279297,53.75594711303711,28.483139038085938,54.788475036621094,52.38893508911133,7879061504,20937863168,7143698432,16737107968
199,1767719121280,3989.3084259033203,1980,1,0.7125,40277.07173156738,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.82952117919922,18.59790802001953,75.64041137695313,13.446754455566406,56.416893005371094,15.524871826171875,30.058067321777344,63.541542053222656,72.504638671875,17.998939514160156,61.51411819458008,46.437625885009766,7879061504,20937863168,7148060672,16738484224
199,1767719121481,1967.363296508789,1980,1,1.0625,40278.52655029297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.82891082763672,56.653499603271484,68.01960754394531,35.08074951171875,73.84396362304688,31.184890747070313,37.58610534667969,61.422393798828125,50.1877326965332,46.31510925292969,61.20301055908203,48.44314956665039,7879061504,20937863168,7125872640,16723656704
