Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719159082,4292.357955932617,1980,1,0.7125,40540.232498168945,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.51976776123047,34.855133056640625,26.557167053222656,0,21.307281494140625,2.8325424194335938,20.14593505859375,5.286521911621094,7.928558349609375,0,64.71073150634766,0,7879061504,20937863168,6339129344,16442728448
199,1767719159083,5078.083831787109,1980,1,1.0625,40540.270935058594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,93.22318267822266,67.20101928710938,95.06930541992188,46.68537902832031,72.84354400634766,62.979251861572266,60.94794464111328,46.32657241821289,62.05619430541992,75.58088684082031,60.26216125488281,72.09410095214844,7879061504,20937863168,6338945024,16442728448
199,1767719159282,5078.165054321289,1980,1,1.0625,40541.4430847168,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.272098541259766,34.623497009277344,45.86323928833008,10.987686157226563,26.38922119140625,18.5804443359375,21.067520141601563,16.15380859375,25.3382568359375,14.8291015625,72.67684936523438,10.901695251464844,7879061504,20937863168,6357282816,16660369408
199,1767719159483,4012.8206329345703,1980,1,1.05625,40542.770446777344,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.603050231933594,92.72747802734375,57.59318542480469,12.846977233886719,44.226539611816406,14.325981140136719,25.228744506835938,75.66543579101563,50.416927337646484,27.02129364013672,58.560089111328125,27.595611572265625,7879061504,20937863168,6380023808,16667086848
200,1767719159683,5078.367263793945,1980,1,0.7375,40544.17349243164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,85.39411163330078,96.29684448242188,50.798336029052734,45.741146087646484,61.15439987182617,30.677322387695313,44.742759704589844,56.10032272338867,53.00188064575195,25.630966186523438,59.34709548950195,47.58692932128906,7879061504,20937863168,6391894016,16674258944
200,1767719159883,5078.483459472656,1980,1,1.05625,40545.64228820801,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,86.64608764648438,94.2897720336914,65.71916961669922,34.718467712402344,66.36322021484375,26.620330810546875,47.54216384887695,51.4468879699707,70.68003845214844,32.427940368652344,75.76437377929688,35.820655822753906,7879061504,20937863168,6410788864,16685907968
200,1767719160084,3015.7449798583984,1980,1,0.7375,40547.17182922363,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,89.65165710449219,96.07707214355469,74.42599487304688,33.38499450683594,72.35401153564453,35.596458435058594,50.72763442993164,53.3718376159668,77.03802490234375,37.678165435791016,72.57260131835938,42.58316421508789,7879061504,20937863168,6441422848,16683831296
200,1767719160284,3015.880401611328,1980,1,0.7375,40548.69842529297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.76361846923828,92.37554168701172,61.152217864990234,15.21051025390625,53.968894958496094,39.216983795166016,33.322174072265625,67.13778686523438,47.736106872558594,42.93458938598633,55.05134582519531,43.85615921020508,7879061504,20937863168,6449569792,16686645248
199,1767719160484,5078.908584594727,1980,1,0.7375,40550.364669799805,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,88.54393768310547,91.48941802978516,69.01522064208984,60.5185546875,86.60406494140625,45.891990661621094,61.62699508666992,63.39954376220703,72.5262680053711,70.25154876708984,87.42223358154297,70.46531677246094,7879061504,20937863168,6480326656,16694996992
199,1767719160684,4013.639175415039,1980,1,0.7375,40551.985916137695,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,88.17240142822266,94.85212707519531,76.5326919555664,53.93019104003906,72.43561553955078,47.99601745605469,65.52534484863281,68.45968627929688,60.8109245300293,69.18221282958984,68.87422180175781,70.31620788574219,7879061504,20937863168,6497607680,16780161024
