Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719365929,2694.1495056152344,1980,1,0.7125,42018.32931518555,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,91.34120178222656,92.6369857788086,89.39193725585938,83.239013671875,94.27515411376953,92.18729400634766,82.30052185058594,80.34752655029297,85.12531280517578,80.03643798828125,89.45601654052734,76.99890899658203,7879061504,20937863168,6769770496,13691011072
199,1767719365930,2694.1522521972656,1980,1,0.7125,42018.36003112793,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.86178588867188,98.94108581542969,100,100,89.30023193359375,84.8267822265625,91.9461441040039,74.86521911621094,66.26945495605469,95.53485107421875,70.94197082519531,88.0256576538086,7879061504,20937863168,6766657536,13687484416
200,1767719366130,2694.287338256836,1980,1,0.7125,42019.63606262207,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.39613723754883,31.044509887695313,29.377182006835938,25.32391357421875,38.61019515991211,20.224754333496094,43.639625549316406,66.92921447753906,42.502685546875,18.09747314453125,45.15618133544922,17.440292358398438,7879061504,20937863168,6788304896,13902438400
200,1767719366331,3144.3689880371094,1237.5,2,0.7125,42020.703216552734,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.2885856628418,10.574905395507813,27.575233459472656,65.58386993408203,45.701576232910156,8.563743591308594,49.18772888183594,30.050926208496094,46.4871711730957,14.756248474121094,47.812950134277344,19.425613403320313,7879061504,20937863168,6808051712,13904429056
199,1767719366531,3144.4546966552734,1980,1,0.7125,42021.93962097168,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.176753997802734,12.494979858398438,19.34070587158203,70.87455749511719,57.23794174194336,13.450592041015625,41.1806526184082,22.923484802246094,47.011619567871094,9.529632568359375,59.40732192993164,13.599540710449219,7879061504,20937863168,6827978752,13929926656
200,1767719366731,2694.627639770508,1980,1,0.7125,42023.160385131836,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.2783203125,30.80724334716797,21.420639038085938,66.0676498413086,62.6127815246582,9.30401611328125,37.8370361328125,29.49706268310547,50.53943634033203,6.205421447753906,55.424434661865234,7.828498840332031,7879061504,20937863168,6833233920,13934571520
200,1767719366932,2694.7449340820313,1980,1,0.7125,42024.44909667969,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.03921127319336,36.40671920776367,38.65544891357422,50.82693099975586,50.03661346435547,11.064895629882813,48.04316329956055,16.288429260253906,64.57778930664063,11.793830871582031,62.49085998535156,17.822723388671875,7879061504,20937863168,6847602688,13934354432
200,1767719367132,2694.900100708008,1980,1,0.7125,42025.82148742676,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.245418548583984,45.99956130981445,33.861488342285156,55.863033294677734,55.20430374145508,34.60002899169922,61.777252197265625,16.94060516357422,53.846588134765625,12.632568359375,62.865230560302734,31.33856964111328,7879061504,20937863168,6860001280,13936832512
200,1767719367333,2695.0313568115234,1237.5,2,0.7125,42027.044494628906,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.999088287353516,27.40308380126953,31.475997924804688,56.15916442871094,47.955013275146484,31.34136962890625,48.81061935424805,21.373558044433594,52.15007400512695,10.929855346679688,62.70115280151367,18.83995819091797,7879061504,20937863168,6861508608,13937393664
200,1767719367533,4137.852767944336,1980,1,0.7125,42028.3791809082,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.84962844848633,30.95624542236328,35.27647399902344,54.014278411865234,59.89590835571289,32.190452575683594,56.14328384399414,17.84571075439453,81.24683380126953,9.6260986328125,54.004268646240234,29.608116149902344,7879061504,20937863168,6871556096,13940101120
