Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767815121797,2139.036331176758,1980,1,0.7375,688.4692230224609,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,9.352943420410156,4.917579650878906,23.992874145507813,13.907112121582031,6.456108093261719,2.1715011596679688,85.48886108398438,60.5410270690918,11.408134460449219,1.548004150390625,67.28117370605469,14.778205871582031,7879061504,10733051904,5646082048,1728610304
197,1767815121800,2139.0413208007813,1980,1,0.7375,688.5024719238281,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,79.32405090332031,34.89302062988281,66.58146667480469,42.00274658203125,5.0459136962890625,0,100,56.449398040771484,12.62188720703125,0,68.5766372680664,76.15023803710938,7879061504,10733051904,5646356480,1728610304
199,1767815121998,2139.0966796875,1980,1,0.7125,689.2613983154297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.23225402832031,27.87085723876953,24.18390655517578,23.61370086669922,2.3025588989257813,0.3493804931640625,43.23920440673828,44.186397552490234,3.8283004760742188,0.34215545654296875,49.34771728515625,9.932159423828125,7879061504,10733051904,5659398144,1934106624
199,1767815122199,2963.265838623047,1980,1,0.7125,690.0594940185547,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,20.197105407714844,17.841262817382813,68.21871185302734,55.41497039794922,6.118553161621094,0,28.932342529296875,25.49738311767578,1.7757492065429688,0,54.36774444580078,11.450469970703125,7879061504,10733051904,5677821952,1948540928
199,1767815122399,2963.3937377929688,1980,1,0.70625,690.8424072265625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,28.355575561523438,23.7733154296875,67.35899353027344,54.07840347290039,0.8953399658203125,0.38214874267578125,42.8870735168457,27.264305114746094,3.585968017578125,0.782928466796875,59.663352966308594,21.735328674316406,7879061504,10733051904,5688569856,1949655040
199,1767815122599,5634.421920776367,1980,1,0.7125,691.7151336669922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.55305099487305,48.12759017944336,54.64156723022461,58.76961135864258,4.24334716796875,0.343353271484375,63.19908142089844,44.72351837158203,7.751747131347656,1.9279327392578125,54.344295501708984,13.714515686035156,7879061504,10733051904,5708513280,1957613568
199,1767815122799,2963.6363677978516,1980,1,0.7125,692.569580078125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.7609977722168,45.07818603515625,60.60249710083008,59.84482955932617,2.0538482666015625,0.163909912109375,37.51878356933594,21.32762908935547,11.365379333496094,0.2115478515625,58.9957389831543,23.756820678710938,7879061504,10733051904,5712183296,1960402944
199,1767815122999,7759.245071411133,1980,1,0.7125,693.3803558349609,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,25.84747314453125,24.550376892089844,43.89731216430664,43.37306213378906,0.5004959106445313,0,42.06276321411133,53.09626388549805,3.3489913940429688,0.1325225830078125,56.47541046142578,10.145484924316406,7879061504,10733051904,5715845120,1961537536
199,1767815123200,2963.8863220214844,1980,1,0.7125,694.3791198730469,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.03646850585938,67.97315979003906,64.32023620605469,57.40523910522461,2.82525634765625,0.6319656372070313,69.53619384765625,64.68628692626953,9.402702331542969,0.2441864013671875,57.05840301513672,28.272857666015625,7879061504,10733051904,5726695424,1968750592
199,1767815123400,2140.026809692383,1980,1,0.7125,695.2993621826172,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,39.84497833251953,38.35618209838867,65.96810913085938,54.13658142089844,7.3548126220703125,0.6779556274414063,50.96908950805664,48.062469482421875,13.811622619628906,0.9502487182617188,68.03363037109375,45.06698226928711,7879061504,10733051904,5742460928,1971040256
