Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767815574325,5797.819473266602,1960.0000000000002,2,0.7125,2559.6714477539063,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,20.398170471191406,17.687835693359375,72.27533721923828,54.27901077270508,0,0,16.033653259277344,12.970626831054688,2.6763229370117188,0,54.63316345214844,2.008819580078125,7879061504,10733051904,4859531264,1688207360
199,1767815574326,7927.610534667969,1980,1,0.7125,2559.6884002685547,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,17.73682403564453,77.18984985351563,51.288150787353516,15.6163330078125,0,0,47.57728958129883,64.60067749023438,14.75921630859375,0,100,88.53547668457031,7879061504,10733051904,4859580416,1688076288
199,1767815574526,5797.9078369140625,1980,1,0.70625,2560.498245239258,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,24.250396728515625,19.289939880371094,39.02931594848633,19.789642333984375,1.3687667846679688,0.418792724609375,37.48397445678711,34.191673278808594,7.645416259765625,0.19179534912109375,66.08863830566406,33.698387145996094,7879061504,10733051904,4870934528,1694019584
200,1767815574726,7927.675109863281,1237.5,2,0.7125,2561.257308959961,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,13.581253051757813,8.525093078613281,43.629032135009766,27.74420166015625,0.42333984375,0.1637725830078125,41.02289581298828,58.45451736450195,7.4981842041015625,0.1866912841796875,61.727691650390625,27.38072967529297,7879061504,10733051904,4895518720,1907576832
199,1767815574927,7927.73600769043,1980,1,0.7125,2562.117462158203,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.30693054199219,31.896133422851563,42.793949127197266,22.816261291503906,7.344627380371094,0.4994659423828125,43.27505874633789,46.84083938598633,8.535621643066406,0.4517974853515625,67.76666259765625,41.88452911376953,7879061504,10733051904,4902064128,1909878784
199,1767815575127,7927.850128173828,1980,1,0.7125,2563.0215454101563,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.70240020751953,46.76643371582031,57.496299743652344,31.704086303710938,1.5118408203125,0.151519775390625,41.7119026184082,46.39494705200195,13.310806274414063,0.0248870849609375,67.60575866699219,50.028568267822266,7879061504,10733051904,4923109376,1919442944
200,1767815575327,5798.302276611328,1980,1,0.7125,2563.879165649414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,38.20973205566406,34.10028839111328,48.609771728515625,32.929656982421875,0.6032638549804688,0.1805419921875,38.26005172729492,56.849246978759766,15.362739562988281,0.185699462890625,67.17704010009766,40.23637008666992,7879061504,10733051904,4926599168,1922994176
199,1767815575528,5798.420227050781,1980,1,0.7125,2564.7472076416016,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.43231201171875,27.593116760253906,44.00855255126953,28.601417541503906,7.3400115966796875,0.00115203857421875,44.473724365234375,60.72489547729492,12.55084228515625,0.08815765380859375,63.566524505615234,34.36328125,7879061504,10733051904,4934516736,1922363392
200,1767815575728,5798.517318725586,1980,1,0.7125,2565.802459716797,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.64268493652344,65.66134643554688,64.2235336303711,52.041595458984375,0.5012664794921875,0.16905975341796875,39.209068298339844,45.94007873535156,27.06549835205078,0,78.96232604980469,74.09951782226563,7879061504,10733051904,4946677760,1927716864
200,1767815575928,5798.641403198242,1980,1,0.7125,2566.7606506347656,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.571311950683594,40.974300384521484,62.287052154541016,44.286067962646484,7.77276611328125,0.1656646728515625,51.53194046020508,67.46705627441406,14.439071655273438,0.37308502197265625,65.3384780883789,47.53176498413086,7879061504,10733051904,4950081536,1929596928
199,1767815576129,7928.349624633789,1980,1,0.7125,2567.744873046875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.517967224121094,49.53041458129883,60.2576789855957,39.806766510009766,1.1821441650390625,1.2359466552734375,50.860469818115234,59.951114654541016,18.171051025390625,0,75.44538879394531,63.92070007324219,7879061504,10733051904,4954394624,1928392704
199,1767815576329,5798.863204956055,1980,1,0.7125,2568.678756713867,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.06534194946289,35.191673278808594,57.552974700927734,45.03359603881836,1.7172698974609375,1.2123641967773438,43.47114562988281,56.38813781738281,18.09770965576172,2.718353271484375,68.5770492553711,54.61360549926758,7879061504,10733051904,4951543808,1928286208
199,1767815576529,5798.937515258789,1980,1,0.70625,2569.4698333740234,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,24.57062530517578,17.961273193359375,40.03352355957031,16.40210723876953,9.425888061523438,0,29.17847442626953,39.81157302856445,9.569953918457031,0,64.60404968261719,52.482486724853516,7879061504,10733051904,4957954048,1928286208
199,1767815576729,7928.525894165039,1237.5,2,0.70625,2570.241226196289,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,31.42961883544922,29.81871795654297,36.28900909423828,15.091110229492188,0.49256134033203125,0.0527191162109375,28.74913787841797,42.23584747314453,6.943183898925781,0.07619476318359375,66.76974487304688,39.913612365722656,7879061504,10733051904,4962615296,1929338880
199,1767815576929,5799.081344604492,1980,1,0.7125,2571.1822204589844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.800567626953125,49.59658432006836,70.77653503417969,52.15729522705078,2.0073699951171875,1.5864944458007813,29.251243591308594,41.85820388793945,11.862762451171875,1.3033828735351563,63.21182632446289,28.706993103027344,7879061504,10733051904,4971753472,1934233600
199,1767815577130,7928.725067138672,1980,1,0.7125,2572.151809692383,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.48168182373047,43.57097625732422,62.64021682739258,38.519371032714844,2.077056884765625,6.674568176269531,50.8304557800293,51.6625862121582,15.97650146484375,0,71.47118377685547,48.08075714111328,7879061504,10733051904,4979974144,1938313216
199,1767815577330,5799.289077758789,1980,1,0.7125,2573.0700073242188,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.490257263183594,39.36978530883789,55.83665466308594,40.89646530151367,0.5424880981445313,0,39.3012809753418,53.962520599365234,17.77892303466797,0,76.23907470703125,52.848426818847656,7879061504,10733051904,4979982336,1942474752
200,1767815577530,5799.385986328125,1960.0000000000002,2,0.70625,2573.9736938476563,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.29093933105469,29.218101501464844,56.00756072998047,50.96787643432617,6.928169250488281,0.2581634521484375,43.28277587890625,49.61518859863281,14.552848815917969,0,63.1862678527832,32.89958190917969,7879061504,10733051904,4982419456,1942474752
199,1767815577730,5799.512237548828,1980,1,0.7125,2574.9707946777344,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.74732208251953,41.53183364868164,61.635223388671875,50.245338439941406,2.738739013671875,0,44.144500732421875,58.38569641113281,14.60089111328125,0,62.98741149902344,29.768203735351563,7879061504,10733051904,4980531200,1943384064
199,1767815577931,5799.631774902344,1960.0000000000002,1,0.7125,2575.9942932128906,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.12892150878906,55.00904083251953,68.93162536621094,46.90672302246094,2.1553115844726563,0.487274169921875,48.62286376953125,59.9222412109375,22.49555206298828,0.2933807373046875,75.20952606201172,56.49246597290039,7879061504,10733051904,4986953728,1942409216
199,1767815578131,5799.779235839844,1980,1,0.7125,2576.9974670410156,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.76774597167969,43.15537643432617,57.58279800415039,49.0029411315918,7.743446350097656,0.79052734375,65.8519287109375,71.77603149414063,17.67603302001953,0.5944061279296875,66.7719955444336,37.91920852661133,7879061504,10733051904,4986200064,1945669632
199,1767815578331,7929.365982055664,1980,1,0.7125,2578.0885314941406,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.77557373046875,54.82112121582031,65.62931823730469,48.3119010925293,6.422576904296875,0.6816558837890625,55.16169738769531,65.60859680175781,24.942459106445313,1.3325881958007813,72.20441436767578,54.87529754638672,7879061504,10733051904,4995960832,1947729920
199,1767815578531,3270.5614166259766,1980,1,0.7125,2579.15283203125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.64924621582031,52.03289794921875,64.58332824707031,38.07603073120117,8.340736389160156,0.48284149169921875,67.59956359863281,74.99391174316406,21.401138305664063,1.5362701416015625,68.4212417602539,48.24652099609375,7879061504,10733051904,5000122368,1951420416
200,1767815578731,5800.1614990234375,1980,1,0.7125,2580.1290435791016,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.458251953125,48.9260368347168,56.64915084838867,41.20589065551758,3.15997314453125,0,48.75459289550781,56.15716552734375,20.071304321289063,0,69.59074401855469,53.56502914428711,7879061504,10733051904,5008203776,1953501184
199,1767815578932,5800.321838378906,1980,1,0.7125,2581.1302185058594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,38.8491325378418,33.57615661621094,59.30278396606445,53.35739517211914,4.6456146240234375,1.5689773559570313,69.30561065673828,76.42003631591797,19.860496520996094,0.30551910400390625,62.39931106567383,38.688514709472656,7879061504,10733051904,5015846912,1954320384
199,1767815579132,7929.810775756836,1980,1,0.7125,2582.1267852783203,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.73445510864258,41.01791763305664,67.41860961914063,50.47515106201172,9.203056335449219,1.2248687744140625,49.69942855834961,65.21879577636719,22.05333709716797,0.77117919921875,66.58377075195313,46.1837158203125,7879061504,10733051904,5020053504,1952100352
199,1767815579332,7929.919448852539,1980,1,0.7125,2583.1196899414063,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.727699279785156,45.21317672729492,68.12552642822266,48.150455474853516,4.695838928222656,0.6094741821289063,48.683815002441406,51.429134368896484,24.39873504638672,0.3941192626953125,70.28530883789063,53.40299606323242,7879061504,10733051904,5036056576,1954598912
199,1767815579532,7930.048034667969,1980,1,0.70625,2584.156524658203,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.87377166748047,53.418846130371094,56.049861907958984,39.97409439086914,2.6565170288085938,0.16431427001953125,60.913536071777344,70.44404602050781,21.75116729736328,0,77.02715301513672,57.9962158203125,7879061504,10733051904,5040046080,1955008512
199,1767815579733,5800.798202514648,1980,1,0.7125,2585.107223510742,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.930179595947266,37.27985763549805,54.186100006103516,38.70476150512695,6.493873596191406,0,45.27897644042969,60.71030807495117,14.257949829101563,1.0425262451171875,60.13159942626953,28.25548553466797,7879061504,10733051904,5026377728,1944743936
199,1767815579933,5800.9183349609375,1980,1,0.7125,2586.1710815429688,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.53626251220703,45.2368278503418,63.3697509765625,49.53913879394531,4.584159851074219,0.03231048583984375,33.22570037841797,57.138362884521484,15.662559509277344,1.2485504150390625,69.07794189453125,44.6541862487793,7879061504,10733051904,5031735296,1942667264
199,1767815580133,5801.0784912109375,1980,1,0.7125,2587.308395385742,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.18582534790039,43.24242401123047,65.99522399902344,49.715389251708984,15.766357421875,2.2393875122070313,70.117919921875,71.57198333740234,33.697227478027344,8.108772277832031,79.53662109375,78.78219604492188,7879061504,10733051904,5037981696,1954598912
199,1767815580333,3271.9344329833984,1980,1,0.7125,2588.4190368652344,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.621315002441406,42.7255859375,73.06782531738281,64.03349304199219,5.184112548828125,1.3687744140625,74.26045227050781,80.98878479003906,32.001502990722656,3.0183181762695313,73.93317413330078,55.213844299316406,7879061504,10733051904,5045858304,1963835392
200,1767815580533,2426.399215698242,1980,1,0.7125,2589.455062866211,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.090972900390625,48.04496383666992,72.32133483886719,50.268943786621094,4.364753723144531,0.4594879150390625,69.73345184326172,67.87167358398438,30.91815185546875,0.408782958984375,71.1141586303711,51.4064826965332,7879061504,10733051904,5062549504,1970085888
199,1767815580734,5801.488708496094,1980,1,0.70625,2590.4300537109375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.413612365722656,34.306610107421875,50.13529968261719,34.40009307861328,3.1829299926757813,0.5779571533203125,64.59599304199219,66.6385726928711,23.462905883789063,1.3359756469726563,71.64940643310547,51.1069450378418,7879061504,10733051904,5058924544,1964130304
200,1767815580934,5801.605041503906,1980,1,0.70625,2591.412078857422,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,39.56843185424805,36.028343200683594,48.64897155761719,32.99897003173828,6.553192138671875,8.569427490234375,36.67494583129883,59.12857437133789,19.640243530273438,3.6032638549804688,65.708984375,39.063392639160156,7879061504,10733051904,5059489792,1972670464
199,1767815581135,3272.5325317382813,1980,1,0.7125,2592.496536254883,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.440433502197266,53.21723175048828,62.528568267822266,47.28282928466797,11.9820556640625,6.805107116699219,58.648441314697266,62.91224670410156,21.253982543945313,7.725318908691406,68.0167465209961,43.29930877685547,7879061504,10733051904,5058211840,1978777600
200,1767815581335,5801.805847167969,1980,1,1.05625,2593.3482360839844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.827152252197266,40.741024017333984,55.192466735839844,51.23971176147461,6.7236785888671875,1.8983230590820313,28.563766479492188,26.473831176757813,17.491790771484375,2.0718612670898438,58.47354507446289,24.655120849609375,7879061504,10733051904,5084626944,2193539072
200,1767815581535,7931.088882446289,1980,1,0.70625,2594.221649169922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.944087982177734,40.50193405151367,52.570526123046875,51.6371955871582,4.447166442871094,0.25218963623046875,46.50773620605469,37.598506927490234,7.514900207519531,1.0027694702148438,54.691184997558594,12.028602600097656,7879061504,10733051904,5099712512,2197512192
199,1767815581736,2427.1611328125,1980,1,0.70625,2595.0880737304688,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,39.97795104980469,29.822288513183594,58.72903823852539,55.405914306640625,1.8828887939453125,0.5787277221679688,47.48295593261719,39.49827194213867,14.915367126464844,2.71453857421875,58.38627624511719,24.01293182373047,7879061504,10733051904,5106053120,2201780224
