Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767815376280,2301.479522705078,1980,1,0.7125,1743.9021301269531,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,3.6836090087890625,1.036163330078125,36.94281768798828,28.657196044921875,0,0,62.98726272583008,74.25679016113281,0.5951004028320313,0,52.2376594543457,0.5188674926757813,7879061504,10733051904,4857839616,1700069376
188,1767815376293,3133.6544189453125,1980,1,0.70625,1743.9632873535156,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.91630554199219,61.439449310302734,40.84577941894531,22.596481323242188,0,0,11.428359985351563,14.154960632324219,3.2825698852539063,0,51.88304138183594,2.0316390991210938,7879061504,10733051904,4857942016,1701101568
199,1767815376481,7857.0960693359375,1237.5,2,0.70625,1744.7387237548828,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,30.888107299804688,24.25286865234375,21.720321655273438,20.69831085205078,6.872810363769531,0,51.52151870727539,47.357177734375,4.535392761230469,0,52.137977600097656,12.395118713378906,7879061504,10733051904,4863164416,1759137792
199,1767815376682,2301.6593170166016,1980,1,0.7125,1745.5525817871094,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.53300476074219,24.542945861816406,57.530426025390625,49.09571075439453,2.7366180419921875,0,29.784759521484375,30.968368530273438,1.6153335571289063,0,53.95755386352539,9.91021728515625,7879061504,10733051904,4897648640,1917370368
199,1767815376882,3134.0026092529297,1980,1,0.7125,1746.3712310791016,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,33.31688690185547,35.185401916503906,59.09965133666992,58.22178649902344,7.264396667480469,0.18885040283203125,37.66664505004883,33.532135009765625,4.104057312011719,0.46360015869140625,56.220115661621094,11.394241333007813,7879061504,10733051904,4902985728,1921613824
199,1767815377082,7857.308395385742,1237.5,2,0.7125,1747.2418212890625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.20588684082031,37.991973876953125,65.22483825683594,61.76305389404297,0.8434295654296875,0.190216064453125,51.44243240356445,36.01706314086914,10.256698608398438,0.0169830322265625,59.41817855834961,27.15045166015625,7879061504,10733051904,4908679168,1929719808
199,1767815377282,3134.268112182617,1980,1,0.70625,1748.1171569824219,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.839378356933594,46.47269821166992,56.62074279785156,48.297847747802734,0.771240234375,0.9748611450195313,50.26845932006836,33.24183654785156,8.801956176757813,1.6597976684570313,65.37677001953125,31.207305908203125,7879061504,10733051904,4925030400,1928396800
200,1767815377482,3134.378631591797,1980,1,0.7125,1748.8846130371094,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,29.774635314941406,31.98485565185547,55.13242721557617,62.712257385253906,6.355079650878906,0,35.213661193847656,22.296890258789063,2.0194778442382813,0.144561767578125,50.3251838684082,2.4908294677734375,7879061504,10733051904,4931698688,1928396800
199,1767815377683,7857.627868652344,1980,1,0.70625,1749.8765869140625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,79.7994384765625,73.5703125,55.88481140136719,45.13956069946289,0.969696044921875,0.1931915283203125,64.14857482910156,57.771732330322266,8.276618957519531,0.0707855224609375,68.27432250976563,33.33782196044922,7879061504,10733051904,4942585856,1938132992
199,1767815377883,3134.6537017822266,1980,1,0.7125,1750.8794250488281,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.07503509521484,60.89548110961914,64.85101318359375,52.250518798828125,3.2467269897460938,1.0436325073242188,55.33941650390625,45.16056823730469,11.515708923339844,1.0013275146484375,62.452301025390625,34.486907958984375,7879061504,10733051904,4944101376,1938051072
