Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767829073367,12275.40902709961,1980,1,0.7125,55283.98448181152,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,2.3588485717773438,1.4565048217773438,1.7325363159179688,0,68.9826431274414,0,44.069427490234375,34.524253845214844,18.540359497070313,14.323501586914063,8.2266845703125,0,7879061504,13985492992,6605352960,13204963328
199,1767829073368,12275.410858154297,1980,1,0.7125,55284.0036315918,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.016578674316406,17.668800354003906,59.278865814208984,11.805831909179688,91.23551940917969,16.015777587890625,27.41210174560547,17.593887329101563,36.11166763305664,100,37.125450134277344,21.009788513183594,7879061504,13985492992,6605361152,13204963328
199,1767829073567,7948.40998840332,1980,1,0.7125,55285.305099487305,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.106910705566406,48.91960525512695,60.75199890136719,45.4744758605957,61.42601013183594,41.580291748046875,66.04500579833984,50.142765045166016,66.46287536621094,45.54533386230469,66.17388153076172,44.82112503051758,7879061504,13985492992,6627835904,13235748864
200,1767829073767,12275.606735229492,1980,1,0.7375,55286.25607299805,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.93467712402344,17.848907470703125,25.633201599121094,18.495834350585938,54.82243728637695,12.439865112304688,34.488624572753906,47.76155090332031,30.6668701171875,20.629615783691406,31.39958953857422,15.695137023925781,7879061504,13985492992,6651330560,13248491520
200,1767829073968,12275.705078125,1980,1,1.05625,55287.424392700195,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.25383758544922,24.37073516845703,49.837440490722656,29.383224487304688,44.298526763916016,30.94341278076172,57.62138748168945,32.197662353515625,52.216312408447266,36.272151947021484,48.35243606567383,30.236618041992188,7879061504,13985492992,6651015168,13249044480
200,1767829074168,5119.539794921875,1980,1,1.0625,55288.477615356445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.759010314941406,36.73560333251953,34.71807098388672,35.11534881591797,35.61997985839844,36.86299514770508,42.314456939697266,39.91505432128906,43.821693420410156,39.20665740966797,44.8546257019043,27.71685791015625,7879061504,13985492992,6649589760,13252382720
200,1767829074369,12275.888702392578,1980,1,1.0625,55289.6143951416,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.21958541870117,31.89868927001953,39.835609436035156,27.231285095214844,43.78997039794922,34.164634704589844,45.1146125793457,40.81925964355469,51.718963623046875,39.4032096862793,42.30549240112305,28.64698028564453,7879061504,13985492992,6652473344,13261578240
199,1767829074569,12276.040924072266,1980,1,1.05625,55291.143814086914,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,79.36737823486328,68.54753112792969,75.5368881225586,66.80441284179688,77.42262268066406,68.34980010986328,83.25674438476563,84.10659790039063,86.10502624511719,85.01667785644531,78.84906005859375,69.73062133789063,7879061504,13985492992,6655938560,13264162816
199,1767829074770,13070.30256652832,1980,1,1.05625,55292.66293334961,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,76.63697814941406,57.371273040771484,69.22156524658203,63.196754455566406,79.24842834472656,55.5993537902832,74.88831329345703,68.16983032226563,81.27188110351563,62.46384811401367,74.28057098388672,60.22684097290039,7879061504,13985492992,6648107008,13265219584
200,1767829074970,12276.331100463867,1980,1,0.7125,55294.177505493164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,82.71029663085938,78.30762481689453,81.83904266357422,75.48637390136719,83.98870849609375,73.67576599121094,86.07122802734375,80.39095306396484,85.50700378417969,89.09149169921875,85.26821899414063,74.17124938964844,7879061504,13985492992,6644359168,13265035264
