Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719420303,5232.536651611328,1980,1,0.7125,42362.23571777344,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,18.847671508789063,1.233306884765625,40.37256622314453,0.20769500732421875,35.13219451904297,5.8862762451171875,9.085380554199219,8.992355346679688,63.00497817993164,28.61931610107422,44.30181884765625,1.5129623413085938,7879061504,20937863168,6625730560,13634478080
198,1767719420306,5232.538864135742,1980,1,0.7125,42362.26268005371,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,38.520023345947266,26.5731201171875,50.1760139465332,4.011634826660156,74.71031188964844,36.60098648071289,69.63037109375,85.86270904541016,100,77.93966674804688,95.63633728027344,12.826972961425781,7879061504,20937863168,6625746944,13634478080
200,1767719420504,3173.686325073242,1980,1,0.7125,42363.38055419922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.9372673034668,9.347213745117188,38.26054763793945,16.11449432373047,24.593544006347656,19.64044189453125,22.425216674804688,23.328956604003906,39.34516525268555,11.482437133789063,67.89376831054688,8.232070922851563,7879061504,20937863168,6644228096,13847285760
200,1767719420705,5232.688751220703,1980,1,0.7125,42364.525161743164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.4556770324707,10.935478210449219,45.08942413330078,11.604545593261719,34.949615478515625,12.547607421875,30.16234588623047,46.59170913696289,40.990272521972656,15.722297668457031,77.36408996582031,10.696647644042969,7879061504,20937863168,6668496896,13853573120
200,1767719420905,4453.203430175781,1980,1,0.7125,42365.671142578125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.009464263916016,3.5302810668945313,66.23333740234375,7.759086608886719,26.872886657714844,8.049171447753906,17.57904052734375,59.42430114746094,60.00526809692383,11.408378601074219,64.89918518066406,10.11541748046875,7879061504,20937863168,6689910784,13859717120
199,1767719421106,2166.2416381835938,1980,1,0.7125,42366.956634521484,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.74858474731445,30.51831817626953,59.737667083740234,19.132400512695313,37.66609573364258,15.616943359375,24.724227905273438,69.79051208496094,65.9223861694336,26.920761108398438,65.12393188476563,23.310867309570313,7879061504,20937863168,6698979328,13869502464
200,1767719421306,5232.884094238281,1980,1,0.7125,42368.076080322266,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.457908630371094,17.737991333007813,51.5808219909668,22.35662841796875,25.176353454589844,17.831558227539063,27.064430236816406,64.26649475097656,42.946937561035156,23.5965576171875,61.654727935791016,13.7396240234375,7879061504,20937863168,6704168960,13863931904
200,1767719421507,5233.007843017578,1980,1,0.7125,42369.376373291016,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.06964111328125,14.714546203613281,57.405982971191406,36.469200134277344,68.54084777832031,18.514205932617188,30.395713806152344,40.42915344238281,57.20375061035156,46.973880767822266,72.22704315185547,30.1448974609375,7879061504,20937863168,6712905728,13869727744
200,1767719421707,5233.109649658203,1980,1,0.7125,42370.72821044922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.89239501953125,21.362449645996094,71.81134796142578,17.96984100341797,49.80931854248047,14.714286804199219,21.810150146484375,67.87208557128906,42.212215423583984,51.67835235595703,60.7482795715332,40.22714614868164,7879061504,20937863168,6721552384,13872234496
200,1767719421908,4453.7451171875,1980,1,0.7125,42371.92907714844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.278743743896484,14.389999389648438,62.311466217041016,21.298080444335938,42.37580108642578,11.995170593261719,22.19219207763672,79.8693618774414,44.945255279541016,37.262176513671875,49.71666717529297,41.26462173461914,7879061504,20937863168,6722826240,13873541120
200,1767719422108,5233.29328918457,1237.5,2,0.7125,42373.256591796875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.35636901855469,45.66019821166992,56.038719177246094,52.45106506347656,63.66017150878906,14.138389587402344,23.321395874023438,56.38735580444336,45.10884475708008,38.31062316894531,63.82013702392578,27.196975708007813,7879061504,20937863168,6729265152,13876420608
199,1767719422308,5233.366012573242,1980,1,0.7125,42374.40524291992,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.719913482666016,4.3623046875,40.67180633544922,49.02870178222656,52.23118209838867,12.039321899414063,21.708702087402344,61.42829513549805,49.052703857421875,7.897560119628906,62.55976867675781,9.795486450195313,7879061504,20937863168,6731862016,13879070720
199,1767719422509,4454.0345458984375,1980,1,0.7125,42375.6442565918,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.429447174072266,6.691253662109375,62.073604583740234,26.22113800048828,40.143001556396484,52.66386032104492,11.958656311035156,86.30192565917969,43.247802734375,12.018775939941406,48.69551086425781,25.022384643554688,7879061504,20937863168,6737600512,13880803328
200,1767719422709,4454.144073486328,1980,1,0.7125,42376.947662353516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.07560729980469,22.261619567871094,69.98377227783203,11.60504150390625,49.229461669921875,59.516056060791016,26.84234619140625,56.35890197753906,56.96189880371094,19.96514129638672,58.293983459472656,28.613784790039063,7879061504,20937863168,6746128384,13883867136
