Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719337507,2116.0938873291016,1980,1,0.7125,41831.40994262695,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,22.654632568359375,13.191497802734375,77.65235900878906,2.44171142578125,57.23002243041992,33.49816131591797,18.676300048828125,13.372947692871094,26.336387634277344,12.949737548828125,86.75423431396484,32.86279296875,7879061504,20937863168,6819921920,13663834112
199,1767719337508,2674.531936645508,1980,1,0.7125,41831.428466796875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.541969299316406,71.27621459960938,89.0047607421875,25.807723999023438,93.64842224121094,45.25205612182617,38.72732162475586,27.362167358398438,57.49478530883789,48.32552719116211,100,67.17562866210938,7879061504,20937863168,6820220928,13663186944
200,1767719337708,4121.813568115234,1980,1,0.7125,41832.69081115723,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.598270416259766,10.37030029296875,36.13711929321289,23.629135131835938,45.546897888183594,32.47503662109375,47.21901321411133,8.485267639160156,35.030921936035156,21.20172882080078,50.885032653808594,34.78484344482422,7879061504,20937863168,6850437120,13878611968
199,1767719337908,2674.7718505859375,1237.5,2,0.70625,41833.93589782715,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.15780258178711,17.174720764160156,33.01905059814453,45.030799865722656,51.99986267089844,12.930458068847656,46.99382019042969,14.067474365234375,38.43932342529297,15.942596435546875,51.45252990722656,20.85918426513672,7879061504,20937863168,6880124928,13885698048
199,1767719338109,2674.872039794922,1980,1,0.7125,41835.14277648926,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.982032775878906,23.468544006347656,42.30088424682617,46.819156646728516,55.478084564208984,14.366729736328125,44.45269012451172,15.540351867675781,56.25531005859375,15.500343322753906,56.64241409301758,13.241958618164063,7879061504,20937863168,6887026688,13885644800
200,1767719338309,2675.0243225097656,1980,1,0.7125,41836.46957397461,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.22811889648438,30.674118041992188,76.80607604980469,46.95514678955078,68.95036315917969,25.827362060546875,62.658782958984375,9.38433837890625,64.56749725341797,26.994537353515625,65.12896728515625,47.98869323730469,7879061504,20937863168,6899785728,13896880128
199,1767719338509,3128.616409301758,1980,1,0.7125,41838.04731750488,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.39375305175781,41.66797637939453,75.45387268066406,58.39598083496094,59.473731994628906,25.70368194580078,83.3264389038086,23.71954345703125,51.71323013305664,36.46430206298828,66.22677612304688,52.427207946777344,7879061504,20937863168,6909763584,13900394496
200,1767719338709,4407.658447265625,1980,1,0.7125,41839.51817321777,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.82040405273438,43.21266174316406,39.99897003173828,60.496158599853516,71.36854553222656,72.73533630371094,66.63197326660156,33.078582763671875,76.89878845214844,27.20531463623047,69.13211822509766,34.337501525878906,7879061504,20937863168,6930276352,13897453568
199,1767719338910,4122.578857421875,1980,1,0.7125,41841.137435913086,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.16426086425781,67.36151885986328,41.02735900878906,68.59404754638672,84.40116119384766,81.24594116210938,70.01089477539063,45.32029342651367,78.39215087890625,36.589744567871094,54.66267013549805,57.878173828125,7879061504,20937863168,6958678016,13899526144
200,1767719339110,5189.8388671875,1980,1,0.7125,41842.43614196777,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.30390930175781,26.077613830566406,23.006240844726563,75.64580535888672,51.320762634277344,77.00682830810547,51.967796325683594,11.898918151855469,64.88971710205078,10.448982238769531,49.62317657470703,21.680206298828125,7879061504,20937863168,6964203520,13899366400
