Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767740175465,466.4196014404297,1980,1,0.70625,5686.842376708984,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,7.501747131347656,3.2153167724609375,99.60706329345703,18.28662872314453,3.2133255004882813,3.7578506469726563,3.4466934204101563,3.20135498046875,5.383460998535156,6.805625915527344,13.100631713867188,4.184700012207031,7879061504,10733051904,6605217792,6656233472
199,1767740175466,420.7587585449219,1980,1,0.70625,5686.856201171875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1.8957366943359375,0,80.91122436523438,81.1023941040039,13.481224060058594,2.1068115234375,0,0,15.2813720703125,0,25.851287841796875,0,7879061504,10733051904,6605238272,6656233472
200,1767740175665,445.92822265625,1980,1,0.70625,5687.7559814453125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,12.366653442382813,4.501182556152344,10.519309997558594,10.338951110839844,18.57329559326172,12.261436462402344,19.776443481445313,10.484336853027344,31.42780303955078,19.11553192138672,20.81262969970703,5.2444000244140625,7879061504,10733051904,6633320448,6872260608
199,1767740175866,466.4700469970703,1237.5,2,0.70625,5688.69580078125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,17.28752899169922,6.3046875,14.080368041992188,9.676780700683594,16.773033142089844,8.063728332519531,23.917312622070313,14.51800537109375,72.20452117919922,45.347442626953125,12.486862182617188,2.708160400390625,7879061504,10733051904,6649311232,6876528640
199,1767740176066,466.5946807861328,1980,1,0.70625,5689.6376953125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.082496643066406,21.402175903320313,35.815711975097656,59.218971252441406,32.41377258300781,26.621620178222656,10.077384948730469,2.36114501953125,22.523208618164063,17.48529052734375,9.260040283203125,7.034812927246094,7879061504,10733051904,6657425408,6882709504
200,1767740176266,440.2539367675781,1980,2,0.70625,5690.712020874023,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.21876525878906,54.19464111328125,27.88092803955078,35.810829162597656,51.89009094238281,40.961585998535156,23.861373901367188,18.901145935058594,32.619850158691406,30.677337646484375,13.865646362304688,15.167861938476563,7879061504,10733051904,6664503296,6887866368
200,1767740176467,440.3841552734375,1980,1,0.70625,5691.795318603516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.751522064208984,46.82414245605469,20.562896728515625,29.75720977783203,17.877914428710938,9.018791198730469,35.555267333984375,23.33013916015625,22.13111114501953,15.632682800292969,32.47899627685547,13.726486206054688,7879061504,10733051904,6677315584,6882590720
199,1767740176667,443.9541778564453,1980,1,0.70625,5692.845779418945,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.56758117675781,36.833065032958984,13.418159484863281,20.327423095703125,52.6189079284668,54.21699905395508,30.61573028564453,22.004837036132813,16.0313720703125,13.466140747070313,14.385246276855469,12.770111083984375,7879061504,10733051904,6683066368,6886572032
199,1767740176868,466.8634796142578,1980,1,0.70625,5694.068603515625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.45561981201172,65.22080993652344,32.67803192138672,40.28679275512695,19.74579620361328,15.994346618652344,53.411624908447266,48.44606399536133,19.594139099121094,7.206695556640625,40.183692932128906,29.986671447753906,7879061504,10733051904,6690889728,6890119168
199,1767740177068,466.94081115722656,1980,1,0.70625,5695.13134765625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.85653305053711,33.688011169433594,28.68164825439453,33.0673828125,8.067985534667969,2.5738449096679688,45.80630874633789,53.25215530395508,14.567337036132813,2.1021499633789063,31.36193084716797,26.097084045410156,7879061504,10733051904,6687412224,6886703104
