Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767827028948,5797.45426940918,1980,1,0.7125,46677.069091796875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,28.81304168701172,0.28319549560546875,84.87611389160156,0,60.67217254638672,5.963905334472656,16.221153259277344,13.389183044433594,22.129798889160156,13.005340576171875,69.55290222167969,0,7879061504,13985492992,6724530176,12752183296
199,1767827028949,5797.456237792969,1980,1,0.7125,46677.084701538086,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,87.23429870605469,30.045379638671875,61.675025939941406,35.25993347167969,36.955657958984375,35.3753662109375,30.316055297851563,87.7079849243164,68.74054718017578,57.332218170166016,88.64739990234375,40.482444763183594,7879061504,13985492992,6724542464,12752183296
199,1767827029148,5797.51741027832,1237.5,2,0.70625,46677.97898864746,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,24.76982879638672,13.584304809570313,55.416629791259766,5.6825714111328125,31.056884765625,20.451339721679688,20.139801025390625,12.260711669921875,38.64493179321289,11.117431640625,31.8070068359375,20.795639038085938,7879061504,13985492992,6768148480,12785917952
200,1767827029349,8823.972106933594,1980,1,0.7125,46678.97749328613,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.459014892578125,15.730171203613281,25.077926635742188,29.64331817626953,25.09648895263672,22.35259246826172,54.042545318603516,13.867538452148438,38.194908142089844,19.933135986328125,25.739463806152344,17.611724853515625,7879061504,13985492992,6803156992,12796116992
199,1767827029549,5797.674407958984,1980,1,0.7125,46680.135513305664,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.929752349853516,31.00945281982422,52.227848052978516,28.77387237548828,49.4030876159668,41.522987365722656,64.74945068359375,27.390525817871094,52.372962951660156,25.6763916015625,47.53618240356445,31.747406005859375,7879061504,13985492992,6804971520,12795265024
200,1767827029749,7334.476058959961,1980,1,0.7375,46681.46936035156,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.849491119384766,54.56729507446289,64.6234130859375,54.364044189453125,56.99903869628906,62.99000549316406,63.11819839477539,49.64767837524414,59.14777755737305,56.57585525512695,63.17587661743164,45.72205352783203,7879061504,13985492992,6799802368,12789391360
200,1767827029950,5797.875381469727,1980,1,0.7125,46682.552795410156,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.302242279052734,30.066612243652344,33.07483673095703,27.80572509765625,37.66021728515625,27.994384765625,50.36644744873047,33.406394958496094,49.03553771972656,28.38945770263672,40.032379150390625,23.412208557128906,7879061504,13985492992,6800285696,12789063680
200,1767827030150,5798.042999267578,1980,1,0.7125,46684.18998718262,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,98.89086151123047,97.26305389404297,97.64517974853516,96.25993347167969,97.11065673828125,97.22889709472656,96.59303283691406,97.29383850097656,97.22601318359375,97.31034088134766,96.81817626953125,96.18061828613281,7879061504,13985492992,6795911168,12804706304
199,1767827030351,5798.200469970703,1980,1,0.7125,46685.772064208984,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,87.58501434326172,80.76084899902344,84.26101684570313,79.26992797851563,83.01903533935547,78.67607116699219,86.85738372802734,80.00187683105469,87.0457534790039,79.09761810302734,85.94589233398438,79.30558013916016,7879061504,13985492992,6798340096,12807176192
200,1767827030551,5798.347381591797,1980,1,0.7125,46687.30513000488,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,82.20487976074219,75.05758666992188,80.16586303710938,75.91561889648438,81.72044372558594,75.3520278930664,80.72920227050781,71.9131088256836,82.60038757324219,75.25901794433594,79.71246337890625,73.87091064453125,7879061504,13985492992,6805352448,12813352960
199,1767827030752,5798.487411499023,1980,1,0.7125,46688.77534484863,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.27204895019531,63.35606384277344,73.96676635742188,64.7691879272461,71.65850067138672,66.2161865234375,70.92898559570313,62.06953048706055,77.1165542602539,59.476417541503906,81.98405456542969,62.86133575439453,7879061504,13985492992,6801731584,12806041600
199,1767827030953,5798.620941162109,1980,1,0.7125,46690.223861694336,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,79.69279479980469,62.638126373291016,72.84180450439453,67.616455078125,75.06533813476563,62.342315673828125,83.13719177246094,61.49073028564453,78.9685287475586,62.951942443847656,81.84130859375,61.00285720825195,7879061504,13985492992,6805573632,12822667264
200,1767827031153,5798.744338989258,1980,1,0.7125,46691.594497680664,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.44152069091797,68.55877685546875,65.3055419921875,61.849185943603516,71.51049041748047,64.65541076660156,73.7232666015625,60.61224365234375,74.11369323730469,59.06708908081055,72.66414642333984,66.88455963134766,7879061504,13985492992,6806556672,12837924864
199,1767827031353,5798.874359130859,1980,1,0.7125,46693.012466430664,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.437255859375,47.14838409423828,46.73543167114258,54.794349670410156,82.30503845214844,44.633544921875,61.10962677001953,69.82272338867188,58.588130950927734,52.17781066894531,56.42813491821289,50.61079406738281,7879061504,13985492992,6798966784,12843118592
200,1767827031553,5798.962936401367,1980,1,0.7125,46694.2141418457,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.08253860473633,57.02008819580078,69.4019775390625,44.47404861450195,57.22716522216797,42.310523986816406,50.128116607666016,52.62987518310547,58.469932556152344,50.391334533691406,54.51903533935547,38.115840911865234,7879061504,13985492992,6787674112,12852535296
200,1767827031754,4464.856872558594,1980,1,0.7125,46695.56962585449,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.26753234863281,50.02410888671875,75.16876220703125,53.72452163696289,68.55828857421875,55.73430252075195,61.77602767944336,55.79390335083008,71.19000244140625,58.76156234741211,69.04344940185547,66.38705444335938,7879061504,13985492992,6762504192,12854267904
200,1767827031954,7335.929046630859,1237.5,2,0.7375,46697.10916137695,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,78.08148193359375,60.10565185546875,73.09876251220703,51.32733154296875,67.67962646484375,63.16900634765625,74.04899597167969,49.65563201904297,62.322940826416016,64.2725830078125,78.90336608886719,49.423255920410156,7879061504,13985492992,6743453696,12837662720
199,1767827032155,5799.366012573242,1980,1,0.7125,46698.46534729004,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.23360443115234,52.82394027709961,70.58856964111328,44.303131103515625,74.67196655273438,47.465797424316406,62.637447357177734,39.76166915893555,65.20669555664063,38.19142150878906,68.91802978515625,42.732933044433594,7879061504,13985492992,6709710848,12838080512
199,1767827032355,5799.472412109375,1980,1,0.7125,46699.63771057129,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.693946838378906,52.286338806152344,77.14144897460938,26.56133270263672,58.68103790283203,26.01648712158203,45.07209777832031,42.752140045166016,44.84121322631836,33.49967956542969,58.83499526977539,27.611167907714844,7879061504,13985492992,6719127552,12837584896
