Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719323368,2664.984176635742,1980,1,0.7125,41741.88525390625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,23.06147003173828,6.006736755371094,35.525543212890625,0.5977096557617188,8.483482360839844,16.78771209716797,8.917388916015625,2.7122421264648438,58.96467590332031,17.244491577148438,75.39945220947266,0,7879061504,20937863168,6688002048,13680386048
199,1767719323369,2107.9284057617188,1980,1,0.7125,41741.89614868164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.77334594726563,15.536735534667969,16.07970428466797,0,100,100,69.58904266357422,0,0,35.875465393066406,89.97758483886719,0,7879061504,20937863168,6688051200,13680386048
200,1767719323568,2665.1145935058594,1980,1,0.7125,41743.225830078125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.104957580566406,20.52715301513672,42.39247512817383,14.447074890136719,49.362449645996094,24.06170654296875,47.46072006225586,13.562255859375,44.151756286621094,17.082122802734375,56.22840881347656,11.694427490234375,7879061504,20937863168,6711934976,13894807552
199,1767719323769,5181.066940307617,1980,1,0.7375,41744.63204956055,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.13819885253906,38.85432815551758,35.97466278076172,73.98062133789063,64.45391082763672,44.923553466796875,53.203025817871094,27.69898223876953,65.0264892578125,42.1940803527832,64.59881591796875,37.154136657714844,7879061504,20937863168,6746583040,13923196928
200,1767719323969,2108.321487426758,1980,1,0.7125,41746.03155517578,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.53968811035156,33.69642639160156,42.451263427734375,53.565711975097656,65.95873260498047,34.97761535644531,45.57443618774414,28.504295349121094,63.184417724609375,25.162139892578125,62.02461242675781,28.353614807128906,7879061504,20937863168,6759784448,13926879232
198,1767719324171,2108.4801177978516,1980,1,0.7125,41747.5206451416,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,78.92852783203125,38.358882904052734,48.34211349487305,59.50563430786133,66.07899475097656,45.804344177246094,62.977996826171875,42.30698776245117,73.93143463134766,32.60620880126953,61.00414276123047,39.768428802490234,7879061504,20937863168,6768381952,13960835072
199,1767719324370,2665.720230102539,1980,1,0.7125,41749.16108703613,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,90.3492431640625,90.58563995361328,89.70530700683594,85.86466979980469,82.90386199951172,87.18961334228516,88.56813049316406,88.81258392333984,87.38716125488281,82.52838897705078,85.72860717773438,85.95561981201172,7879061504,20937863168,6778494976,13985263616
199,1767719324570,2665.87890625,1980,1,0.7125,41750.74256896973,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.8584213256836,74.18330383300781,63.948909759521484,72.04117584228516,78.85972595214844,55.518592834472656,73.11698913574219,83.92540740966797,71.07489013671875,60.22770690917969,78.41445922851563,60.09785461425781,7879061504,20937863168,6779944960,13980798976
200,1767719324770,2666.0386810302734,1980,1,0.7125,41752.09231567383,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.22557830810547,40.80525588989258,28.24279022216797,63.082794189453125,43.268157958984375,46.49844741821289,65.46627807617188,30.207412719726563,57.023895263671875,22.705322265625,67.10006713867188,25.176490783691406,7879061504,20937863168,6794227712,13986988032
199,1767719324971,2666.1612396240234,1980,1,0.7125,41753.444091796875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.153926849365234,51.01326370239258,43.88238525390625,58.562435150146484,58.39909744262695,46.650394439697266,68.14146423339844,26.03399658203125,74.85256958007813,22.796966552734375,52.88710403442383,33.61176300048828,7879061504,20937863168,6814851072,14000283648
199,1767719325171,4400.482223510742,1980,1,0.7375,41754.846420288086,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.223793029785156,85.44029998779297,34.05657196044922,73.94949340820313,40.360511779785156,43.86190414428711,53.64625549316406,22.253517150878906,67.35823059082031,17.957130432128906,67.693603515625,15.395111083984375,7879061504,20937863168,6822277120,13989978112
