Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767740095647,420.0662536621094,1980,1,0.70625,5283.136703491211,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,19.1312255859375,6.1411285400390625,26.711746215820313,7.8039398193359375,24.220497131347656,12.683631896972656,9.00408935546875,6.115425109863281,8.806373596191406,7.0625,99.65201568603516,20.3353271484375,7879061504,10733051904,6554304512,6651994112
199,1767740095648,420.06825256347656,1980,1,0.70625,5283.147155761719,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,3.0115737915039063,0,17.41710662841797,0,0,0,0,0,0,0,86.56562805175781,82.88699340820313,7879061504,10733051904,6554460160,6651863040
199,1767740095848,343.98516845703125,1980,1,0.70625,5284.026321411133,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,16.27355194091797,0.43566131591796875,10.635025024414063,16.021102905273438,29.942855834960938,28.739646911621094,21.041419982910156,12.233291625976563,2.5257568359375,1.43218994140625,15.562934875488281,12.958786010742188,7879061504,10733051904,6582689792,6867423232
199,1767740096048,447.84410095214844,1980,1,0.70625,5284.951904296875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,13.520523071289063,2.6511306762695313,27.41388702392578,63.50804138183594,47.813636779785156,40.67580032348633,16.67376708984375,9.612533569335938,21.03343963623047,2.2969818115234375,26.570526123046875,7.338035583496094,7879061504,10733051904,6598602752,6872707072
199,1767740096248,394.7300720214844,1980,1,0.70625,5286.247024536133,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.1046142578125,12.537956237792969,45.23908615112305,36.71269226074219,52.053855895996094,45.5328369140625,40.59084701538086,40.98310089111328,48.18571472167969,9.104888916015625,63.642555236816406,44.79771041870117,7879061504,10733051904,6618017792,6886096896
199,1767740096449,344.2063751220703,1980,1,0.70625,5287.469345092773,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,36.894203186035156,2.6875228881835938,45.72456741333008,46.052154541015625,74.53112030029297,57.68034362792969,44.25241470336914,39.25062561035156,21.850502014160156,11.313919067382813,38.026912689208984,23.743057250976563,7879061504,10733051904,6620286976,6894100480
199,1767740096649,448.1564483642578,1980,1,0.70625,5288.517135620117,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,35.416351318359375,15.471321105957031,35.11114501953125,35.3017578125,34.11128234863281,30.060035705566406,25.54082489013672,24.40955352783203,21.539657592773438,15.341072082519531,23.314605712890625,10.407424926757813,7879061504,10733051904,6626447360,6897725440
200,1767740096849,448.2105255126953,1980,1,0.70625,5289.661682128906,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.20635986328125,29.114776611328125,24.279869079589844,26.471282958984375,47.10254669189453,43.31778335571289,15.639762878417969,8.875,38.51586151123047,31.617584228515625,32.251617431640625,13.449539184570313,7879061504,10733051904,6642356224,6896607232
200,1767740097050,420.5635223388672,1980,1,0.70625,5290.8734130859375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.41801834106445,35.525733947753906,30.623626708984375,17.69036102294922,38.75988006591797,33.23590850830078,13.396957397460938,5.334892272949219,71.52400207519531,64.77778625488281,62.89378356933594,58.85657501220703,7879061504,10733051904,6658936832,6902910976
200,1767740097250,414.8623504638672,1980,1,1.05625,5291.858169555664,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,33.15465545654297,24.56987762451172,19.103187561035156,32.48662567138672,25.816871643066406,20.316009521484375,9.285621643066406,2.3507003784179688,43.19550704956055,35.02214050292969,43.32103729248047,24.769256591796875,7879061504,10733051904,6657171456,6903300096
