Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719308389,2098.6419525146484,1980,1,0.7375,41644.761489868164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.889827728271484,96.22593688964844,25.06853485107422,0,16.40508270263672,11.530281066894531,26.136634826660156,14.183258056640625,35.711158752441406,1.74267578125,50.374717712402344,16.459213256835938,7879061504,20937863168,6841139200,13679185920
199,1767719308390,2098.6426544189453,1980,1,0.7375,41644.7762298584,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,35.575904846191406,100,75.59049987792969,15.435905456542969,90.0975341796875,39.89185333251953,100,69.3935775756836,100,14.964836120605469,49.256900787353516,100,7879061504,20937863168,6840233984,13678919680
200,1767719308590,3112.013916015625,1980,1,0.7375,41646.187438964844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.887054443359375,37.538475036621094,73.57976531982422,25.89581298828125,72.57013702392578,39.01750564575195,66.31581115722656,29.17205810546875,47.34846115112305,27.999778747558594,43.304988861083984,44.85368347167969,7879061504,20937863168,6866673664,13905362944
200,1767719308790,2654.689743041992,1980,1,0.7375,41647.59509277344,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.1275749206543,59.30062484741211,22.313446044921875,69.87286376953125,55.18693923950195,37.98857116699219,47.2601432800293,15.080520629882813,57.49025344848633,34.17066192626953,61.061641693115234,13.959213256835938,7879061504,20937863168,6898020352,13915787264
199,1767719308991,2654.8211212158203,1980,1,0.7375,41649.03450012207,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.64241790771484,50.67741394042969,36.02328872680664,59.663848876953125,71.72974395751953,53.13741683959961,49.201717376708984,17.30693817138672,64.28224182128906,52.578948974609375,64.39360046386719,26.355758666992188,7879061504,20937863168,6913937408,13922148352
200,1767719309191,2099.2450561523438,1980,1,1.24375,41650.634521484375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.80101013183594,51.23798370361328,42.706783294677734,62.02497482299805,77.148681640625,39.12023162841797,67.54690551757813,14.703742980957031,72.30927276611328,42.15795135498047,72.30158233642578,22.061744689941406,7879061504,20937863168,6924021760,13927251968
199,1767719309392,2655.150833129883,1980,1,0.7125,41652.27146911621,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,89.47288513183594,79.16582489013672,86.59329223632813,85.80160522460938,89.3265151977539,73.66661834716797,85.16471862792969,73.7170181274414,90.6059799194336,82.04472351074219,93.95428466796875,72.96206665039063,7879061504,20937863168,6939615232,13926694912
199,1767719309592,3112.7728729248047,1980,1,0.7375,41653.86503601074,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,85.75055694580078,66.84895324707031,88.05342864990234,84.00535583496094,90.85427856445313,72.8150634765625,83.76802062988281,67.3652114868164,87.21512603759766,80.98979949951172,75.84022521972656,78.968017578125,7879061504,20937863168,6956109824,13936115712
200,1767719309792,2655.454116821289,1980,1,0.7125,41655.42964172363,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.80693054199219,52.9205436706543,48.27364730834961,77.72594451904297,56.750946044921875,74.82965087890625,74.51103973388672,39.69365692138672,73.57022857666016,38.841522216796875,79.74752044677734,29.5181884765625,7879061504,20937863168,6978220032,13943934976
199,1767719309993,4391.772018432617,1980,1,0.7125,41656.912048339844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,82.5246353149414,40.70518493652344,54.81903076171875,42.807376861572266,76.98567199707031,42.02276611328125,70.53429412841797,26.897781372070313,64.42971801757813,36.95379638671875,61.42102813720703,30.816482543945313,7879061504,20937863168,6973100032,13934223360
199,1767719310193,2655.7237548828125,1980,1,0.7125,41658.23376464844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.804237365722656,32.589202880859375,23.049407958984375,88.0085220336914,48.00129318237305,26.422874450683594,55.54145431518555,14.2001953125,55.80080032348633,42.7180061340332,65.76062774658203,23.398170471191406,7879061504,20937863168,6972198912,13933989888
200,1767719310393,2655.8804626464844,1237.5,2,0.7125,41659.78256225586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.0982437133789,54.6326904296875,51.87118148803711,71.08203125,57.87983322143555,53.31481170654297,72.26155090332031,30.79454803466797,80.44650268554688,35.24903106689453,57.834434509277344,56.33902359008789,7879061504,20937863168,6984609792,13941710848
199,1767719310593,2656.0301818847656,1980,1,0.7125,41661.09767150879,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.80253982543945,12.405197143554688,39.300113677978516,54.574676513671875,41.94389343261719,23.522109985351563,82.80118560791016,10.184791564941406,76.58846282958984,14.692359924316406,74.8242416381836,25.512420654296875,7879061504,20937863168,6982402048,13937131520
199,1767719310794,2656.1522369384766,1980,1,0.7125,41662.309173583984,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.9876823425293,16.33623504638672,39.92457580566406,54.797752380371094,36.95623016357422,7.431404113769531,36.130096435546875,9.133468627929688,44.318450927734375,42.56939697265625,54.805816650390625,21.918190002441406,7879061504,20937863168,6977851392,13939269632
200,1767719310994,2100.6129608154297,1980,1,0.7125,41663.717056274414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.01226806640625,30.947250366210938,42.28526306152344,61.55336380004883,64.52149963378906,18.859390258789063,39.83857727050781,13.034011840820313,68.32904052734375,32.74034881591797,65.47160339355469,30.44823455810547,7879061504,20937863168,6993649664,13941166080
200,1767719311194,2656.406021118164,1980,1,0.7125,41665.16017150879,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.99925231933594,32.12757873535156,53.23515319824219,53.54401779174805,72.05198669433594,20.875900268554688,72.95352935791016,18.12854766845703,79.0009536743164,23.458839416503906,50.87804412841797,28.432174682617188,7879061504,20937863168,6991994880,13934907392
200,1767719311395,2656.567611694336,1980,1,0.7125,41666.645263671875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.7405014038086,38.06840133666992,43.60069274902344,64.98213195800781,69.71199035644531,24.72466278076172,53.52579116821289,26.811874389648438,43.83131790161133,53.677764892578125,43.020423889160156,53.76935577392578,7879061504,20937863168,6991253504,13935644672
199,1767719311595,2656.7106018066406,1980,1,0.7125,41668.051986694336,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.14635467529297,43.969364166259766,41.083621978759766,67.93882751464844,37.53525924682617,100,79.79765319824219,19.222923278808594,74.80644226074219,29.97541046142578,63.77342224121094,35.9593505859375,7879061504,20937863168,6989336576,13938466816
