Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767739892907,347.4606628417969,1980,1,0.71875,4239.023895263672,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,0,0,0,0,0,0,84.84700775146484,0,0.7360382080078125,0,0,6.193939208984375,7879061504,10733051904,6722854912,7205273600
198,1767739892908,348.9475402832031,1237.5,2,0.70625,4239.039596557617,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,0,0,0,0,0,0,0,0,83.61317443847656,57.84135055541992,0,0,7879061504,10733051904,6722875392,7205273600
200,1767739893107,349.45384216308594,1237.5,2,0.70625,4240.001358032227,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,17.774871826171875,7.150230407714844,30.64617156982422,30.511680603027344,5.429847717285156,3.224212646484375,19.61957550048828,11.362464904785156,20.51799774169922,15.623954772949219,32.34471130371094,10.807426452636719,7879061504,10733051904,6745296896,7418343424
199,1767739893308,287.10719299316406,1980,1,0.70625,4240.937240600586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,21.31568145751953,8.102836608886719,5.801780700683594,10.262832641601563,3.974365234375,1.5884170532226563,31.338111877441406,39.56060028076172,48.21139907836914,34.89073944091797,14.647003173828125,16.094406127929688,7879061504,10733051904,6752034816,7422599168
200,1767739893508,287.2021026611328,1980,1,0.70625,4241.862564086914,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,31.429061889648438,26.597557067871094,8.93914794921875,6.200721740722656,18.229026794433594,1.2480697631835938,43.34998321533203,46.0920295715332,34.94950866699219,23.428634643554688,18.690200805664063,11.914596557617188,7879061504,10733051904,6756294656,7404462080
199,1767739893709,287.2938995361328,1980,1,0.70625,4242.881820678711,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,27.600540161132813,14.945663452148438,13.721839904785156,9.996940612792969,7.751068115234375,1.812103271484375,43.392127990722656,41.856082916259766,53.70689010620117,44.95808792114258,30.897216796875,15.035499572753906,7879061504,10733051904,6760857600,7411564544
200,1767739893909,287.4122009277344,1980,1,0.70625,4243.848159790039,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.88652420043945,40.09912872314453,9.637191772460938,13.639480590820313,5.149192810058594,3.6666412353515625,59.34664535522461,53.28880310058594,29.147789001464844,14.064262390136719,14.633819580078125,14.614295959472656,7879061504,10733051904,6763655168,7412871168
200,1767739894109,347.9037170410156,1980,1,1.05625,4245.213027954102,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.79581069946289,36.71291732788086,25.496910095214844,12.5128173828125,29.070037841796875,7.153404235839844,45.86777114868164,44.41154861450195,47.414146423339844,29.443504333496094,42.591556549072266,26.334854125976563,7879061504,10733051904,6768513024,7415140352
199,1767739894310,349.92308044433594,1980,1,0.70625,4246.582595825195,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.99479675292969,42.11552429199219,29.820388793945313,30.32672882080078,19.02532958984375,6.622383117675781,80.58431243896484,80.27269744873047,62.34921646118164,57.259342193603516,35.68025207519531,21.737579345703125,7879061504,10733051904,6787969024,7424114688
199,1767739894510,350.00323486328125,1980,1,1.0375,4247.697113037109,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.97969436645508,24.25989532470703,13.030815124511719,8.232025146484375,30.86071014404297,3.010650634765625,66.18292236328125,64.32001495361328,43.414302825927734,44.55225372314453,23.638641357421875,13.862907409667969,7879061504,10733051904,6792482816,7423295488
199,1767739894711,287.9654235839844,1980,1,0.70625,4248.901443481445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.843074798583984,27.389915466308594,27.134109497070313,10.062431335449219,23.378524780273438,5.891014099121094,52.26122283935547,58.34121322631836,54.66885757446289,46.80586624145508,36.315452575683594,31.60803985595703,7879061504,10733051904,6792548352,7426498560
200,1767739894911,348.33990478515625,1980,1,0.70625,4250.011444091797,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,39.781131744384766,26.55870819091797,19.337181091308594,7.09039306640625,15.33404541015625,5.184165954589844,46.52699661254883,37.25030517578125,42.10700988769531,35.06005859375,34.83989715576172,22.29607391357422,7879061504,10733051904,6793105408,7428599808
199,1767739895111,348.3761749267578,1400,2,0.70625,4250.963333129883,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.11597442626953,30.54901885986328,20.942161560058594,13.649093627929688,11.633438110351563,3.35888671875,35.13025665283203,32.160728454589844,22.255874633789063,10.0777587890625,16.642379760742188,18.193145751953125,7879061504,10733051904,6796341248,7429672960
199,1767739895311,349.618408203125,1980,1,0.70625,4251.992446899414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.05916976928711,17.53429412841797,25.582359313964844,19.296676635742188,12.516090393066406,8.135993957519531,34.33125305175781,32.978057861328125,38.2366828918457,28.882423400878906,29.12108612060547,24.449501037597656,7879061504,10733051904,6800179200,7431495680
200,1767739895511,288.3640594482422,1980,1,0.70625,4253.1453857421875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.77024841308594,20.259368896484375,11.818115234375,18.1734619140625,31.546539306640625,3.3333740234375,69.67724609375,72.11428833007813,35.411163330078125,23.146583557128906,29.090682983398438,24.04747772216797,7879061504,10733051904,6811451392,7438745600
199,1767739895712,336.5639343261719,1980,1,0.70625,4254.950286865234,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.54298400878906,43.36758041381836,45.70650863647461,26.679672241210938,64.59530639648438,20.523712158203125,71.9794921875,67.56353759765625,57.34760284423828,53.27457046508789,49.142433166503906,21.835906982421875,7879061504,10733051904,6819893248,7455420416
199,1767739895912,336.7691345214844,1980,1,1.05625,4257.025970458984,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.7769889831543,47.060089111328125,39.04841995239258,33.91325378417969,63.09590148925781,56.884212493896484,59.606231689453125,58.618553161621094,53.52341842651367,42.39017105102539,50.2805290222168,30.801841735839844,7879061504,10733051904,6852210688,7481569280
200,1767739896112,288.96722412109375,1237.5,2,0.70625,4258.310195922852,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,31.35028076171875,16.10784912109375,17.35193634033203,11.641372680664063,94.97718048095703,94.08554077148438,41.73418426513672,25.928375244140625,32.335479736328125,26.555648803710938,21.251358032226563,11.275390625,7879061504,10733051904,6856228864,7491903488
199,1767739896313,289.0755157470703,1980,1,0.7375,4259.674942016602,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.488685607910156,37.82344436645508,21.5567626953125,17.307960510253906,92.39875793457031,91.19489288330078,48.56769561767578,35.74732971191406,36.117591857910156,18.819732666015625,27.06273651123047,14.391197204589844,7879061504,10733051904,6862848000,7528468480
199,1767739896513,289.19908142089844,1980,1,0.70625,4261.1875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.81124877929688,46.953800201416016,46.985050201416016,29.191513061523438,92.09307861328125,90.26538848876953,78.502197265625,47.770179748535156,62.05633544921875,45.63547134399414,59.8735466003418,46.94598388671875,7879061504,10733051904,6881681408,7543812096
199,1767739896713,289.34161376953125,1980,1,0.70625,4262.831573486328,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.36337280273438,46.7370719909668,63.314109802246094,31.241012573242188,91.92526245117188,92.5986099243164,76.56816101074219,62.08415985107422,68.95809936523438,52.9461669921875,57.450523376464844,47.09506607055664,7879061504,10733051904,6910935040,7614087168
199,1767739896913,337.62803649902344,1980,1,1.05625,4264.430236816406,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.60733032226563,45.13080596923828,57.7280158996582,41.60897445678711,93.40711212158203,87.36509704589844,86.0459213256836,88.21552276611328,66.81927490234375,41.99319839477539,56.762962341308594,37.62398147583008,7879061504,10733051904,6946992128,7645560832
199,1767739897113,337.7879943847656,1980,1,0.70625,4266.184524536133,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,84.78848266601563,67.34339904785156,70.1068344116211,49.93634033203125,79.02395629882813,71.19551086425781,89.34689331054688,91.14603424072266,75.84906005859375,46.630977630615234,66.12360382080078,49.44504165649414,7879061504,10733051904,6996123648,7683964928
199,1767739897314,349.61878967285156,1980,1,0.70625,4267.669677734375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,90.10736846923828,91.248779296875,36.98807144165039,27.71654510498047,48.04130172729492,42.1802864074707,89.08613586425781,91.78948211669922,40.79720687866211,40.1464958190918,41.221527099609375,23.419761657714844,7879061504,10733051904,7036465152,7714988032
199,1767739897514,290.0181427001953,1980,1,0.70625,4269.164642333984,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,84.25023651123047,81.6611328125,31.99200439453125,11.840339660644531,30.73998260498047,25.256561279296875,84.3646011352539,87.16751098632813,69.11780548095703,17.45818328857422,60.820152282714844,14.484458923339844,7879061504,10733051904,7039713280,7728689152
199,1767739897714,349.8278503417969,1980,1,0.70625,4270.680557250977,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,88.17462158203125,88.76507568359375,44.07637023925781,24.07219696044922,47.84466552734375,22.040672302246094,76.49855041503906,76.62860107421875,58.03551483154297,19.84520721435547,47.33803939819336,27.78179931640625,7879061504,10733051904,7046762496,7737593856
200,1767739897915,386.1123962402344,1980,1,0.70625,4272.127792358398,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,89.9463119506836,82.61338806152344,50.50233459472656,17.12421417236328,36.42634963989258,18.94220733642578,33.76744842529297,29.66948699951172,43.957244873046875,24.495315551757813,88.06546020507813,89.48624420166016,7879061504,10733051904,7070494720,7740452864
200,1767739898115,386.2196807861328,1980,1,0.70625,4273.680160522461,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,90.46498107910156,92.33230590820313,57.118255615234375,24.014549255371094,37.31684494018555,24.33202362060547,35.80342102050781,19.39777374267578,45.370662689208984,28.613113403320313,84.6983871459961,85.07400512695313,7879061504,10733051904,7079493632,7762845696
199,1767739898316,338.3391876220703,1980,1,0.7375,4275.632873535156,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,93.60820770263672,92.0630874633789,92.3426742553711,93.57830810546875,92.4710922241211,94.62628936767578,88.17021942138672,85.78059387207031,93.23733520507813,86.2359619140625,91.38896942138672,86.68128967285156,7879061504,10733051904,7115272192,7895576576
200,1767739898516,338.5658264160156,1980,1,0.7375,4277.769439697266,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,86.4773178100586,93.58606719970703,88.83442687988281,85.56053161621094,92.39982604980469,88.89906311035156,86.87957763671875,86.38932037353516,90.22655487060547,87.7708740234375,86.83598327636719,81.05426788330078,7879061504,10733051904,7134003200,7859646464
198,1767739898718,338.7740936279297,1980,1,0.7375,4279.791076660156,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,84.91213989257813,93.83873748779297,88.05382537841797,83.17364501953125,88.31910705566406,89.22393798828125,92.36626434326172,84.01497650146484,82.40719604492188,92.97924041748047,86.03385925292969,84.79271697998047,7879061504,10733051904,7139549184,7843692544
200,1767739898917,386.98765563964844,1980,1,0.7375,4281.7926025390625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,93.94358825683594,86.26885223388672,85.36678314208984,87.0829849243164,92.08887481689453,88.383544921875,95.22035217285156,93.20063781738281,92.09542083740234,84.63763427734375,91.57469940185547,86.74913024902344,7879061504,10733051904,7148855296,7926296576
200,1767739899117,353.2105255126953,1980,1,1.05625,4283.533798217773,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.3852310180664,38.375518798828125,68.9119873046875,47.91367721557617,43.29789352416992,36.247711181640625,92.66910552978516,94.19520568847656,56.6849479675293,54.09128189086914,68.37444305419922,39.1548957824707,7879061504,10733051904,7152889856,7879811072
198,1767739899319,387.3087615966797,1980,1,0.7375,4285.608383178711,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,73.87701416015625,56.411251068115234,72.35173034667969,50.22759246826172,78.2496337890625,63.72237777709961,93.40681457519531,92.52372741699219,88.96760559082031,64.46090698242188,82.90081787109375,64.7052001953125,7879061504,10733051904,7173259264,7905742848
200,1767739899519,353.61134338378906,1980,1,0.70625,4287.986145019531,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,87.78789520263672,93.34331512451172,87.28145599365234,93.7458724975586,97.53327178955078,78.07110595703125,95.80741882324219,93.94432067871094,85.4156723022461,81.7080078125,87.24473571777344,87.71063995361328,7879061504,10733051904,7210520576,8005984256
198,1767739899721,353.7493133544922,1980,1,1.05625,4289.569641113281,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,93.36016845703125,93.04368591308594,94.17603302001953,95.3507080078125,95.75455474853516,96.38159942626953,94.95576477050781,89.64501953125,98.8178939819336,90.84671783447266,92.35515594482422,90.27954864501953,7879061504,10733051904,7216263168,8043220992
199,1767739899920,351.68751525878906,1980,1,0.70625,4291.386703491211,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,96.1103744506836,76.41248321533203,95.72261047363281,90.01074981689453,81.46339416503906,89.378662109375,78.37269592285156,90.67478942871094,85.38887786865234,81.42923736572266,87.46939849853516,83.05207824707031,7879061504,10733051904,7232086016,8044785664
199,1767739900120,339.9741668701172,1980,1,1.05625,4293.053619384766,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.40077209472656,47.80378723144531,92.65939331054688,88.30876922607422,74.02167510986328,54.33552932739258,70.1270523071289,49.8997917175293,67.11994934082031,45.92621612548828,71.01922607421875,52.15420913696289,7879061504,10733051904,7246553088,8062668800
200,1767739900320,292.3156433105469,1980,1,0.70625,4294.582061767578,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.76156234741211,25.143707275390625,86.25885772705078,96.26531982421875,67.19986724853516,32.49810028076172,52.556949615478516,32.439613342285156,54.74940872192383,27.1197509765625,48.04108428955078,28.55554962158203,7879061504,10733051904,7285161984,8347607040
199,1767739900521,354.25390625,1980,1,1.05625,4296.075134277344,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.96480941772461,27.719161987304688,85.67095947265625,96.3789291381836,53.31642150878906,47.8292236328125,50.731956481933594,30.253829956054688,45.141719818115234,35.81072235107422,38.45433044433594,23.397560119628906,7879061504,10733051904,7299022848,8350552064
200,1767739900721,388.6153869628906,1980,1,1.05625,4297.363555908203,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.35050964355469,24.94182586669922,77.81832122802734,79.29029846191406,60.44705581665039,12.640335083007813,33.17179870605469,27.373207092285156,28.926170349121094,24.476051330566406,32.80132293701172,21.749740600585938,7879061504,10733051904,7298895872,8355606528
199,1767739900921,388.81898498535156,1980,1,0.7375,4298.844299316406,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.4407958984375,15.510467529296875,79.04058837890625,86.21996307373047,45.02949523925781,24.33984375,40.692283630371094,19.480575561523438,63.53707504272461,21.595779418945313,56.00701141357422,21.3583984375,7879061504,10733051904,7294685184,8293404672
199,1767739901121,352.360107421875,1980,1,0.7375,4300.342437744141,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.530250549316406,27.20140838623047,88.43750762939453,85.64692687988281,57.752197265625,20.20337677001953,55.41167449951172,45.1417236328125,45.019493103027344,22.80010986328125,35.45890808105469,21.319068908691406,7879061504,10733051904,7294586880,8300236800
199,1767739901321,389.2188720703125,1980,1,0.7375,4301.754730224609,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.73377990722656,23.01984405517578,83.28800201416016,80.28668212890625,52.40153503417969,16.614646911621094,43.95465850830078,33.64434814453125,44.83460998535156,19.41016387939453,29.243789672851563,26.327728271484375,7879061504,10733051904,7300624384,8300388352
199,1767739901522,389.4095153808594,1980,1,0.70625,4303.283599853516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.33610534667969,22.98906707763672,89.89978790283203,63.850730895996094,75.48739624023438,22.356361389160156,52.64375305175781,34.357872009277344,44.870819091796875,23.699600219726563,43.13435745239258,28.345542907714844,7879061504,10733051904,7298289664,8206893056
200,1767739901722,354.8504180908203,1980,1,0.7375,4304.678894042969,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.362525939941406,20.88714599609375,72.46240997314453,82.21559143066406,100,15.466079711914063,44.72208786010742,14.673629760742188,41.78007888793945,14.758186340332031,51.337120056152344,17.731658935546875,7879061504,10733051904,7292076032,8168763392
200,1767739901922,353.87461853027344,1980,1,0.7375,4306.1044921875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.35517883300781,17.56401824951172,76.70014190673828,49.05175018310547,60.49424362182617,13.248924255371094,42.596031188964844,11.688819885253906,60.66579055786133,25.53760528564453,71.07415771484375,52.1538200378418,7879061504,10733051904,7326269440,8305295360
200,1767739902123,389.9017639160156,1980,1,0.73125,4307.229522705078,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,31.908714294433594,7.0897216796875,61.173240661621094,51.486480712890625,15.923965454101563,7.2677154541015625,21.612869262695313,9.504661560058594,23.055381774902344,9.31524658203125,60.6302490234375,63.61924362182617,7879061504,10733051904,7326072832,8295968768
0,1767739902323,354.1922302246094,1980,1,0.7375,4308.51237487793,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.36602783203125,15.938079833984375,55.59347915649414,28.93250274658203,18.764083862304688,13.83575439453125,24.69280242919922,8.137649536132813,32.584686279296875,19.958175659179688,42.094886779785156,61.05012893676758,7879061504,10733051904,7067414528,7657140224
