Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767823665400,10269.231155395508,1880,1,0.70625,33262.4700012207,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,66.90850830078125,52.28812026977539,0,0,32.11577606201172,12.340476989746094,17.232620239257813,10.591903686523438,38.13530731201172,9.346649169921875,62.822059631347656,1.300323486328125,7879061504,11813789696,6692110336,11221983232
162,1767823665438,11021.51284790039,1880,1,0.70625,33262.612548828125,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,37.629722595214844,19.267066955566406,1.5906219482421875,1.590118408203125,15.988296508789063,10.337158203125,11.323921203613281,4.886558532714844,40.785579681396484,13.990135192871094,36.55537414550781,4.584007263183594,7879061504,11813789696,6692216832,11221983232
199,1767823665601,10269.351531982422,1880,1,0.70625,33263.32308959961,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,67.26630401611328,65.12937927246094,0.30718231201171875,0.30730438232421875,83.79186248779297,63.73688507080078,28.757415771484375,27.019058227539063,0.30748748779296875,0.3268585205078125,0.30773162841796875,0.30706024169921875,7879061504,11813789696,6725881856,11258163200
200,1767823665801,10269.477798461914,1880,1,0.70625,33264.146423339844,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,60.64948272705078,36.20771026611328,0.241790771484375,0.24169158935546875,66.33175659179688,36.74113464355469,72.71454620361328,36.505733489990234,0.2417449951171875,0.2417449951171875,0.241241455078125,0.24114227294921875,7879061504,11813789696,6727626752,11261140992
200,1767823666002,10269.61506652832,1880,1,0.70625,33265.1796875,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,84.4888916015625,68.96238708496094,0,0,78.91921997070313,69.56510925292969,88.3397216796875,64.25201416015625,39.36739730834961,38.85280990600586,0,0,7879061504,11813789696,6736732160,11257724928
200,1767823666202,10269.726303100586,1880,1,0.7375,33266.335510253906,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,63.797489166259766,49.05410385131836,0.448822021484375,0.449127197265625,64.75100708007813,48.28218460083008,63.24382781982422,48.80289840698242,66.76268768310547,59.579463958740234,62.59275817871094,49.802330017089844,7879061504,11813789696,6740856832,11264929792
200,1767823666402,3989.595260620117,1880,1,0.7375,33267.649337768555,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,85.3272476196289,66.89349365234375,46.827388763427734,43.90774154663086,75.78548431396484,72.11309051513672,73.162353515625,67.88401794433594,78.04852294921875,78.2118911743164,73.945068359375,64.33678436279297,7879061504,11813789696,6770733056,11010928640
200,1767823666603,11022.274627685547,1880,1,0.7375,33268.98374938965,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,69.31939697265625,63.28056335449219,69.84595489501953,59.570396423339844,65.3396987915039,56.680423736572266,65.3634033203125,59.334808349609375,75.30876922607422,72.37134552001953,68.22856903076172,60.891441345214844,7879061504,11813789696,6770581504,11016998912
199,1767823666804,10270.091690063477,1880,1,0.7375,33270.41108703613,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,85.96748352050781,84.04513549804688,83.97859954833984,81.0096206665039,83.63456726074219,78.0604476928711,82.90290832519531,76.51138305664063,84.73548889160156,80.88853454589844,89.5368881225586,81.522705078125,7879061504,11813789696,6778200064,10949648384
199,1767823667005,10270.234680175781,1880,1,0.70625,33271.921615600586,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,90.98330688476563,90.40416717529297,88.96650695800781,88.62496185302734,92.73518371582031,90.3662109375,90.30127716064453,90.26553344726563,91.07980346679688,92.74057006835938,92.15211486816406,90.390625,7879061504,11813789696,6752018432,10938695680
200,1767823667205,6534.420639038086,1880,1,0.7375,33273.39111328125,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,88.71934509277344,86.87864685058594,86.75961303710938,86.80987548828125,88.8558349609375,87.1113510131836,88.70128631591797,88.33114624023438,90.00164031982422,90.45415496826172,88.00007629394531,84.04167938232422,7879061504,11813789696,6754725888,10929995776
199,1767823667405,3990.2757415771484,1880,1,0.70625,33274.8596496582,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,89.41559600830078,83.60452270507813,84.20436096191406,81.62200927734375,89.61332702636719,88.9476547241211,88.8793716430664,86.16752624511719,86.30885314941406,87.33778381347656,85.34930419921875,81.97163391113281,7879061504,11813789696,6753361920,10702802944
199,1767823667606,11022.941131591797,1880,1,0.70625,33276.29943847656,1813,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,78.72129821777344,69.47969055175781,73.17240142822266,72.06703186035156,78.8642349243164,75.61963653564453,79.10502624511719,72.73139190673828,78.20396423339844,76.62043762207031,75.61590576171875,69.58541107177734,7879061504,11813789696,6760243200,10717614080
