Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767740482177,513.4136962890625,1980,1,0.70625,7335.869400024414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.794281005859375,10.650474548339844,16.359237670898438,9.840087890625,99.39717864990234,10.1595458984375,17.936683654785156,13.337905883789063,21.142112731933594,11.298416137695313,29.60509490966797,11.522216796875,7879061504,10733051904,6610452480,6504927232
199,1767740482178,513.4153289794922,1980,1,0.70625,7335.884414672852,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,21.61510467529297,0,0,0,81.66432189941406,0,0,0,77.36038208007813,0,40.83467102050781,0,7879061504,10733051904,6610542592,6504796160
200,1767740482377,553.3394775390625,1237.5,2,0.70625,7336.811386108398,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,15.841636657714844,2.0377960205078125,39.62477111816406,1.33111572265625,15.15216064453125,2.1646347045898438,6.3439788818359375,31.917877197265625,21.45478057861328,3.2824249267578125,21.038192749023438,7.548957824707031,7879061504,10733051904,6637879296,6719266816
200,1767740482578,513.4589080810547,1980,1,0.70625,7337.722671508789,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,21.762840270996094,2.2902984619140625,14.610160827636719,1.3615798950195313,12.569999694824219,3.0647964477539063,2.5126113891601563,86.63969421386719,32.53898620605469,3.6014251708984375,49.28029251098633,1.1092987060546875,7879061504,10733051904,6653988864,6722002944
199,1767740482778,513.4786529541016,1980,1,0.70625,7338.766036987305,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,25.16278839111328,1.8306045532226563,31.49687957763672,1.189361572265625,12.826744079589844,2.7295608520507813,2.8830413818359375,79.969970703125,44.640655517578125,4.693702697753906,63.124610900878906,1.7020492553710938,7879061504,10733051904,6660833280,6729371648
200,1767740482978,513.5000152587891,1980,1,0.70625,7339.756622314453,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.40401840209961,3.8082962036132813,33.65807342529297,2.9369888305664063,14.435317993164063,3.3742218017578125,4.0945281982421875,62.27937698364258,30.994613647460938,23.711692810058594,55.52766036987305,1.5430145263671875,7879061504,10733051904,6669553664,6730596352
200,1767740483179,513.5334930419922,1980,1,0.70625,7340.961807250977,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.65074157714844,7.6112060546875,45.42239761352539,4.3948974609375,21.98285675048828,4.0279541015625,5.4923553466796875,80.9688949584961,41.15169143676758,29.61516571044922,56.42597198486328,9.010902404785156,7879061504,10733051904,6687301632,6736220160
200,1767740483380,513.5696105957031,1980,1,0.70625,7342.182754516602,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.68640899658203,4.745964050292969,62.77925491333008,2.4000625610351563,24.707496643066406,3.0770645141601563,8.986991882324219,68.10784912109375,33.449241638183594,40.0927734375,51.106231689453125,30.222694396972656,7879061504,10733051904,6704050176,6744342528
200,1767740483580,513.5975494384766,1980,1,0.70625,7343.351821899414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.4221076965332,3.7466049194335938,47.255802154541016,2.979827880859375,21.701507568359375,2.7884063720703125,3.6985855102539063,76.12977600097656,36.777339935302734,30.57794952392578,50.594139099121094,15.926254272460938,7879061504,10733051904,6704553984,6744600576
200,1767740483780,513.6232757568359,1237.5,2,0.71875,7344.450622558594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.207183837890625,3.6461029052734375,48.54996871948242,2.980072021484375,17.93187713623047,5.134086608886719,9.04266357421875,68.3571548461914,34.15116882324219,25.646583557128906,49.23859786987305,16.426406860351563,7879061504,10733051904,6706237440,6747594752
199,1767740483981,513.6376953125,1237.5,2,0.70625,7345.418014526367,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,25.220680236816406,1.582427978515625,16.12230682373047,1.0551376342773438,10.140174865722656,2.4526214599609375,2.2742538452148438,76.63568878173828,16.113441467285156,20.35723114013672,32.755271911621094,0,7879061504,10733051904,6709764096,6748692480
200,1767740484181,513.6494750976563,1980,1,0.70625,7346.369338989258,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.61494445800781,1.5792083740234375,23.057350158691406,4.398643493652344,8.828933715820313,3.0547103881835938,3.6033401489257813,53.21221923828125,12.9766845703125,43.91721725463867,33.15825653076172,1.7598419189453125,7879061504,10733051904,6719414272,6754787328
200,1767740484381,553.8787841796875,1980,1,0.70625,7347.434646606445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.33272933959961,2.2005462646484375,40.069393157958984,1.3767776489257813,17.13091278076172,2.6956253051757813,2.4676666259765625,69.28466033935547,15.650764465332031,70.21842193603516,60.779380798339844,4.404228210449219,7879061504,10733051904,6728482816,6757961728
199,1767740484582,513.6893005371094,1980,1,0.70625,7348.486083984375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.36410903930664,2.4011764526367188,37.56758117675781,1.4744796752929688,12.766586303710938,2.928466796875,2.2164382934570313,70.53630828857422,30.9990234375,43.08650207519531,54.40638732910156,4.109527587890625,7879061504,10733051904,6726119424,6756483072
188,1767740484793,513.730224609375,1980,1,0.70625,7349.629364013672,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.87538146972656,7.4870758056640625,41.532981872558594,8.134040832519531,21.703872680664063,7.962730407714844,10.411209106445313,55.61722183227539,42.577335357666016,24.201034545898438,47.27671432495117,6.2965087890625,7879061504,10733051904,6727446528,6758449152
200,1767740484982,513.7618865966797,1980,1,0.70625,7350.8177490234375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.42841720581055,5.125724792480469,51.955322265625,4.6374664306640625,22.246353149414063,3.7172775268554688,8.667335510253906,69.29426574707031,44.042076110839844,45.3978385925293,71.47694396972656,6.084442138671875,7879061504,10733051904,6734921728,6763470848
199,1767740485183,513.8300628662109,1980,1,0.70625,7352.064865112305,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.36017608642578,5.21661376953125,56.728050231933594,2.4507217407226563,48.136165618896484,3.3872604370117188,5.921600341796875,81.91625213623047,50.68389892578125,31.226028442382813,71.95195007324219,5.524864196777344,7879061504,10733051904,6739828736,6763634688
200,1767740485383,513.8826446533203,1980,1,0.73125,7353.303329467773,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,88.49308013916016,2.8376541137695313,57.82246017456055,2.8718185424804688,36.77225875854492,2.6768341064453125,10.320571899414063,72.50379943847656,35.354209899902344,37.92068862915039,72.534423828125,7.535926818847656,7879061504,10733051904,6746693632,6769397760
199,1767740485584,513.9365539550781,1980,1,0.70625,7354.567367553711,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,78.24547576904297,3.7596282958984375,41.80208969116211,4.300804138183594,35.01518249511719,4.617156982421875,40.22850799560547,66.24369049072266,25.901748657226563,37.32691192626953,65.03695678710938,8.443878173828125,7879061504,10733051904,6753648640,6770778112
199,1767740485784,514.0081939697266,1980,1,0.70625,7355.821792602539,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.80205535888672,4.8020782470703125,46.24435043334961,6.0995330810546875,47.04269790649414,9.42022705078125,5.5602264404296875,70.9166030883789,42.18718338012695,43.827728271484375,64.14497375488281,8.842765808105469,7879061504,10733051904,6765805568,6770065408
199,1767740485984,514.0986633300781,1980,1,0.70625,7357.065093994141,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.432464599609375,6.671760559082031,49.04923629760742,3.162200927734375,63.45952224731445,3.71405029296875,21.026405334472656,51.465545654296875,36.366153717041016,26.114158630371094,61.68172073364258,12.198524475097656,7879061504,10733051904,6787448832,6771408896
199,1767740486184,479.33567810058594,1980,1,0.70625,7358.390548706055,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.37234497070313,6.7545318603515625,45.28055191040039,6.9825592041015625,54.44816207885742,4.884330749511719,5.844627380371094,91.22645568847656,56.54805374145508,42.70716857910156,73.68379211425781,7.760948181152344,7879061504,10733051904,6789660672,6775263232
199,1767740486384,514.2677307128906,1980,1,0.73125,7359.822219848633,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.67597579956055,29.514427185058594,50.69824981689453,21.671401977539063,55.12582015991211,21.156959533691406,29.45708465576172,76.47840881347656,58.90336608886719,43.80146026611328,70.78369140625,20.973678588867188,7879061504,10733051904,6797176832,6776582144
200,1767740486584,514.3728637695313,1980,1,0.70625,7361.159469604492,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.76774978637695,6.119903564453125,44.69407272338867,4.70330810546875,71.35713195800781,5.5778045654296875,27.971969604492188,64.11065673828125,46.42074203491211,50.10124969482422,78.9747314453125,6.6887664794921875,7879061504,10733051904,6798307328,6782783488
200,1767740486785,555.017333984375,1980,1,0.70625,7362.377578735352,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,77.38323974609375,9.139228820800781,49.09026336669922,3.3996047973632813,34.104347229003906,12.097366333007813,13.835044860839844,65.6013412475586,64.52809143066406,28.254898071289063,67.08213806152344,6.751121520996094,7879061504,10733051904,6803779584,6781734912
199,1767740486985,479.8227844238281,1980,1,0.70625,7363.642379760742,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,81.03244018554688,5.0127105712890625,49.33479690551758,5.6732025146484375,40.511375427246094,4.030967712402344,13.414825439453125,60.59138488769531,34.306243896484375,42.057655334472656,77.74323272705078,9.061607360839844,7879061504,10733051904,6810099712,6785454080
200,1767740487185,514.5409088134766,1980,1,0.70625,7364.683242797852,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.095882415771484,4.189643859863281,25.08844757080078,5.561492919921875,30.750259399414063,2.2153549194335938,3.2943801879882813,57.140132904052734,40.23489761352539,8.052963256835938,41.67547607421875,3.941558837890625,7879061504,10733051904,6807379968,6784245760
200,1767740487386,555.2995147705078,1980,1,0.70625,7365.935348510742,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,30.750885009765625,30.137107849121094,30.062255859375,31.1650390625,67.93230438232422,6.452537536621094,16.38349151611328,47.4757194519043,47.51202392578125,18.751380920410156,51.051002502441406,6.3655242919921875,7879061504,10733051904,6833594368,7006937088
200,1767740487586,480.1086883544922,1980,1,0.70625,7367.23454284668,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,28.27796173095703,46.50110626220703,30.95293426513672,57.92572021484375,60.9564208984375,10.61114501953125,17.072250366210938,71.45681762695313,82.02313232421875,5.377021789550781,35.420753479003906,4.105857849121094,7879061504,10733051904,6827663360,7001718784
200,1767740487787,514.822998046875,1980,1,0.70625,7368.4072265625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,22.539649963378906,63.34029006958008,7.609260559082031,78.91162872314453,62.41450119018555,4.6597747802734375,35.76976013183594,2.817596435546875,61.956783294677734,4.384178161621094,22.509315490722656,2.9860305786132813,7879061504,10733051904,6834266112,7010066432
200,1767740487987,514.9236907958984,1980,1,0.70625,7369.482681274414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,22.808502197265625,51.328453063964844,40.880882263183594,48.65888977050781,65.98181915283203,3.0273284912109375,33.47685241699219,0.9751434326171875,49.70457077026367,4.759880065917969,18.14917755126953,1.7616653442382813,7879061504,10733051904,6834184192,7009837056
200,1767740488188,515.0200500488281,1980,1,0.70625,7370.60205078125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.88644790649414,24.614158630371094,5.249977111816406,72.50175476074219,58.259647369384766,3.9988632202148438,42.03520584106445,3.5795974731445313,37.173377990722656,6.242881774902344,20.326026916503906,3.5450439453125,7879061504,10733051904,6843572224,7007600640
200,1767740488388,555.7306213378906,1980,1,0.70625,7371.551086425781,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,28.16357421875,10.605033874511719,8.27838134765625,70.51490783691406,37.713409423828125,3.29425048828125,21.2789306640625,1.1479644775390625,32.323089599609375,4.286705017089844,15.309463500976563,2.9791717529296875,7879061504,10733051904,6853509120,7002742784
199,1767740488589,515.1206665039063,1980,1,0.70625,7372.43603515625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,14.936203002929688,23.733078002929688,3.790191650390625,92.65345764160156,26.077957153320313,4.0689544677734375,13.712852478027344,0.2584075927734375,17.17028045654297,5.1565399169921875,7.5209197998046875,3.5618133544921875,7879061504,10733051904,6856060928,7005528064
200,1767740488789,480.4583282470703,1980,1,0.70625,7374.084915161133,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.77063751220703,66.24302673339844,67.08238220214844,78.61390686035156,74.72418975830078,66.27154541015625,74.37362670898438,59.472835540771484,73.87939453125,66.8433837890625,75.40290069580078,63.56430435180664,7879061504,10733051904,6855938048,7011164160
0,1767740488990,515.3850250244141,1400,2,0.7,7375.625823974609,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.96297836303711,34.82677459716797,47.398738861083984,35.71269989013672,57.27462387084961,34.75413513183594,45.841819763183594,44.18165588378906,46.56045913696289,36.13956832885742,53.4446907043457,38.06821060180664,7879061504,10733051904,6617624576,6493339648
