Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719406221,2157.6143646240234,1980,1,0.7375,42273.5066986084,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.18806457519531,1.23944091796875,50.950927734375,4.431892395019531,40.349300384521484,12.837509155273438,48.75228500366211,12.515518188476563,100,78.56089782714844,63.84523391723633,12.400413513183594,7879061504,20937863168,7016452096,13696929792
199,1767719406221,2721.7823181152344,1980,1,0.7375,42273.52412414551,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,29.97894287109375,0,49.979942321777344,0,100,69.96590423583984,6.172279357910156,15.578620910644531,100,100,47.83393478393555,21.02386474609375,7879061504,20937863168,7016562688,13696929792
199,1767719406421,2721.9346618652344,1980,1,0.7375,42274.780197143555,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,39.18785095214844,14.893951416015625,28.310455322265625,37.43075180053711,49.074039459228516,27.629119873046875,49.56229019165039,14.146125793457031,41.59146499633789,32.84033203125,64.3887939453125,29.47978973388672,7879061504,20937863168,7030800384,13899083776
199,1767719406621,2722.0615844726563,1980,1,0.7375,42275.94561767578,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.13743591308594,18.046966552734375,35.409942626953125,41.67979431152344,69.07918548583984,23.106964111328125,35.80633544921875,11.048324584960938,84.55304718017578,40.27079772949219,58.062408447265625,21.524932861328125,7879061504,20937863168,7032127488,13907025920
199,1767719406822,2722.2068634033203,1980,1,0.7375,42277.401458740234,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.44945526123047,29.376510620117188,47.95514678955078,48.51460266113281,55.25688552856445,54.93117141723633,64.59353637695313,20.423667907714844,79.33299255371094,38.00852966308594,76.00041961669922,25.357284545898438,7879061504,20937863168,7045447680,13907083264
202,1767719407022,3166.941207885742,1980,1,0.7375,42278.823486328125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.22483825683594,33.230140686035156,34.44654083251953,65.28349304199219,75.64207458496094,32.86504364013672,55.656307220458984,15.873939514160156,81.01368713378906,30.376930236816406,67.91410827636719,33.14070129394531,7879061504,20937863168,7069577216,13919932416
199,1767719407224,2158.3372497558594,1980,1,0.7125,42280.80242919922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.95054626464844,38.71697235107422,38.144752502441406,59.64379119873047,58.95079803466797,28.514244079589844,53.48210144042969,45.30823516845703,73.2861557006836,21.506935119628906,66.06559753417969,22.546005249023438,7879061504,20937863168,7105441792,13921447936
199,1767719407425,2722.6890563964844,1980,1,0.7125,42281.90660095215,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.04306030273438,31.88343048095703,51.49925231933594,60.44228744506836,69.10581970214844,53.754615783691406,66.15676879882813,48.143856048583984,78.37999725341797,40.21569061279297,72.54438781738281,49.20047378540039,7879061504,20937863168,7158452224,14006468608
200,1767719407625,2722.866912841797,1980,1,0.7125,42283.64735412598,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,77.98748779296875,77.3245620727539,78.99494934082031,73.26988220214844,72.96493530273438,82.35540008544922,70.65269470214844,87.37644958496094,89.04119873046875,62.51887893676758,78.65824890136719,60.27717971801758,7879061504,20937863168,7169474560,13947777024
200,1767719407825,3167.5507202148438,1980,1,0.7125,42285.147552490234,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.11538314819336,33.793853759765625,37.75681686401367,68.95480346679688,58.25025177001953,46.48358917236328,65.53108215332031,35.111419677734375,69.55077362060547,15.007728576660156,59.40251922607422,23.143280029296875,7879061504,20937863168,7171727360,13946400768
