Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767740839532,703.7877502441406,1980,1,0.73125,9276.495391845703,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,0,0,0,0,0,0,0,0,0,0,97.41654205322266,0,7879061504,10733051904,6359187456,6505762816
199,1767740839533,703.7901611328125,1980,1,0.73125,9276.511138916016,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,0,0,0,0,0,0,0,0,0,12.091773986816406,82.11862182617188,80.14157104492188,7879061504,10733051904,6359203840,6505762816
200,1767740839733,676.0330352783203,1980,1,0.73125,9277.401428222656,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,23.766571044921875,10.69879150390625,20.790817260742188,15.035224914550781,16.141380310058594,15.604209899902344,15.526748657226563,6.400733947753906,21.007667541503906,9.689735412597656,18.827430725097656,8.987022399902344,7879061504,10733051904,6381936640,6718427136
199,1767740839933,663.9145202636719,1980,1,0.73125,9278.342819213867,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.2004280090332,55.02434539794922,11.343597412109375,27.71380615234375,35.7454833984375,26.460548400878906,9.933631896972656,3.2354736328125,13.758209228515625,7.876762390136719,5.483451843261719,6.213798522949219,7879061504,10733051904,6393552896,6725988352
199,1767740840133,738.7427062988281,1980,1,0.7,9279.317260742188,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,26.850852966308594,25.410667419433594,24.72270965576172,33.549888610839844,30.132308959960938,27.136131286621094,8.350173950195313,6.1473541259765625,29.10407257080078,27.721389770507813,6.7617950439453125,3.2468719482421875,7879061504,10733051904,6402244608,6728142848
200,1767740840334,703.9256134033203,1980,1,0.73125,9280.405807495117,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,22.85675811767578,14.073684692382813,22.85216522216797,43.41532897949219,53.86784362792969,45.05885696411133,26.764015197753906,15.465423583984375,22.285232543945313,21.50251007080078,25.75042724609375,13.601463317871094,7879061504,10733051904,6418206720,6733410304
199,1767740840534,738.8669128417969,1980,1,0.70625,9281.411392211914,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,22.51812744140625,22.750083923339844,13.423133850097656,23.45227813720703,38.75212860107422,23.286392211914063,37.800132751464844,45.91356658935547,21.300277709960938,15.390151977539063,7.8102264404296875,5.97808837890625,7879061504,10733051904,6429405184,6735630336
199,1767740840734,664.1835174560547,1980,1,0.70625,9282.51676940918,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.28373718261719,45.37956619262695,26.215431213378906,31.945281982421875,28.250350952148438,36.676116943359375,22.39501190185547,19.055984497070313,18.817649841308594,13.384368896484375,7.4591217041015625,6.201873779296875,7879061504,10733051904,6433542144,6737440768
200,1767740840934,739.0006256103516,1980,1,0.70625,9283.734329223633,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.93939208984375,65.1776123046875,30.221595764160156,33.89967346191406,39.632198333740234,35.21527862548828,47.17326736450195,39.00639343261719,33.79847717285156,33.300071716308594,9.731254577636719,5.850990295410156,7879061504,10733051904,6446850048,6746857472
199,1767740841135,703.9891357421875,1237.5,2,0.73125,9284.87760925293,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.5528450012207,32.117095947265625,33.375343322753906,53.17374801635742,4.953826904296875,4.4416961669921875,48.77257537841797,36.739341735839844,37.46964645385742,33.03675079345703,13.091011047363281,5.970436096191406,7879061504,10733051904,6451990528,6746476544
199,1767740841335,739.2299194335938,1980,1,0.7375,9286.175491333008,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.68975067138672,49.791133880615234,48.95798110961914,47.232627868652344,54.97916793823242,54.54796600341797,51.199073791503906,45.21820068359375,18.89746856689453,11.121528625488281,10.826950073242188,13.117225646972656,7879061504,10733051904,6455545856,6763909120
