Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719392019,2711.817886352539,1980,1,0.7375,42180.21421813965,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,22.495697021484375,17.881515502929688,100,79.6516342163086,29.892074584960938,6.0665435791015625,20.371482849121094,9.277839660644531,19.137832641601563,11.682723999023438,69.65847778320313,8.802040100097656,7879061504,20937863168,6930157568,13659205632
199,1767719392020,2711.819808959961,1980,1,0.7375,42180.23432922363,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.5198974609375,100,100,65.82730102539063,93.75979614257813,31.614578247070313,89.19387817382813,23.680084228515625,58.293033599853516,26.681785583496094,89.68749237060547,21.028579711914063,7879061504,20937863168,6930227200,13659074560
200,1767719392219,2148.752456665039,1980,1,0.7375,42181.51988220215,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.67129898071289,39.94040298461914,47.77478790283203,25.551498413085938,42.99785614013672,16.96324920654297,38.11826705932617,14.34576416015625,47.833702087402344,18.715225219726563,63.36330032348633,8.905265808105469,7879061504,20937863168,6949806080,13864960000
200,1767719392420,2148.898223876953,1980,1,0.7375,42182.677474975586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.52953338623047,10.470542907714844,10.146110534667969,81.64967346191406,44.04941940307617,13.904533386230469,34.358917236328125,13.247390747070313,40.332515716552734,10.415840148925781,68.10567474365234,5.832389831542969,7879061504,20937863168,6978715648,13872033792
200,1767719392620,2149.0232696533203,1980,1,0.7375,42183.75895690918,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.96261978149414,5.564552307128906,21.45794677734375,60.70198059082031,49.13911437988281,6.118263244628906,36.20252227783203,9.374046325683594,43.44363784790039,16.560531616210938,58.907527923583984,7.831962585449219,7879061504,20937863168,6980468736,13876727808
200,1767719392821,2149.162887573242,1980,1,1.05625,42185.013748168945,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,79.15614318847656,16.38391876220703,21.268531799316406,75.07994079589844,65.82063293457031,12.858314514160156,51.978878021240234,17.283584594726563,47.9134635925293,26.676437377929688,58.50016784667969,9.451255798339844,7879061504,20937863168,7005859840,13891944448
199,1767719393021,2712.422164916992,1980,1,0.7375,42186.5270690918,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,76.17062377929688,69.91594696044922,51.20634841918945,97.28174591064453,79.81153106689453,48.427772521972656,61.73624038696289,56.24070739746094,82.66554260253906,48.75563049316406,64.07090759277344,53.65921401977539,7879061504,20937863168,7009083392,13892030464
200,1767719393222,2149.495803833008,1980,1,0.7125,42188.24131774902,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,85.25271606445313,82.43417358398438,80.10389709472656,83.69044494628906,88.92699432373047,77.64761352539063,72.908447265625,78.92738342285156,84.68477630615234,84.16629028320313,77.93050384521484,74.41860961914063,7879061504,20937863168,7018962944,13901225984
199,1767719393422,2712.7374877929688,1980,1,0.7375,42189.68440246582,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,87.37939453125,83.38666534423828,83.63327026367188,68.74720001220703,75.7399673461914,93.23204040527344,87.97183990478516,80.34207153320313,74.89686584472656,55.18398666381836,79.891357421875,60.52907943725586,7879061504,20937863168,7049080832,13914255360
201,1767719393622,3158.705535888672,1980,1,0.7375,42191.26919555664,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.22772979736328,70.33860778808594,57.55535888671875,65.56682586669922,66.44683074951172,46.67576217651367,86.29714965820313,64.09407043457031,72.44462585449219,31.43524932861328,62.26896286010742,36.48689651489258,7879061504,20937863168,7056924672,13923151872
