Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767740755843,671.2323608398438,1980,1,0.70625,8782.259399414063,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,7.064308166503906,13.678428649902344,23.52655029296875,5.598609924316406,8.456214904785156,10.794258117675781,7.058403015136719,4.401542663574219,7.988311767578125,17.31981658935547,100,99.03319549560547,7879061504,10733051904,6587559936,6618394624
199,1767740755844,601.1714172363281,1980,1,0.70625,8782.274154663086,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,0,0,63.975669860839844,0,21.556930541992188,5.8454132080078125,0,0,0,0,100,76.06145477294922,7879061504,10733051904,6588887040,6618394624
199,1767740756044,601.2193756103516,1980,1,0.70625,8783.29997253418,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,6.605720520019531,3.6341094970703125,35.56775665283203,2.80078125,30.446083068847656,12.206123352050781,4.1529998779296875,0.00145721435546875,14.728256225585938,4.293983459472656,56.61548614501953,81.3050765991211,7879061504,10733051904,6619328512,6833549312
199,1767740756244,601.3779144287109,1980,1,0.70625,8784.361236572266,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,7.6046600341796875,3.6909713745117188,12.810623168945313,3.566375732421875,88.60590362548828,65.54193115234375,3.6062240600585938,0.8966598510742188,39.16093444824219,49.50333786010742,32.73462677001953,22.13446807861328,7879061504,10733051904,6620405760,6840188928
200,1767740756444,671.5819091796875,1980,1,0.70625,8785.447814941406,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,11.642349243164063,1.2246475219726563,27.972862243652344,8.535003662109375,38.861083984375,26.371551513671875,5.234169006347656,0.88775634765625,52.14280319213867,68.61351013183594,63.580692291259766,51.469173431396484,7879061504,10733051904,6638751744,6839918592
200,1767740756645,601.5059204101563,1980,1,0.70625,8786.532043457031,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,18.612106323242188,1.494476318359375,47.74454879760742,49.22303771972656,32.652008056640625,23.67937469482422,4.411659240722656,1.0337448120117188,48.491737365722656,57.63539123535156,57.60160827636719,67.01737976074219,7879061504,10733051904,6635302912,6846017536
199,1767740756845,601.5783538818359,1980,1,0.70625,8787.652221679688,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,22.150367736816406,1.784637451171875,64.2611083984375,100,44.823726654052734,17.668045043945313,4.668098449707031,0.28742218017578125,43.2126350402832,30.053237915039063,41.273109436035156,31.69451141357422,7879061504,10733051904,6650953728,6847746048
199,1767740757045,601.6911773681641,1980,1,0.70625,8788.933410644531,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,25.922218322753906,20.82415771484375,57.21638870239258,90.52000427246094,68.63900756835938,42.995521545410156,15.541954040527344,6.5923004150390625,58.692996978759766,52.53185272216797,38.280818939208984,26.807403564453125,7879061504,10733051904,6662217728,6859198464
199,1767740757246,601.8088989257813,1980,1,0.70625,8790.272186279297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,18.1597900390625,3.1906661987304688,76.67296600341797,83.58837127685547,57.9259033203125,43.72895431518555,8.51300048828125,0.9141082763671875,66.18991088867188,67.31532287597656,69.61566925048828,62.906795501708984,7879061504,10733051904,6677041152,6864396288
199,1767740757446,601.9151763916016,1980,1,0.70625,8791.448272705078,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,13.308120727539063,1.7509384155273438,34.167808532714844,28.994216918945313,55.608558654785156,43.50326156616211,4.297065734863281,2.1123580932617188,58.066864013671875,42.762786865234375,74.00606536865234,66.11479187011719,7879061504,10733051904,6671462400,6857338880
199,1767740757646,602.0102233886719,1980,1,0.70625,8792.725128173828,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,13.593696594238281,2.0297775268554688,58.224151611328125,49.33942794799805,52.49095916748047,42.36709213256836,7.3660430908203125,1.4259185791015625,50.93326950073242,60.81888198852539,83.90689086914063,77.56858825683594,7879061504,10733051904,6674378752,6861062144
199,1767740757847,602.0785675048828,1980,1,0.70625,8793.76252746582,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,9.631370544433594,1.5184097290039063,36.92217254638672,32.45768737792969,42.53546142578125,20.22503662109375,2.28759765625,0.633758544921875,30.50457763671875,17.712364196777344,57.881927490234375,90.7286376953125,7879061504,10733051904,6664458240,6858792960
199,1767740758047,602.1523590087891,1980,1,0.70625,8794.746963500977,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,13.875076293945313,4.487091064453125,18.72315216064453,21.108436584472656,51.1815299987793,16.740707397460938,4.760955810546875,2.5493545532226563,23.508224487304688,23.135780334472656,54.18646240234375,99.9121322631836,7879061504,10733051904,6666010624,6859902976
200,1767740758247,672.7816467285156,1980,1,0.70625,8795.737075805664,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,7.8712158203125,1.4925155639648438,26.117279052734375,24.926467895507813,38.02113342285156,17.912216186523438,3.1320419311523438,0.677215576171875,31.652366638183594,29.342750549316406,60.47199630737305,99.35943603515625,7879061504,10733051904,6672056320,6865563648
199,1767740758447,641.3226318359375,1980,1,0.70625,8796.823989868164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,11.73358154296875,1.6146774291992188,53.8869743347168,54.41754150390625,49.273746490478516,20.453338623046875,5.514778137207031,1.5185470581054688,48.029212951660156,67.58512878417969,62.88969421386719,39.59703826904297,7879061504,10733051904,6697226240,6871945216
200,1767740758648,602.3895416259766,1980,1,0.70625,8797.944763183594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,11.747390747070313,5.709686279296875,63.98417663574219,84.3377685546875,51.39626693725586,40.366329193115234,5.084442138671875,1.8574447631835938,47.943477630615234,43.58646011352539,53.46167755126953,48.63804244995117,7879061504,10733051904,6697488384,6873546752
200,1767740758848,602.491943359375,1980,1,0.70625,8799.08154296875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,7.649658203125,3.3516159057617188,40.926002502441406,40.9894905090332,62.227317810058594,25.095619201660156,6.579246520996094,1.7480010986328125,64.06269836425781,47.899757385253906,66.74620056152344,50.352787017822266,7879061504,10733051904,6697611264,6875488256
200,1767740759049,641.6693115234375,1980,1,0.73125,8800.215087890625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,9.963523864746094,4.371757507324219,37.0818977355957,36.86003494262695,52.76215744018555,60.94316101074219,5.638214111328125,0.8162994384765625,61.8845329284668,54.198089599609375,27.157691955566406,14.586723327636719,7879061504,10733051904,6694285312,6878949376
199,1767740759249,602.7461547851563,1980,1,0.70625,8801.458099365234,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,10.886398315429688,3.9093704223632813,50.9478874206543,34.82429504394531,53.48406982421875,48.55447769165039,6.5509033203125,1.8732681274414063,49.899169921875,45.47858810424805,67.32628631591797,77.23582458496094,7879061504,10733051904,6694223872,6879940608
199,1767740759450,602.8573455810547,1980,1,0.70625,8802.7490234375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,14.522514343261719,3.9645156860351563,63.828189849853516,53.8445930480957,59.26442337036133,42.99750900268555,7.5910491943359375,11.506072998046875,79.96253204345703,78.47469329833984,77.65678405761719,79.78789520263672,7879061504,10733051904,6709719040,6881562624
200,1767740759650,602.9646148681641,1980,1,0.70625,8803.992889404297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,12.55792236328125,2.92462158203125,63.79338455200195,80.40292358398438,48.162147521972656,51.73015594482422,8.655197143554688,2.5854110717773438,63.19388961791992,58.13291549682617,76.57164001464844,72.9129638671875,7879061504,10733051904,6700711936,6879936512
204,1767740759851,673.7729797363281,1980,1,0.73125,8805.279235839844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,19.057754516601563,4.571601867675781,40.58586120605469,40.727779388427734,76.53900909423828,62.65288162231445,8.899925231933594,2.6470184326171875,80.63571166992188,81.67683410644531,61.62785720825195,63.94178771972656,7879061504,10733051904,6726979584,6888079360
200,1767740760056,631.8682556152344,1980,1,0.70625,8807.845184326172,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.9179573059082,35.54344940185547,78.64861297607422,93.14640045166016,81.27186584472656,77.11405181884766,45.304901123046875,30.28998565673828,80.75674438476563,82.57667541503906,78.76747131347656,64.97493743896484,7879061504,10733051904,6727462912,6895132672
199,1767740760257,674.0626525878906,1980,1,1.05625,8808.458145141602,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,89.60944366455078,81.19097900390625,91.72618103027344,85.68273162841797,93.20413208007813,87.68272399902344,88.72274017333984,80.65248107910156,98.06867218017578,92.99657440185547,98.14790344238281,93.41520690917969,7879061504,10733051904,6742069248,6901538816
200,1767740760457,632.4227142333984,4050,0,1.28125,8812.907852172852,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.119510650634766,40.80071258544922,67.33657836914063,58.002811431884766,66.04410552978516,71.64266967773438,44.22465515136719,41.15593338012695,62.34964370727539,62.52466583251953,78.98674011230469,72.75997161865234,7879061504,10733051904,6762303488,6909779968
200,1767740760658,604.9864501953125,4050,0,1.28125,8817.39306640625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,39.455039978027344,40.15766906738281,45.432960510253906,39.03994369506836,54.78326416015625,55.40443420410156,34.189544677734375,33.63868713378906,48.963958740234375,52.85734558105469,59.8885383605957,58.67020034790039,7879061504,10733051904,6778912768,6912397312
199,1767740760858,605.3612060546875,1980,1,0.70625,8820.613632202148,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,19.06159210205078,5.5631103515625,46.517242431640625,32.81031036376953,46.3411979675293,36.81589126586914,39.284358978271484,38.933162689208984,55.7958984375,46.829933166503906,64.36783599853516,66.33992004394531,7879061504,10733051904,6789918720,6912561152
199,1767740761059,633.2608795166016,1980,1,0.73125,8821.920303344727,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.91844177246094,31.089996337890625,64.24114990234375,51.693206787109375,47.3936653137207,57.33753967285156,39.67746353149414,32.744850158691406,14.911476135253906,8.401214599609375,47.38359832763672,53.77085494995117,7879061504,10733051904,6781841408,6908432384
199,1767740761259,564.7187347412109,1980,1,0.7375,8823.239669799805,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.88124084472656,62.901981353759766,57.6999626159668,59.856468200683594,9.743537902832031,3.672637939453125,35.63111877441406,48.78264617919922,80.2364730834961,76.37186431884766,46.9975471496582,41.5008659362793,7879061504,10733051904,6775619584,6907908096
199,1767740761459,605.6005096435547,1980,1,0.7375,8824.654739379883,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.284629821777344,54.51396179199219,56.022823333740234,49.23999786376953,30.74169158935547,26.129310607910156,68.41720581054688,70.9847412109375,40.2142333984375,39.44527053833008,54.44222640991211,45.660282135009766,7879061504,10733051904,6788198400,6915211264
200,1767740761659,605.6931304931641,1237.5,2,0.73125,8826.034637451172,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.1903190612793,51.34218978881836,86.40258026123047,76.56321716308594,47.626094818115234,26.554962158203125,33.536590576171875,35.56707763671875,30.520668029785156,5.6315765380859375,68.54652404785156,68.40841674804688,7879061504,10733051904,6794813440,6918946816
200,1767740761860,605.7841186523438,1237.5,2,0.73125,8827.385803222656,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.68484878540039,43.025630950927734,58.567569732666016,64.86943054199219,40.623130798339844,41.151371002197266,51.39175033569336,46.98715591430664,42.99444580078125,25.93250274658203,62.39053726196289,39.06221008300781,7879061504,10733051904,6807392256,6928556032
199,1767740762060,565.1554870605469,1980,1,0.7375,8828.711944580078,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,16.12598419189453,2.7631378173828125,30.315399169921875,25.010452270507813,77.4822769165039,60.440391540527344,30.44689178466797,35.096519470214844,77.32742309570313,67.42343139648438,57.767093658447266,50.82876968383789,7879061504,10733051904,6797996032,6924591104
199,1767740762260,565.2764892578125,1980,1,0.70625,8829.993453979492,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,14.991355895996094,7.433624267578125,35.54730224609375,36.63697052001953,40.1341438293457,17.821273803710938,47.268707275390625,57.86233901977539,28.57349395751953,19.312461853027344,87.11603546142578,60.87334060668945,7879061504,10733051904,6816600064,7146000384
200,1767740762461,565.3876800537109,1980,1,0.70625,8831.199035644531,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,17.35511016845703,8.322601318359375,34.647056579589844,37.859310150146484,53.747352600097656,28.012657165527344,40.34841537475586,43.8663330078125,29.229637145996094,33.40458679199219,64.92733001708984,46.619564056396484,7879061504,10733051904,6834954240,7142842368
199,1767740762661,606.2125549316406,1980,1,0.7,8832.318222045898,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,17.93694305419922,6.0767364501953125,72.83930969238281,100,46.25521469116211,38.225223541259766,28.32275390625,21.559921264648438,23.804763793945313,11.741058349609375,12.280632019042969,3.657867431640625,7879061504,10733051904,6829289472,7143731200
200,1767740762862,606.2783508300781,1980,1,0.73125,8833.303085327148,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,26.331741333007813,24.72753143310547,82.20773315429688,100,35.426658630371094,19.077423095703125,5.730216979980469,1.294036865234375,23.903785705566406,13.159881591796875,11.151359558105469,8.732841491699219,7879061504,10733051904,6829830144,7146033152
199,1767740763062,634.0533905029297,1980,1,0.73125,8834.542449951172,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.413299560546875,43.425445556640625,76.25200653076172,57.64931106567383,35.180763244628906,27.522117614746094,25.898956298828125,20.366424560546875,41.77370834350586,35.61741638183594,34.488548278808594,16.21727752685547,7879061504,10733051904,6839611392,7151427584
200,1767740763263,634.1520690917969,1980,1,0.70625,8835.601745605469,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,38.514835357666016,27.096824645996094,98.20085906982422,81.39118957519531,7.854461669921875,1.6508407592773438,28.798599243164063,30.617164611816406,32.61394500732422,26.009681701660156,17.649940490722656,22.804710388183594,7879061504,10733051904,6840651776,7152693248
199,1767740763463,606.43212890625,1980,1,0.70625,8836.870727539063,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.21054458618164,45.48527145385742,75.3121337890625,55.36543273925781,20.442367553710938,5.180213928222656,17.543487548828125,14.367103576660156,61.51150894165039,99.05390167236328,21.70709228515625,14.287712097167969,7879061504,10733051904,6859657216,7156613120
199,1767740763663,606.4940338134766,1980,1,0.7375,8838.055847167969,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.31210708618164,22.452957153320313,58.58988952636719,75.36961364746094,29.978797912597656,18.649375915527344,10.425003051757813,1.8590469360351563,87.29232025146484,66.72732543945313,31.195236206054688,14.216636657714844,7879061504,10733051904,6859575296,7155724288
199,1767740763864,646.0352172851563,1980,1,0.70625,8839.113296508789,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,15.516494750976563,7.31060791015625,86.4349365234375,100,15.287559509277344,17.175064086914063,5.001777648925781,1.4407119750976563,88.01614379882813,12.826400756835938,22.938377380371094,14.137710571289063,7879061504,10733051904,6867333120,7158747136
199,1767740764064,606.5776824951172,1980,1,0.70625,8840.264831542969,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,25.511749267578125,13.531028747558594,89.85739135742188,92.62045288085938,26.78022003173828,15.777694702148438,20.41333770751953,15.76031494140625,67.63664245605469,25.600433349609375,19.290878295898438,2.874603271484375,7879061504,10733051904,6879449088,7168233472
200,1767740764264,606.7066040039063,1980,1,0.70625,8841.65347290039,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.82566452026367,31.758712768554688,68.50703430175781,68.76461791992188,60.695369720458984,57.60777282714844,21.76122283935547,8.349609375,83.1485366821289,56.708160400390625,18.394813537597656,6.857879638671875,7879061504,10733051904,6813175808,6928560128
1,1767740764465,606.798583984375,1980,1,0.73125,8842.870300292969,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,26.684715270996094,18.80060577392578,19.497390747070313,8.021675109863281,28.271041870117188,28.384742736816406,8.96148681640625,4.9699859619140625,84.60326385498047,47.18994903564453,75.16404724121094,45.54104232788086,7879061504,10733051904,6608429056,6635421696
