Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767740985037,738.5884246826172,1980,1,0.73125,9977.042861938477,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,9.416709899902344,8.103767395019531,10.505546569824219,11.088630676269531,9.89666748046875,8.089881896972656,8.085914611816406,8.081947326660156,12.500740051269531,10.574958801269531,99.57756042480469,20.529144287109375,7879061504,10733051904,6407344128,6556483584
199,1767740985039,738.5910034179688,1980,1,0.73125,9977.057037353516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,0,5.657341003417969,0,0,0,0,0,0,0,0,77.17938232421875,80.17414855957031,7879061504,10733051904,6407360512,6556352512
200,1767740985239,719.0811767578125,1980,1,0.73125,9978.39892578125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,30.178489685058594,6.768913269042969,34.66056823730469,35.72840881347656,51.64576721191406,20.522994995117188,30.362518310546875,15.835769653320313,36.571502685546875,17.469276428222656,61.485897064208984,19.575042724609375,7879061504,10733051904,6429429760,6770782208
199,1767740985439,777.9659118652344,1980,1,0.70625,9979.604797363281,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,76.72264099121094,10.060844421386719,10.89959716796875,84.37020874023438,69.98614501953125,9.650009155273438,43.12104034423828,14.356216430664063,40.544490814208984,10.842147827148438,26.377540588378906,9.006034851074219,7879061504,10733051904,6454415360,6777012224
199,1767740985639,738.8103637695313,1237.5,2,0.70625,9980.621124267578,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.93688201904297,5.1575164794921875,5.569969177246094,76.53133392333984,64.37513732910156,6.8475799560546875,37.079986572265625,2.72479248046875,34.47148895263672,5.634040832519531,27.4910888671875,3.9326934814453125,7879061504,10733051904,6461075456,6785966080
200,1767740985839,738.8311309814453,1980,1,0.70625,9981.639373779297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,29.53907012939453,37.27410125732422,2.5817947387695313,83.48040008544922,55.31381607055664,3.7683181762695313,37.075157165527344,3.2119522094726563,25.824905395507813,2.7188339233398438,14.211647033691406,6.679405212402344,7879061504,10733051904,6465073152,6787608576
199,1767740986040,738.8526306152344,1980,1,0.70625,9982.616821289063,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,24.536666870117188,33.120277404785156,6.2259063720703125,57.745758056640625,42.94366455078125,6.3037567138671875,39.82062530517578,2.075836181640625,40.81667709350586,2.2699432373046875,16.010833740234375,3.556732177734375,7879061504,10733051904,6486704128,6792261632
199,1767740986240,738.8991241455078,1980,1,0.70625,9983.909255981445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.29486846923828,46.72836685180664,5.344566345214844,76.54608917236328,57.71759033203125,32.55279541015625,70.52980041503906,5.502799987792969,50.503902435302734,5.930961608886719,31.754798889160156,4.867179870605469,7879061504,10733051904,6498041856,6795108352
200,1767740986440,719.4482116699219,1980,1,0.70625,9985.016555786133,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.01713180541992,18.815879821777344,6.834800720214844,76.15262603759766,47.58403396606445,17.597862243652344,44.734596252441406,1.5474777221679688,38.03028869628906,2.9667129516601563,28.977981567382813,3.4387741088867188,7879061504,10733051904,6503231488,6797819904
200,1767740986641,622.3083801269531,1980,1,0.70625,9986.567169189453,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.51492309570313,32.137054443359375,33.967323303222656,59.40137481689453,58.0344123840332,40.699676513671875,68.01312255859375,25.063705444335938,61.7635498046875,18.800498962402344,46.53142547607422,22.595237731933594,7879061504,10733051904,6505263104,6802849792
199,1767740986841,719.6281127929688,1980,1,0.73125,9987.701263427734,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,24.051025390625,7.086463928222656,60.488380432128906,16.932876586914063,76.44297790527344,26.515182495117188,46.318973541259766,33.27388000488281,37.35694885253906,19.164466857910156,26.237030029296875,9.405654907226563,7879061504,10733051904,6516195328,6813339648
200,1767740987042,622.4830780029297,1980,1,0.7,9988.850372314453,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,21.938674926757813,6.489906311035156,54.79462432861328,23.951026916503906,33.29925537109375,42.48588180541992,27.34918975830078,23.041091918945313,59.14361572265625,11.738616943359375,25.542884826660156,14.620414733886719,7879061504,10733051904,6515662848,6812532736
199,1767740987242,622.5681304931641,1980,1,0.70625,9989.856018066406,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,27.258071899414063,4.229484558105469,21.649070739746094,56.548099517822266,44.73646545410156,30.439186096191406,37.489601135253906,25.31279754638672,25.82518768310547,16.321998596191406,17.709152221679688,15.259468078613281,7879061504,10733051904,6521352192,6815948800
199,1767740987442,779.1297607421875,1980,1,0.7375,9991.142684936523,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,29.281105041503906,8.870819091796875,44.51454544067383,45.26455307006836,60.02078628540039,56.04439163208008,42.754150390625,34.64301300048828,51.59199523925781,42.06878662109375,22.769805908203125,32.03765106201172,7879061504,10733051904,6532399104,6818512896
200,1767740987642,720.0164794921875,1980,1,1.05625,9992.473236083984,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,31.55718994140625,8.477493286132813,48.77779769897461,60.54349899291992,49.074851989746094,42.02286148071289,50.48493957519531,24.525497436523438,55.41469192504883,29.894248962402344,100,9.492782592773438,7879061504,10733051904,6535864320,6825893888
200,1767740987842,739.5117645263672,1980,1,0.70625,9994.009704589844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.53774642944336,17.195236206054688,50.99175262451172,52.6398811340332,56.28807830810547,17.91058349609375,72.06990051269531,14.135543823242188,73.1222152709961,19.189002990722656,56.70664596557617,15.305740356445313,7879061504,10733051904,6542225408,6838165504
200,1767740988043,739.5791778564453,1980,1,0.73125,9995.180526733398,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.82033157348633,7.394432067871094,42.052371978759766,38.17105484008789,40.74382019042969,5.859413146972656,27.75298309326172,3.9896011352539063,62.08880615234375,2.6391143798828125,35.57157897949219,5.0066375732421875,7879061504,10733051904,6546915328,6840025088
200,1767740988244,739.6592102050781,1980,1,1.05625,9996.38639831543,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.365943908691406,19.38397979736328,38.904563903808594,50.60612106323242,62.6353645324707,4.695030212402344,45.25591278076172,4.630271911621094,68.09317016601563,4.308624267578125,44.42692947387695,3.9947662353515625,7879061504,10733051904,6545747968,6840377344
200,1767740988444,779.8498229980469,1980,1,1.05625,9997.567077636719,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.44129180908203,27.913284301757813,22.72882843017578,63.23984909057617,68.85587310791016,5.591758728027344,50.05723571777344,4.054695129394531,67.29369354248047,5.760047912597656,34.97596740722656,8.471359252929688,7879061504,10733051904,6554574848,6840193024
