Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767740254097,470.70106506347656,1980,1,0.73125,6097.385070800781,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,16.786422729492188,0,0,0,18.5496826171875,0,100,0,0,0,98.50855255126953,0,7879061504,10733051904,6642511872,6655885312
188,1767740254108,470.7043914794922,1980,1,1.05,6097.466644287109,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,18.497154235839844,0.11676025390625,4.000679016113281,12.876564025878906,51.615272521972656,0,100,8.259620666503906,41.25170135498047,0.5474472045898438,16.87415313720703,6.331962585449219,7879061504,10733051904,6643187712,6657974272
200,1767740254297,470.7491455078125,1980,1,0.70625,6098.466873168945,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.1238899230957,11.613456726074219,10.083023071289063,36.24100875854492,52.80752182006836,2.512847900390625,49.04042434692383,7.715187072753906,15.655990600585938,3.397369384765625,14.692672729492188,10.517112731933594,7879061504,10733051904,6677176320,6871195648
200,1767740254498,470.7808532714844,1237.5,2,0.70625,6099.564071655273,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,35.97210693359375,63.598873138427734,5.471885681152344,71.76901245117188,47.13270568847656,3.3685684204101563,48.75544357299805,11.093963623046875,39.29130554199219,3.54901123046875,17.036697387695313,8.819282531738281,7879061504,10733051904,6690566144,6878334976
200,1767740254698,470.8089599609375,1980,1,0.73125,6100.7171630859375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.85585021972656,39.07827377319336,1.3874664306640625,82.9151611328125,63.38520431518555,3.4169845581054688,29.833274841308594,53.96575164794922,42.6431884765625,2.6984100341796875,22.049346923828125,1.7224349975585938,7879061504,10733051904,6694633472,6882455552
200,1767740254899,470.86029052734375,1237.5,2,0.70625,6101.969589233398,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.48753356933594,38.13508987426758,8.267265319824219,64.83646392822266,71.8723373413086,3.8881301879882813,59.51786422729492,38.32710266113281,53.24631118774414,3.9269866943359375,39.735382080078125,4.087654113769531,7879061504,10733051904,6712897536,6885859328
200,1767740255099,470.9002227783203,1980,1,0.70625,6103.143585205078,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.19912719726563,22.819900512695313,19.693801879882813,68.33491516113281,53.078277587890625,9.384010314941406,80.61106872558594,9.995155334472656,42.39036178588867,4.6612091064453125,29.97809600830078,3.2684173583984375,7879061504,10733051904,6712426496,6890115072
200,1767740255299,470.9701385498047,1980,1,0.70625,6104.543395996094,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.00846481323242,46.53839111328125,18.632369995117188,75.08391571044922,67.61138153076172,22.545249938964844,80.73146057128906,27.612686157226563,68.743896484375,4.767524719238281,49.334232330322266,4.912528991699219,7879061504,10733051904,6737903616,6894329856
200,1767740255500,471.0228576660156,1980,1,0.70625,6105.755310058594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.579750061035156,41.9872932434082,8.031547546386719,70.03392791748047,45.50319290161133,30.427642822265625,71.23826599121094,26.286361694335938,55.903987884521484,4.375144958496094,37.19950866699219,5.104156494140625,7879061504,10733051904,6737358848,6894739456
200,1767740255700,471.07374572753906,1980,1,0.70625,6106.979431152344,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.18766403198242,39.42341232299805,13.117446899414063,78.2010269165039,54.46626281738281,22.071243286132813,66.84930419921875,33.431663513183594,53.16212844848633,6.081352233886719,33.986602783203125,7.1796417236328125,7879061504,10733051904,6737031168,6896201728
199,1767740255901,471.0986633300781,1237.5,2,0.7,6108.046112060547,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,36.918792724609375,27.70165252685547,3.7017822265625,76.90404510498047,34.39521789550781,7.494842529296875,37.38979721069336,8.874946594238281,30.477928161621094,2.2801895141601563,20.914268493652344,1.3960647583007813,7879061504,10733051904,6743998464,6897250304
199,1767740256102,471.1117401123047,1237.5,2,0.70625,6109.007537841797,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,27.99261474609375,18.815200805664063,0.6795883178710938,81.9239501953125,40.49692153930664,1.2839202880859375,28.816253662109375,2.1266708374023438,20.748146057128906,3.0665740966796875,11.43084716796875,1.1208648681640625,7879061504,10733051904,6750138368,6899793920
