Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767740003824,392.2699737548828,1980,1,0.70625,4832.583633422852,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,9.303337097167969,3.3893280029296875,2.8649978637695313,4.5606536865234375,4.970222473144531,3.3794326782226563,3.37152099609375,3.37152099609375,99.54690551757813,22.04547119140625,7.516670227050781,7.2930908203125,7879061504,10733051904,6427234304,6631628800
199,1767740003825,387.6853790283203,1980,1,0.70625,4832.593292236328,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,28.204360961914063,27.82923126220703,63.32038497924805,36.941871643066406,26.26232147216797,32.324134826660156,35.673736572265625,27.49726104736328,66.77290344238281,85.39321899414063,78.95628356933594,33.57567596435547,7879061504,10733051904,6427254784,6631628800
200,1767740004024,387.76568603515625,1980,1,0.70625,4833.491500854492,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,12.473587036132813,1.0236434936523438,8.254859924316406,2.0325088500976563,3.6699981689453125,2.6613311767578125,2.9496841430664063,2.9395828247070313,38.08458709716797,26.744178771972656,37.44210433959961,38.78053283691406,7879061504,10733051904,6452146176,6847348736
200,1767740004225,392.4513854980469,1980,1,0.70625,4834.39860534668,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,16.946929931640625,1.0909957885742188,9.406227111816406,1.0401229858398438,7.436912536621094,1.714202880859375,2.01849365234375,2.4722213745117188,70.53565979003906,48.09878921508789,38.236244201660156,36.45710372924805,7879061504,10733051904,6466707456,6853685248
200,1767740004425,388.0137481689453,1980,1,0.70625,4835.318710327148,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,22.700942993164063,0.7034530639648438,10.147651672363281,1.400390625,12.870681762695313,2.0590744018554688,7.223365783691406,2.0266036987304688,68.00143432617188,43.51448059082031,53.7122802734375,47.409912109375,7879061504,10733051904,6482313216,6858899456
200,1767740004625,392.7207336425781,1980,1,0.70625,4836.325881958008,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,14.833351135253906,1.539703369140625,19.183387756347656,2.1373672485351563,6.1430816650390625,2.6485366821289063,3.3480987548828125,5.713752746582031,74.01667022705078,76.10689544677734,83.28326416015625,63.816139221191406,7879061504,10733051904,6485934080,6862213120
199,1767740004826,388.2511749267578,1980,1,0.70625,4837.224517822266,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,15.240509033203125,2.4667282104492188,13.730812072753906,4.4491119384765625,5.8928375244140625,3.0871658325195313,4.5283966064453125,3.3833694458007813,45.4221305847168,37.67850875854492,61.32905578613281,46.63842010498047,7879061504,10733051904,6490689536,6861746176
200,1767740005026,388.39442443847656,1980,1,0.70625,4838.306747436523,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,26.256439208984375,2.651763916015625,22.350791931152344,9.721107482910156,7.5066986083984375,3.637237548828125,5.011741638183594,7.106170654296875,67.65472412109375,73.65966796875,80.57881164550781,70.54790496826172,7879061504,10733051904,6511374336,6868328448
200,1767740005227,388.55308532714844,1980,1,0.70625,4839.446487426758,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,15.695419311523438,5.1075439453125,48.840755462646484,14.366554260253906,8.439125061035156,2.91802978515625,3.216400146484375,9.223556518554688,83.54171752929688,81.58663177490234,81.84563446044922,83.59742736816406,7879061504,10733051904,6522073088,6870409216
199,1767740005427,393.2780456542969,1980,1,0.70625,4840.520492553711,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,15.434974670410156,4.9393463134765625,23.878005981445313,4.9837646484375,18.58289337158203,4.260398864746094,14.792526245117188,2.4050979614257813,74.13483428955078,63.63489532470703,52.4501953125,54.427978515625,7879061504,10733051904,6521561088,6870626304
199,1767740005628,388.8525085449219,1980,1,0.70625,4841.707015991211,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,19.725372314453125,9.336555480957031,35.70771026611328,16.57788848876953,25.14751434326172,5.892669677734375,10.877525329589844,11.073989868164063,90.58554077148438,88.51295471191406,82.20597839355469,80.48576354980469,7879061504,10733051904,6523555840,6872928256
200,1767740005828,393.57025146484375,1980,1,0.70625,4842.615951538086,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,15.027534484863281,2.6530532836914063,12.911293029785156,2.9410781860351563,7.816947937011719,2.3499221801757813,4.4215240478515625,2.0214614868164063,47.075836181640625,34.09944152832031,80.7752685546875,41.26814270019531,7879061504,10733051904,6523580416,6872764416
200,1767740006028,389.0144348144531,1980,1,0.70625,4843.52995300293,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,14.711441040039063,7.138221740722656,34.457496643066406,5.344093322753906,6.796234130859375,5.730987548828125,13.58978271484375,3.39520263671875,42.86616134643555,34.771697998046875,52.203433990478516,48.93012619018555,7879061504,10733051904,6529323008,6880169984
200,1767740006229,393.7807922363281,1980,1,0.70625,4844.667495727539,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.54465866088867,18.372055053710938,27.952781677246094,18.239173889160156,26.10071563720703,19.840293884277344,26.536636352539063,14.729850769042969,65.38136291503906,58.92797088623047,62.52042770385742,44.81438064575195,7879061504,10733051904,6538592256,6885466112
200,1767740006429,393.91978454589844,1980,1,0.70625,4845.85221862793,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,12.422920227050781,2.6723403930664063,18.463272094726563,7.597969055175781,17.75238037109375,4.394126892089844,8.327690124511719,7.51971435546875,85.61608123779297,84.98023986816406,65.96839141845703,54.51020431518555,7879061504,10733051904,6553096192,6889693184
200,1767740006629,389.4381561279297,1980,1,0.70625,4846.916915893555,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,11.708419799804688,1.7615432739257813,10.824295043945313,3.751312255859375,12.443756103515625,1.32098388671875,4.745689392089844,6.09814453125,76.854736328125,73.69417572021484,65.37628936767578,62.01151657104492,7879061504,10733051904,6550315008,6890795008
199,1767740006830,389.5863494873047,1980,1,0.70625,4847.936233520508,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,16.70989990234375,2.5909500122070313,18.94438934326172,3.1725540161132813,8.004112243652344,2.5709991455078125,3.4715652465820313,5.608100891113281,81.77406311035156,63.72296905517578,68.83741760253906,60.166542053222656,7879061504,10733051904,6550716416,6893445120
200,1767740007030,394.3251190185547,1980,1,0.70625,4848.921920776367,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,13.504356384277344,1.1294326782226563,12.164512634277344,4.300445556640625,6.654533386230469,4.0546875,3.8683547973632813,3.613525390625,83.0650405883789,64.5675048828125,61.85581970214844,53.51205062866211,7879061504,10733051904,6554607616,6892208128
199,1767740007231,389.9171447753906,1980,1,0.70625,4850.039932250977,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,17.858078002929688,1.5397491455078125,18.164405822753906,5.4735565185546875,7.742462158203125,3.028228759765625,6.551109313964844,9.61505126953125,88.98956298828125,84.15802001953125,75.44325256347656,69.71713256835938,7879061504,10733051904,6552174592,6894702592
200,1767740007431,390.0805969238281,1980,1,0.70625,4851.249908447266,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,25.103302001953125,9.89166259765625,47.81431198120117,21.845977783203125,11.822219848632813,7.020751953125,9.197128295898438,21.881431579589844,87.60818481445313,86.50755310058594,88.97200775146484,83.0771713256836,7879061504,10733051904,6559088640,6893244416
200,1767740007632,390.2401580810547,1980,1,0.70625,4852.361099243164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,20.810813903808594,2.6984329223632813,35.94865417480469,12.686302185058594,7.7521209716796875,3.670166015625,12.894500732421875,12.963546752929688,82.0784683227539,87.5493392944336,89.09125518798828,71.33357238769531,7879061504,10733051904,6563454976,6894604288
199,1767740007832,371.9309387207031,1237.5,2,0.70625,4853.571548461914,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,20.18604278564453,4.9120941162109375,31.96080780029297,12.442207336425781,9.860931396484375,3.4696807861328125,17.49413299560547,10.302108764648438,83.2018051147461,91.89647674560547,89.11158752441406,74.28286743164063,7879061504,10733051904,6567346176,6897065984
200,1767740008032,390.5594787597656,1960.0000000000002,1,0.73125,4854.63232421875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,17.57080078125,4.2188720703125,21.87512969970703,5.706626892089844,6.161003112792969,4.888893127441406,10.240074157714844,9.413917541503906,66.82972717285156,79.09188079833984,74.96427154541016,64.40242004394531,7879061504,10733051904,6574219264,6896664576
200,1767740008233,390.72901916503906,1980,1,0.70625,4855.7586669921875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,19.466583251953125,3.1458358764648438,45.995548248291016,18.476531982421875,7.931373596191406,3.6917877197265625,6.491416931152344,8.057624816894531,91.9141616821289,88.31761932373047,79.13412475585938,81.15709686279297,7879061504,10733051904,6583496704,6899183616
200,1767740008433,390.89366149902344,1980,1,0.70625,4856.892196655273,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,20.012832641601563,6.6634063720703125,30.851882934570313,13.682960510253906,8.037498474121094,6.386138916015625,17.572372436523438,10.592239379882813,98.41190338134766,90.93709564208984,87.33694458007813,69.29035186767578,7879061504,10733051904,6603399168,6898610176
199,1767740008634,386.1139221191406,1980,1,0.70625,4858.276504516602,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.58476638793945,39.44334030151367,58.96968078613281,44.88068389892578,42.80094909667969,38.42607116699219,44.59952926635742,39.06458282470703,81.20896911621094,78.494873046875,90.35333251953125,87.48973083496094,7879061504,10733051904,6608347136,6900207616
200,1767740008834,395.7222137451172,1980,1,0.70625,4859.869934082031,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.65736389160156,51.56884002685547,71.918701171875,45.53783416748047,73.21517944335938,44.90890884399414,67.19168090820313,49.20417404174805,85.57569122314453,71.9891586303711,80.44999694824219,73.56333923339844,7879061504,10733051904,6611099648,6899335168
200,1767740009034,391.3555145263672,1980,1,0.70625,4861.098678588867,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,18.917762756347656,5.424598693847656,30.418418884277344,12.723243713378906,20.7901611328125,6.2244873046875,12.649154663085938,10.725845336914063,85.29756164550781,82.91983795166016,71.02435302734375,54.40568161010742,7879061504,10733051904,6610817024,6900338688
199,1767740009235,372.2357177734375,1980,1,0.70625,4862.328796386719,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.17628479003906,35.919090270996094,14.585746765136719,2.7237319946289063,21.222305297851563,11.968780517578125,30.139259338378906,38.54312515258789,36.9021110534668,46.578460693359375,61.14282989501953,66.58056640625,7879061504,10733051904,6600904704,6894333952
199,1767740009435,372.3003234863281,1980,1,0.70625,4863.491836547852,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.705135345458984,58.743770599365234,8.580604553222656,0.9362106323242188,37.41166687011719,24.206016540527344,73.14389038085938,98.27381896972656,18.023529052734375,2.4329147338867188,58.0816764831543,40.27272033691406,7879061504,10733051904,6613635072,6899261440
200,1767740009635,372.3524932861328,1980,1,0.70625,4864.525039672852,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.82097244262695,47.27507781982422,8.097076416015625,1.0230560302734375,30.45160675048828,23.9105224609375,42.12442398071289,50.20916748046875,4.021484375,2.2376785278320313,62.476722717285156,53.29280090332031,7879061504,10733051904,6619009024,6900457472
200,1767740009836,386.7047882080078,1980,1,0.70625,4865.555358886719,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.43645477294922,35.246253967285156,5.695564270019531,2.7807998657226563,21.337562561035156,11.466011047363281,35.44013977050781,75.20813751220703,5.0688629150390625,1.7080612182617188,47.43341064453125,40.55839538574219,7879061504,10733051904,6623203328,6908231680
200,1767740010036,372.43699645996094,1980,1,0.70625,4866.583419799805,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.368141174316406,33.12416076660156,6.166267395019531,3.7150497436523438,24.30127716064453,20.713043212890625,55.50083541870117,35.403846740722656,4.861763000488281,4.0015869140625,46.39605712890625,32.914306640625,7879061504,10733051904,6619348992,6905589760
200,1767740010236,321.2844696044922,1980,1,0.70625,4867.677917480469,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.31733703613281,45.464168548583984,6.992668151855469,1.0777664184570313,32.22932434082031,20.879066467285156,34.446571350097656,54.826385498046875,4.834991455078125,0.606353759765625,42.70038986206055,31.21796417236328,7879061504,10733051904,6645932032,7128248320
200,1767740010437,372.5362854003906,1980,1,0.70625,4868.669403076172,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.47822189331055,45.483524322509766,7.595664978027344,1.5380859375,29.99443817138672,17.215049743652344,34.094139099121094,60.985923767089844,5.013404846191406,1.4341964721679688,51.24943542480469,23.36853790283203,7879061504,10733051904,6653046784,7130079232
200,1767740010637,372.5847625732422,1980,1,0.70625,4869.657562255859,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.5539665222168,36.66673278808594,5.8570709228515625,1.249847412109375,26.82390594482422,20.688018798828125,28.405868530273438,24.38922119140625,2.9697723388671875,3.5626907348632813,52.5278434753418,39.97824478149414,7879061504,10733051904,6657572864,7133196288
200,1767740010838,372.62022399902344,1980,1,0.70625,4870.5357666015625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.56776428222656,58.661869049072266,5.355499267578125,0.284698486328125,20.00408935546875,15.278694152832031,10.128692626953125,7.073997497558594,0.599700927734375,2.05059814453125,40.72272872924805,30.58758544921875,7879061504,10733051904,6665125888,7138590720
199,1767740011039,387.3597717285156,1980,1,0.70625,4871.496597290039,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.70840454101563,51.57103729248047,8.547859191894531,0.8121414184570313,27.48322296142578,27.64398193359375,6.54052734375,1.8669052124023438,2.2416305541992188,4.556770324707031,64.76421356201172,58.29589080810547,7879061504,10733051904,6668128256,7138893824
199,1767740011239,387.4808044433594,1980,1,0.70625,4872.481201171875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.093265533447266,48.92274475097656,9.073577880859375,1.9408416748046875,23.81806182861328,11.3162841796875,10.259918212890625,9.697853088378906,4.860816955566406,2.8454971313476563,72.32339477539063,62.18959045410156,7879061504,10733051904,6674366464,7141089280
