Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719378923,2141.1299438476563,1980,1,0.7375,42101.281982421875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.63496398925781,19.888702392578125,38.65692901611328,0,37.95669937133789,22.890182495117188,8.856040954589844,1.6468124389648438,10.25244140625,10.305191040039063,18.663307189941406,54.413818359375,7879061504,20937863168,6743891968,13660188672
199,1767719378924,2141.1307983398438,1980,1,0.7375,42101.30220031738,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.71868896484375,92.24771118164063,65.58538818359375,56.13746643066406,58.329315185546875,100,41.33609390258789,82.09374237060547,46.913543701171875,77.330078125,46.712223052978516,87.48404693603516,7879061504,20937863168,6743719936,13661155328
200,1767719379124,2703.2928771972656,1980,1,0.7375,42102.45785522461,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,35.77698516845703,18.3673095703125,46.38456726074219,30.62042236328125,38.456031799316406,16.086814880371094,41.3725471496582,16.94366455078125,32.19127655029297,11.328254699707031,44.230323791503906,14.554557800292969,7879061504,20937863168,6768287744,13871288320
199,1767719379324,2703.3785858154297,1980,1,0.7375,42103.565200805664,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.55693054199219,11.590782165527344,33.837181091308594,47.43455505371094,41.9091796875,10.106796264648438,26.797760009765625,13.788154602050781,62.69865417480469,11.066032409667969,32.149688720703125,22.932273864746094,7879061504,20937863168,6787870720,13878185984
200,1767719379524,2703.459747314453,1980,1,0.7375,42104.596755981445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.52104568481445,10.044464111328125,32.09288787841797,48.871177673339844,61.503150939941406,9.52276611328125,35.65900421142578,5.8368988037109375,46.433433532714844,20.237693786621094,48.667301177978516,12.521270751953125,7879061504,20937863168,6801514496,13884436480
200,1767719379725,2703.5780639648438,1980,1,0.7375,42105.861724853516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.890625,23.54535675048828,32.1546630859375,62.203285217285156,62.79776382446289,29.726722717285156,48.912986755371094,20.89960479736328,61.174129486083984,10.028358459472656,46.06584930419922,29.183517456054688,7879061504,20937863168,6810935296,13891473408
199,1767719379925,2703.654281616211,1980,1,0.7375,42106.937255859375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.19902801513672,23.388748168945313,10.621490478515625,64.2349853515625,38.00188446044922,11.331283569335938,42.473487854003906,13.400856018066406,50.797752380371094,12.333450317382813,31.19593048095703,22.463424682617188,7879061504,20937863168,6816493568,13893791744
200,1767719380126,2703.7758026123047,1980,1,0.7125,42108.267578125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.10047912597656,44.23575210571289,42.103084564208984,58.734642028808594,69.63116455078125,26.5523681640625,63.554237365722656,15.549369812011719,67.524169921875,9.886001586914063,57.339263916015625,25.11224365234375,7879061504,20937863168,6834593792,13897932800
199,1767719380326,3152.113235473633,1980,1,0.7125,42109.67321777344,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.69902801513672,24.604164123535156,26.915809631347656,61.07914352416992,46.171043395996094,32.71253967285156,56.143157958984375,17.548843383789063,61.542232513427734,15.166450500488281,64.81776428222656,32.306915283203125,7879061504,20937863168,6867300352,13974716416
200,1767719380526,3152.252639770508,1980,1,0.7125,42111.17593383789,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.95924377441406,66.76775360107422,37.07412338256836,69.3098373413086,54.813072204589844,49.61490249633789,61.88197708129883,43.33851623535156,79.0887680053711,33.362953186035156,50.31209182739258,69.92082214355469,7879061504,20937863168,6826422272,13899427840
