Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767740527547,492.2363739013672,1980,1,0.70625,7546.516738891602,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,16.081748962402344,0,4.704780578613281,0,2.700286865234375,0,98.73710632324219,0,0,0,14.975898742675781,0,7879061504,10733051904,6584688640,6394281984
187,1767740527559,522.1111755371094,1980,1,0.73125,7546.582916259766,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,14.184623718261719,8.570503234863281,37.39876174926758,6.632926940917969,15.068077087402344,2.37158203125,16.101600646972656,1.7235183715820313,43.32698440551758,3.0593719482421875,28.170631408691406,4.456275939941406,7879061504,10733051904,6584647680,6395183104
200,1767740527747,492.28521728515625,1980,1,0.73125,7547.478561401367,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,17.368064880371094,5.492729187011719,36.252052307128906,3.518035888671875,11.698768615722656,3.8442916870117188,5.3177490234375,31.011695861816406,10.836357116699219,4.2462310791015625,30.595352172851563,6.97723388671875,7879061504,10733051904,6611558400,6609108992
200,1767740527948,522.1453552246094,1980,1,0.70625,7548.408905029297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.9262809753418,1.6744613647460938,28.3697509765625,1.413116455078125,11.150558471679688,3.1343536376953125,5.1357421875,51.54148864746094,20.30602264404297,3.653533935546875,42.58792495727539,4.231300354003906,7879061504,10733051904,6626131968,6615408640
200,1767740528148,522.1614379882813,1980,1,0.70625,7549.377853393555,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.48016357421875,1.4806900024414063,33.25414276123047,0.905242919921875,10.950241088867188,3.5527801513671875,2.0231094360351563,74.55587005615234,60.98044204711914,1.4571380615234375,57.62740707397461,1.2092514038085938,7879061504,10733051904,6643068928,6620393472
199,1767740528349,522.1817932128906,1237.5,2,0.70625,7550.499725341797,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.17216491699219,3.6533584594726563,41.79630661010742,2.1895828247070313,13.879631042480469,2.5808792114257813,2.5146560668945313,68.70286560058594,35.03923034667969,32.40083312988281,61.08597946166992,1.455169677734375,7879061504,10733051904,6647185408,6622760960
200,1767740528549,522.2055053710938,1980,1,0.70625,7551.610687255859,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.71704864501953,2.30096435546875,43.02497863769531,1.8052825927734375,12.025070190429688,8.369834899902344,4.738487243652344,74.58836364746094,45.32814407348633,19.236244201660156,53.987483978271484,7.862190246582031,7879061504,10733051904,6663430144,6628999168
200,1767740528750,522.2438812255859,1980,1,0.70625,7552.828750610352,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.35361099243164,5.264457702636719,74.03720092773438,2.1408233642578125,28.182388305664063,3.6003875732421875,8.288986206054688,71.51051330566406,51.31736373901367,34.29851531982422,51.89881896972656,36.44528579711914,7879061504,10733051904,6666493952,6632853504
200,1767740528950,565.8304595947266,1980,1,0.70625,7553.874160766602,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.05693817138672,4.6347503662109375,40.66175079345703,2.5698623657226563,21.75836181640625,3.3254852294921875,4.8954010009765625,71.81517028808594,41.1575813293457,28.139846801757813,41.78935241699219,13.259910583496094,7879061504,10733051904,6677413888,6633140224
200,1767740529151,522.3135223388672,1980,1,0.70625,7554.955673217773,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,39.47388458251953,5.2281036376953125,54.176063537597656,5.27325439453125,29.761703491210938,6.018882751464844,7.456230163574219,84.11581420898438,27.81658935546875,24.48198699951172,42.252071380615234,25.439804077148438,7879061504,10733051904,6674632704,6635102208
