Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767739868122,327.5213317871094,1980,1,0.70625,4090.5650177001953,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.01573944091797,100,90.70381164550781,21.504791259765625,100,22.580528259277344,62.42610549926758,53.75701904296875,95.74043273925781,70.63168334960938,66.76374816894531,37.90727233886719,7879061504,10733051904,6749294592,7142137856
197,1767739868125,327.52484130859375,1980,1,0.70625,4090.6077575683594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,73.15442657470703,88.61510467529297,71.64158630371094,49.3978271484375,100,77.20845794677734,76.38973999023438,45.71558380126953,69.37330627441406,64.41157531738281,45.35171127319336,83.26972198486328,7879061504,10733051904,6750257152,7143440384
200,1767739868323,276.91123962402344,1980,1,0.70625,4092.206344604492,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.57049560546875,70.26705932617188,58.2912712097168,20.604583740234375,60.879310607910156,19.265090942382813,68.75453186035156,51.02772521972656,83.8470458984375,86.11532592773438,67.76895141601563,35.01228332519531,7879061504,10733051904,6771748864,7158255616
200,1767739868523,340.03106689453125,1980,1,0.70625,4093.8353271484375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,78.79528045654297,68.93994903564453,51.90552520751953,29.465538024902344,39.23186111450195,64.5947265625,71.01860046386719,63.73045349121094,84.61495971679688,82.51612091064453,68.68840789794922,41.747371673583984,7879061504,10733051904,6808834048,7365394432
200,1767739868724,373.26890563964844,1980,1,0.70625,4095.328628540039,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.52411651611328,42.00782012939453,56.071144104003906,8.788017272949219,47.62617874145508,15.125579833984375,41.67729949951172,65.78082275390625,77.22266387939453,70.90205383300781,62.28205108642578,19.43134307861328,7879061504,10733051904,6819201024,7368151040
200,1767739868924,327.9287567138672,1980,1,0.70625,4096.856185913086,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.41740417480469,47.73677062988281,62.842689514160156,14.438331604003906,59.758548736572266,3.920654296875,35.518157958984375,69.0478515625,80.78668212890625,78.64720916748047,66.41554260253906,23.639862060546875,7879061504,10733051904,6830784512,7373676544
200,1767739869125,337.3833312988281,1980,1,0.70625,4098.525772094727,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,79.93645477294922,69.28141784667969,79.19590759277344,42.643699645996094,84.4189224243164,38.74428176879883,65.80435943603516,75.20576477050781,92.45272827148438,84.21627044677734,75.66193389892578,53.80567169189453,7879061504,10733051904,6832734208,7369469952
200,1767739869325,373.599853515625,1980,1,0.70625,4100.074005126953,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.06973266601563,71.02023315429688,53.83863830566406,12.745674133300781,60.54621505737305,9.124549865722656,57.43901443481445,57.874385833740234,93.0820083618164,85.32748413085938,63.62946701049805,25.523452758789063,7879061504,10733051904,6839189504,7372292096
199,1767739869526,328.2839813232422,1980,1,0.70625,4101.87028503418,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,83.41555786132813,81.91592407226563,74.52674102783203,55.71196746826172,77.45506286621094,47.383522033691406,89.56594848632813,69.49141693115234,89.64386749267578,84.14008331298828,79.5132064819336,70.99606323242188,7879061504,10733051904,6863687680,7392161792
200,1767739869726,328.3835906982422,1980,1,0.70625,4103.467559814453,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.10820007324219,44.26314163208008,60.6500244140625,22.27361297607422,64.09271240234375,6.465476989746094,49.37870407104492,63.86467361450195,73.05134582519531,84.97847747802734,69.13341522216797,32.097633361816406,7879061504,10733051904,6858739712,7391010816
199,1767739869926,328.48277282714844,1980,1,0.70625,4105.041366577148,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.90477752685547,67.60629272460938,57.23175048828125,20.328269958496094,75.69215393066406,8.366630554199219,52.582889556884766,63.3355598449707,81.98387908935547,67.90818786621094,64.62161254882813,34.209259033203125,7879061504,10733051904,6864089088,7393738752
200,1767739870127,328.579345703125,1980,1,0.70625,4106.639755249023,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,73.27095031738281,70.91233825683594,65.37625122070313,35.75933837890625,59.66581726074219,19.167343139648438,53.45824432373047,76.39427947998047,79.57881164550781,68.98280334472656,62.60753631591797,45.84874725341797,7879061504,10733051904,6863998976,7396294656
200,1767739870327,328.65806579589844,1980,1,0.70625,4108.093368530273,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.73857498168945,63.77650833129883,48.071144104003906,3.30535888671875,58.870391845703125,3.0180816650390625,39.794029235839844,52.044315338134766,75.19195556640625,61.81101989746094,54.58879470825195,15.255752563476563,7879061504,10733051904,6872571904,7399682048
199,1767739870528,328.7159118652344,1980,1,0.70625,4109.469909667969,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.13237380981445,43.60494613647461,47.53345489501953,2.8491897583007813,36.99333572387695,4.3699493408203125,25.855812072753906,59.52250289916992,76.88662719726563,55.150848388671875,76.1610107421875,8.519134521484375,7879061504,10733051904,6880436224,7399010304
199,1767739870728,278.3252868652344,1980,1,0.70625,4110.873992919922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.21707534790039,21.9730224609375,74.86260986328125,5.2255706787109375,44.779537200927734,4.9795989990234375,13.9813232421875,65.50776672363281,90.08557891845703,65.89724731445313,79.77227020263672,8.082504272460938,7879061504,10733051904,6891999232,7403638784
200,1767739870928,328.86326599121094,1980,1,0.70625,4112.324752807617,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,76.68460845947266,59.31230926513672,68.50750732421875,6.5399169921875,48.01631546020508,13.814712524414063,32.99107360839844,66.68572235107422,67.42914581298828,52.823974609375,72.59196472167969,14.965476989746094,7879061504,10733051904,6891884544,7405699072
200,1767739871129,338.6984100341797,1980,1,1.05625,4113.698318481445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.42168426513672,54.83472442626953,51.51788330078125,5.217506408691406,44.668819427490234,3.4037399291992188,24.2991943359375,68.27143859863281,68.31166076660156,41.22750473022461,61.633052825927734,14.812507629394531,7879061504,10733051904,6890876928,7398576128
200,1767739871329,329.0057678222656,1980,1,0.70625,4115.018936157227,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.03016662597656,19.01251983642578,56.44756317138672,5.990409851074219,48.56199264526367,4.785728454589844,30.29344940185547,65.18440246582031,74.00357055664063,65.86007690429688,67.66754913330078,9.968009948730469,7879061504,10733051904,6891249664,7399649280
200,1767739871530,329.12127685546875,1980,1,0.7375,4116.646728515625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,73.65953063964844,63.89058303833008,85.5979232788086,15.629600524902344,59.69663619995117,16.84520721435547,42.97874069213867,64.17818450927734,71.92262268066406,69.27696990966797,72.2768783569336,37.50202560424805,7879061504,10733051904,6896705536,7404531712
199,1767739871730,329.2386169433594,1980,1,0.70625,4118.24528503418,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.37873840332031,39.964534759521484,66.05508422851563,32.52106475830078,71.32907104492188,10.607009887695313,50.45109939575195,69.31558990478516,84.8932876586914,73.74130249023438,79.35584259033203,42.65953826904297,7879061504,10733051904,6896304128,7407251456
199,1767739871930,342.10459899902344,1980,1,0.70625,4119.653305053711,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.94441223144531,25.8450927734375,65.41375732421875,6.9917144775390625,69.270751953125,5.02606201171875,25.18402862548828,85.40863800048828,69.36625671386719,73.38955688476563,73.3805160522461,26.06829071044922,7879061504,10733051904,6898089984,7407570944
199,1767739872130,329.4587097167969,1980,1,0.70625,4121.067962646484,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.74751281738281,14.6156005859375,70.8815689086914,11.565841674804688,75.61954498291016,10.68756103515625,43.54928207397461,60.49491882324219,79.5820541381836,44.99824905395508,77.02911376953125,32.380584716796875,7879061504,10733051904,6911578112,7412813824
200,1767739872331,329.56483459472656,1980,1,0.7375,4122.4996337890625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.68701171875,32.112342834472656,68.88772583007813,13.055999755859375,61.73261642456055,5.759162902832031,34.182350158691406,65.63776397705078,68.4073257446289,41.416290283203125,72.777099609375,27.043869018554688,7879061504,10733051904,6927097856,7415697408
200,1767739872531,329.67420959472656,1980,1,0.70625,4123.978439331055,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.38996124267578,52.91972732543945,71.97369384765625,14.627601623535156,66.79705810546875,19.28034210205078,41.432437896728516,56.65579605102539,71.78980255126953,52.33658981323242,77.31611633300781,42.7960205078125,7879061504,10733051904,6931570688,7409016832
200,1767739872732,339.8768768310547,1980,1,0.70625,4125.515884399414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.68929290771484,20.494468688964844,73.2359848022461,10.196052551269531,61.009674072265625,16.824729919433594,61.1746711730957,41.980464935302734,61.01594543457031,59.070594787597656,78.59625244140625,26.880966186523438,7879061504,10733051904,6946783232,7413252096
200,1767739872932,342.7079162597656,1980,1,0.70625,4126.916976928711,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.51912689208984,8.612213134765625,56.9861946105957,6.345787048339844,72.42227172851563,4.787773132324219,45.35468673706055,54.81007385253906,65.9595947265625,34.47930908203125,71.89051055908203,14.777381896972656,7879061504,10733051904,6944190464,7415205888
200,1767739873133,330.0260009765625,1980,1,0.7375,4128.487014770508,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.9588394165039,9.661506652832031,74.577880859375,15.210464477539063,75.91166687011719,5.268959045410156,49.53818130493164,41.763370513916016,69.81065368652344,49.92075729370117,83.52819061279297,21.794082641601563,7879061504,10733051904,6957072384,7423778816
199,1767739873333,340.8934631347656,1980,1,0.70625,4130.095108032227,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.39766693115234,11.484123229980469,72.08717346191406,7.358634948730469,71.3012924194336,5.967750549316406,49.241798400878906,63.00210189819336,72.1371841430664,50.02157974243164,80.98796081542969,25.222122192382813,7879061504,10733051904,6956875776,7425847296
200,1767739873533,330.2372131347656,1980,1,0.70625,4131.5960693359375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,76.67048645019531,14.168327331542969,79.39405822753906,5.018821716308594,68.26773071289063,5.1329498291015625,37.95625686645508,63.88357162475586,73.69818878173828,34.683448791503906,70.32523345947266,18.23670196533203,7879061504,10733051904,6953824256,7415803904
200,1767739873734,330.33363342285156,1980,1,0.70625,4133.105728149414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,77.92811584472656,18.099937438964844,65.86555480957031,11.78131103515625,67.80024719238281,8.618484497070313,28.703475952148438,77.28729248046875,70.48396301269531,56.26322555541992,78.70377349853516,24.209579467773438,7879061504,10733051904,6969053184,7420116992
200,1767739873934,330.4281768798828,1980,1,0.70625,4134.529037475586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.488616943359375,15.248191833496094,48.163734436035156,6.156158447265625,60.35456085205078,2.6263656616210938,14.718475341796875,71.138671875,71.08792114257813,24.828201293945313,73.1096420288086,12.24810791015625,7879061504,10733051904,6965854208,7420399616
196,1767739874139,330.47686767578125,1980,1,0.70625,4135.845275878906,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.53791809082031,9.211677551269531,46.0971565246582,5.239410400390625,27.399986267089844,3.1625823974609375,9.47576904296875,73.21769714355469,70.08377075195313,16.63770294189453,62.88754653930664,10.165382385253906,7879061504,10733051904,6964125696,7422652416
199,1767739874335,376.4790802001953,1980,1,0.70625,4137.313415527344,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.52685546875,9.889427185058594,57.65560531616211,31.117759704589844,54.51205062866211,14.303703308105469,40.79927444458008,34.769874572753906,85.51697540283203,25.331680297851563,74.33805847167969,31.243309020996094,7879061504,10733051904,7002210304,7651868672
200,1767739874535,330.6797332763672,1980,1,0.70625,4138.7197265625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.76914978027344,20.21971893310547,35.86504364013672,49.92228317260742,73.00650024414063,13.899063110351563,43.75440979003906,5.9729461669921875,93.36257934570313,4.873634338378906,76.03900909423828,39.100318908691406,7879061504,10733051904,7006961664,7640825856
199,1767739874736,330.7876281738281,1980,1,0.70625,4140.049621582031,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,36.238739013671875,17.540145874023438,47.466915130615234,34.75730895996094,66.74893188476563,6.954048156738281,32.683502197265625,3.0570220947265625,62.95621109008789,2.796539306640625,72.55328369140625,22.878700256347656,7879061504,10733051904,7007076352,7646081024
199,1767739874936,280.73077392578125,1980,1,0.70625,4141.326324462891,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,35.06702423095703,11.950752258300781,44.853336334228516,28.770843505859375,52.07651138305664,4.348236083984375,29.717613220214844,2.5934524536132813,69.83926391601563,1.5090789794921875,71.65290832519531,22.51361083984375,7879061504,10733051904,7014973440,7646969856
200,1767739875136,330.9711456298828,1237.5,2,0.70625,4142.720016479492,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.69013977050781,34.85155487060547,49.74728775024414,34.173248291015625,61.0412712097168,5.6015472412109375,51.5020637512207,1.8380279541015625,66.39744567871094,3.9828720092773438,79.201171875,52.85696792602539,7879061504,10733051904,6995943424,7649361920
200,1767739875337,331.0599822998047,1980,1,0.70625,4144.060821533203,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.06889343261719,25.82402801513672,47.902809143066406,28.268844604492188,53.026397705078125,6.001426696777344,36.224708557128906,2.7574462890625,60.206661224365234,4.900123596191406,73.70708465576172,24.407135009765625,7879061504,10733051904,6999490560,7650824192
