Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767719351672,3136.038040161133,1980,1,0.7125,41925.360427856445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,27.4998779296875,12.753631591796875,41.85285949707031,70.9270248413086,30.727821350097656,20.958656311035156,18.153823852539063,22.4464111328125,53.1068000793457,10.595100402832031,61.98617935180664,10.532440185546875,7879061504,20937863168,6978105344,13645234176
199,1767719351673,3136.039749145508,1980,1,0.7125,41925.379302978516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.51480102539063,25.55762481689453,100,38.82175827026367,79.87005615234375,21.171905517578125,100,54.661067962646484,87.43314361572266,12.863990783691406,100,13.925758361816406,7879061504,20937863168,6978314240,13645234176
200,1767719351873,4415.341934204102,1980,1,0.7125,41926.67071533203,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.31189727783203,20.766876220703125,34.54656219482422,17.977752685546875,58.74338150024414,17.681549072265625,45.272335052490234,25.556182861328125,33.776634216308594,20.029212951660156,63.502933502197266,16.557022094726563,7879061504,20937863168,7016083456,13857349632
199,1767719352073,2684.462661743164,1980,1,0.7125,41927.89973449707,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.2222900390625,12.899070739746094,33.82447814941406,51.25342559814453,50.00112533569336,16.423057556152344,30.3897705078125,27.871910095214844,68.2857666015625,6.505409240722656,54.644752502441406,15.166358947753906,7879061504,20937863168,7062786048,13879054336
199,1767719352274,3136.305191040039,1980,1,0.7125,41929.06268310547,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.547733306884766,7.728485107421875,10.474220275878906,78.28205108642578,49.15106201171875,10.308708190917969,21.164474487304688,15.456321716308594,37.16986846923828,6.6797332763671875,64.91471862792969,6.8638763427734375,7879061504,20937863168,7069831168,13879783424
200,1767719352474,2125.4090270996094,1980,1,0.7125,41930.59071350098,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.17289733886719,31.83209228515625,48.6544303894043,61.80056381225586,51.25648498535156,67.77241516113281,67.73948669433594,25.372451782226563,75.16502380371094,20.93548583984375,49.701175689697266,43.541263580322266,7879061504,20937863168,7095607296,13888237568
200,1767719352674,2684.867904663086,1980,1,0.7125,41932.06196594238,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.28250122070313,19.001930236816406,49.00633239746094,66.59479522705078,23.536819458007813,86.78024291992188,68.42576599121094,19.969627380371094,46.87131118774414,52.880184173583984,69.4306640625,29.9732666015625,7879061504,20937863168,7094865920,13889712128
199,1767719352875,2125.722930908203,1980,1,0.7125,41933.578842163086,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.43759155273438,24.18065643310547,58.011497497558594,81.35983276367188,63.15361785888672,32.94817352294922,88.62190246582031,21.541778564453125,62.8504638671875,43.43097686767578,63.4630126953125,32.29624938964844,7879061504,20937863168,7116001280,13987659776
200,1767719353075,2685.158981323242,1980,1,0.7125,41935.10810852051,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,82.75202941894531,45.759803771972656,54.21955108642578,67.46528625488281,63.561859130859375,62.4991569519043,79.46340942382813,24.21105194091797,71.05826568603516,42.58456802368164,53.50803756713867,54.26210021972656,7879061504,20937863168,7043411968,13906436096
199,1767719353275,2685.2759704589844,1980,1,0.7125,41936.349365234375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.25648880004883,25.637596130371094,30.15998077392578,63.91644287109375,49.0081787109375,15.758827209472656,42.6042366027832,10.218246459960938,63.13624572753906,21.07074737548828,49.256065368652344,20.450653076171875,7879061504,20937863168,7034859520,13908779008
