Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767740289412,489.1317901611328,1980,1,0.70625,6293.744537353516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,87.65428924560547,0,43.96928024291992,0,8.258735656738281,0,43.996707916259766,0,0,0,98.22706604003906,0,7879061504,10733051904,6572036096,6543912960
187,1767740289425,489.13995361328125,1980,1,0.70625,6293.824432373047,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.74159240722656,6.957618713378906,14.373542785644531,0,51.33152770996094,0,23.20738983154297,9.415252685546875,50.4542236328125,0,61.601097106933594,0,7879061504,10733051904,6571905024,6546718720
200,1767740289613,489.2572784423828,1980,1,0.70625,6294.877151489258,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.09929656982422,7.64984130859375,20.63188934326172,31.432037353515625,50.63692092895508,2.7419967651367188,24.33692169189453,4.4193115234375,17.862991333007813,4.987800598144531,56.38477325439453,9.237037658691406,7879061504,10733051904,6598946816,6760968192
199,1767740289813,489.3705139160156,1980,1,0.70625,6295.996673583984,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.0842514038086,21.896438598632813,12.263877868652344,57.93861389160156,45.741703033447266,2.2364425659179688,47.899044036865234,15.379142761230469,39.622947692871094,6.5091705322265625,59.9813232421875,3.8142471313476563,7879061504,10733051904,6613221376,6766379008
200,1767740290013,489.51220703125,1980,1,0.70625,6297.308120727539,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,73.13701629638672,12.702354431152344,24.569046020507813,60.09212875366211,61.29345703125,5.9713134765625,45.55213928222656,10.297248840332031,50.19302749633789,2.30767822265625,59.700679779052734,8.518913269042969,7879061504,10733051904,6626865152,6770655232
199,1767740290214,489.63514709472656,1980,1,0.70625,6298.599868774414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.91751098632813,16.466644287109375,38.715389251708984,77.01248168945313,59.298587799072266,4.691719055175781,37.37187194824219,5.197746276855469,65.43856811523438,10.070182800292969,66.7340087890625,7.08905029296875,7879061504,10733051904,6631038976,6775943168
199,1767740290414,489.7723388671875,1980,1,1.05625,6299.945602416992,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.60592269897461,24.067901611328125,46.64236831665039,71.7677001953125,55.28877258300781,10.70404052734375,36.621070861816406,5.541938781738281,76.99612426757813,11.375991821289063,65.09861755371094,7.978157043457031,7879061504,10733051904,6649204736,6778699776
199,1767740290614,489.92730712890625,1980,1,1.05625,6301.45149230957,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.5349006652832,64.08370971679688,56.94382095336914,73.19229125976563,58.23639678955078,46.033470153808594,80.79435729980469,12.543403625488281,70.65685272216797,21.627525329589844,68.10375213623047,20.07727813720703,7879061504,10733051904,6657671168,6785175552
200,1767740290814,490.08177185058594,1980,1,1.05625,6302.851333618164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.299285888671875,26.54491424560547,70.72908020019531,83.35943603515625,59.46734619140625,29.69635772705078,49.28099060058594,23.43602752685547,71.85710906982422,20.682144165039063,63.72918701171875,25.244224548339844,7879061504,10733051904,6661763072,6789738496
216,1767740291015,479.77215576171875,1980,1,0.73125,6304.337158203125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.053489685058594,37.52116775512695,88.04124450683594,85.42117309570313,58.98996353149414,53.22445297241211,39.69200134277344,14.970947265625,72.35707092285156,22.189697265625,83.72852325439453,11.639854431152344,7879061504,10733051904,6683500544,6806560768
