Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767544393769,7628.110992431641,1980,1,0.7125,45263.61848449707,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,14.252182006835938,5.9797515869140625,15.262046813964844,0.565887451171875,80.24297332763672,10.679733276367188,12.51751708984375,7.403877258300781,8.307609558105469,11.619850158691406,46.45697021484375,6.3430633544921875,7879061504,18792771584,7026212864,13388165120
199,1767544393770,7628.112442016602,1980,1,0.7125,45263.639099121094,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.58195495605469,100,50.54166793823242,65.38114166259766,98.11544036865234,100,61.41172409057617,64.48118591308594,46.00236892700195,100,90.8931884765625,55.38847732543945,7879061504,18792771584,7025950720,13374795776
200,1767544393969,7100.065368652344,1980,1,0.7125,45264.788833618164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,24.056785583496094,12.869476318359375,20.942848205566406,21.453086853027344,39.46372985839844,23.207199096679688,36.39130401611328,12.041152954101563,15.522850036621094,10.89764404296875,34.208168029785156,8.843948364257813,7879061504,18792771584,7050252288,13588746240
199,1767544394169,7823.950119018555,1237.5,2,0.7125,45265.92417907715,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.01424026489258,8.582969665527344,10.042854309082031,77.82760620117188,43.86082077026367,12.170005798339844,26.652069091796875,5.805290222167969,30.390655517578125,9.744232177734375,35.270423889160156,10.484809875488281,7879061504,18792771584,7066959872,13594435584
199,1767544394370,7824.00163269043,1980,2,0.7125,45267.11064147949,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.872840881347656,11.725914001464844,6.348968505859375,78.0093765258789,59.42855453491211,8.960296630859375,38.517852783203125,9.411529541015625,37.563636779785156,3.71527099609375,25.488380432128906,11.073410034179688,7879061504,18792771584,7081992192,13594087424
199,1767544394570,7824.070648193359,1980,1,0.7375,45268.374435424805,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.71763610839844,12.564033508300781,12.172157287597656,69.79508209228516,52.467376708984375,22.168960571289063,46.30778121948242,8.259773254394531,56.212703704833984,3.7101058959960938,37.917381286621094,12.838424682617188,7879061504,18792771584,7089115136,13606916096
199,1767544394770,7076.389129638672,1980,1,0.7125,45269.789779663086,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.877685546875,17.918045043945313,24.151939392089844,73.61402893066406,58.238651275634766,39.007381439208984,44.64915084838867,22.97637176513672,46.68964767456055,12.310409545898438,49.65742492675781,35.70978546142578,7879061504,18792771584,7109455872,13620142080
200,1767544394970,7100.62663269043,1980,1,0.7125,45271.24217224121,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.48600769042969,39.905941009521484,32.01611328125,63.27169418334961,63.07310104370117,48.97372817993164,74.14851379394531,19.302406311035156,62.78870391845703,15.988418579101563,51.93877029418945,60.77800750732422,7879061504,18792771584,7122788352,13630881792
200,1767544395171,7824.41828918457,1980,1,0.7125,45272.57389831543,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.72669219970703,40.630226135253906,33.808197021484375,55.425445556640625,48.31709671020508,39.813629150390625,58.677791595458984,13.495048522949219,53.25665283203125,17.588783264160156,65.77658081054688,26.728919982910156,7879061504,18792771584,7129174016,13625937920
200,1767544395371,7824.546325683594,1980,1,0.7125,45274.09233093262,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.14954376220703,40.09053039550781,27.30425262451172,64.12753295898438,54.89161682128906,37.18085479736328,55.73822021484375,15.482170104980469,56.07512664794922,9.879966735839844,67.9834976196289,36.83195877075195,7879061504,18792771584,7132610560,13631438848
199,1767544395572,7824.681335449219,1980,1,0.7125,45275.56657409668,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.614898681640625,34.792015075683594,27.61865997314453,61.90380096435547,63.5114631652832,56.75791931152344,63.60430145263672,15.745208740234375,63.92988204956055,15.587150573730469,68.33354949951172,50.89689254760742,7879061504,18792771584,7134531584,13636677632
199,1767544395772,7076.891540527344,1980,1,0.7375,45276.87062072754,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.974937438964844,13.891510009765625,17.52490234375,62.311431884765625,59.27629852294922,39.282752990722656,32.031005859375,15.801437377929688,35.90892791748047,10.998886108398438,55.81002426147461,33.873985290527344,7879061504,18792771584,7158591488,13637091328
