Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767544431244,7841.063888549805,1980,1,0.70625,45511.00263977051,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,29.327362060546875,10.010101318359375,19.421585083007813,1.7980575561523438,11.518058776855469,7.070610046386719,2.617584228515625,4.991935729980469,73.23443603515625,55.6739501953125,32.58818817138672,9.553192138671875,7879061504,18792771584,6094032896,13398532096
199,1767544431245,7841.064636230469,1980,1,0.7125,45511.01411437988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.54972457885742,38.680660247802734,26.911544799804688,0,56.54672622680664,7.4462738037109375,99.08545684814453,43.54322814941406,16.73163604736328,0,50.96951675415039,0,7879061504,18792771584,6094041088,13398380544
200,1767544431444,7841.130386352539,1237.5,2,0.7125,45512.21826171875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.54453659057617,21.715591430664063,28.66387939453125,27.013641357421875,40.058349609375,21.95104217529297,44.93714904785156,22.415626525878906,29.108001708984375,14.59576416015625,23.181419372558594,25.207077026367188,7879061504,18792771584,6122336256,13610426368
199,1767544431645,7841.172622680664,1980,1,0.70625,45513.27487182617,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.06602096557617,11.976837158203125,14.689926147460938,55.21237564086914,47.81690979003906,10.657600402832031,23.349632263183594,9.177505493164063,47.722862243652344,4.424774169921875,19.82025146484375,10.970191955566406,7879061504,18792771584,6141816832,13617246208
200,1767544431845,7841.235015869141,1980,1,0.7375,45514.541107177734,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.178855895996094,17.298110961914063,22.876304626464844,55.93040084838867,58.87854766845703,10.44073486328125,35.43153381347656,10.264312744140625,41.31056594848633,24.983627319335938,32.19263458251953,9.002845764160156,7879061504,18792771584,6188400640,13704433664
200,1767544432046,7841.32160949707,1980,1,0.70625,45515.874588012695,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.34056091308594,16.729217529296875,25.42810821533203,47.82151794433594,55.5046501159668,13.021125793457031,37.090049743652344,22.36609649658203,33.4827880859375,65.28931427001953,44.152469635009766,15.435775756835938,7879061504,18792771584,6176247808,13639643136
200,1767544432246,7841.348922729492,1980,1,0.7125,45516.89212036133,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,35.472679138183594,21.39649200439453,9.721351623535156,64.1097412109375,43.27606201171875,8.22076416015625,32.94171142578125,4.842613220214844,44.78692626953125,3.6178207397460938,19.992782592773438,4.868804931640625,7879061504,18792771584,6182711296,13641748480
199,1767544432447,7841.488510131836,1980,1,0.7125,45518.58207702637,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.7392349243164,73.14897155761719,50.82817077636719,82.387451171875,74.9883804321289,60.40272903442383,72.00706481933594,52.26982879638672,73.53421020507813,47.79273223876953,68.17002868652344,45.45639419555664,7879061504,18792771584,6185955328,13604888576
199,1767544432647,7095.427261352539,1980,1,0.7125,45520.00216674805,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.03264617919922,43.04076385498047,34.65795135498047,57.27851486206055,42.177330017089844,52.71297836303711,62.823760986328125,15.666168212890625,64.84546661376953,10.705429077148438,58.449581146240234,69.6967544555664,7879061504,18792771584,6179602432,13587398656
200,1767544432847,7841.7193603515625,1980,1,0.7125,45521.274017333984,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.03715515136719,39.804725646972656,16.853836059570313,73.95563507080078,46.68538284301758,20.360610961914063,54.31951141357422,14.683822631835938,37.71739959716797,13.436058044433594,48.09211730957031,16.369606018066406,7879061504,18792771584,6182350848,13583794176
199,1767544433048,7841.772644042969,1980,1,0.70625,45522.461669921875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.427001953125,16.37529754638672,13.444511413574219,61.2729606628418,34.835289001464844,22.821670532226563,37.236083984375,11.010063171386719,49.59450912475586,5.8359527587890625,32.47064208984375,9.778480529785156,7879061504,18792771584,6183882752,13587038208
200,1767544433248,7841.803298950195,1237.5,2,0.7125,45523.40400695801,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,21.585472106933594,22.329910278320313,3.7353057861328125,86.67637634277344,24.828628540039063,7.075538635253906,22.94548797607422,4.8936920166015625,25.116729736328125,2.8499526977539063,21.162277221679688,7.244171142578125,7879061504,18792771584,6187089920,13588930560
199,1767544433448,9629.480545043945,1980,1,0.70625,45524.62478637695,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,33.97181701660156,29.115707397460938,17.247360229492188,56.44707107543945,48.95909881591797,9.051750183105469,41.68878936767578,11.701454162597656,43.71310806274414,11.549797058105469,33.463661193847656,9.738433837890625,7879061504,18792771584,6194204672,13591830528
200,1767544433649,7841.922424316406,1980,1,0.7125,45525.84396362305,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,24.267730712890625,59.2683219909668,14.015777587890625,66.59690856933594,53.54389190673828,10.726806640625,47.806400299072266,13.505752563476563,40.847373962402344,11.057579040527344,32.927040100097656,14.418472290039063,7879061504,18792771584,6204510208,13598949376
199,1767544433849,7121.859268188477,1980,1,0.7125,45527.11738586426,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,39.92582321166992,33.875892639160156,18.63788604736328,73.58914947509766,57.81533432006836,18.66736602783203,49.91814041137695,10.039314270019531,43.55529022216797,9.973846435546875,38.18967056274414,21.483291625976563,7879061504,18792771584,6202474496,13598826496
200,1767544434049,7842.097808837891,1980,1,0.70625,45528.546951293945,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.19722366333008,32.28016662597656,28.588821411132813,72.88711547851563,64.28651428222656,26.865318298339844,53.462547302246094,16.960830688476563,65.75047302246094,15.232856750488281,53.49052047729492,22.376739501953125,7879061504,18792771584,6217617408,13607657472
200,1767544434250,7842.158584594727,1960.0000000000002,1,1.0625,45529.96090698242,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.228843688964844,21.50389862060547,17.205223083496094,58.62518310546875,55.910884857177734,9.434928894042969,35.18885803222656,20.689910888671875,53.81147384643555,5.668121337890625,30.209716796875,7.7489471435546875,7879061504,18792771584,6220103680,13609185280
200,1767544434450,7842.24870300293,1980,1,0.7125,45531.61506652832,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.92507934570313,33.198158264160156,27.62061309814453,65.78311157226563,68.41049194335938,15.599967956542969,74.58486938476563,12.446395874023438,63.94213104248047,16.21471405029297,44.15045166015625,16.167098999023438,7879061504,18792771584,6225117184,13614301184
200,1767544434651,7842.318862915039,1980,1,0.7125,45532.941665649414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.96337890625,51.42573165893555,29.406829833984375,61.61664962768555,60.71236801147461,9.825721740722656,53.8094482421875,5.751808166503906,60.34707260131836,6.458030700683594,37.98904037475586,12.90216064453125,7879061504,18792771584,6225035264,13613912064
200,1767544434851,7842.395980834961,1980,1,0.7125,45534.267974853516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.750282287597656,53.08915328979492,42.26093292236328,52.34382629394531,60.39065170288086,11.682037353515625,55.02832794189453,7.3919677734375,54.63168716430664,16.44487762451172,45.262752532958984,19.251319885253906,7879061504,18792771584,6230732800,13615357952
200,1767544435052,7096.573745727539,1980,1,0.7125,45535.83232116699,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.92563247680664,20.595802307128906,44.31554412841797,47.16455078125,51.97228240966797,13.005058288574219,47.05401611328125,23.55298614501953,68.31356811523438,15.81292724609375,45.55235290527344,18.02935028076172,7879061504,18792771584,6230171648,13607968768
199,1767544435252,7488.263870239258,1980,1,0.7375,45537.133865356445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.30040740966797,33.28425598144531,27.626663208007813,49.92992401123047,49.41273880004883,13.414215087890625,44.97767639160156,13.258415222167969,64.53429412841797,5.195198059082031,42.576637268066406,11.61517333984375,7879061504,18792771584,6241763328,13608763392
199,1767544435452,7842.6683349609375,1980,1,0.7125,45538.73616027832,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.30461502075195,27.629989624023438,37.62455749511719,59.649818420410156,67.7311782836914,15.001899719238281,42.22686004638672,38.89386749267578,66.07237243652344,11.984039306640625,49.00323486328125,16.152496337890625,7879061504,18792771584,6250188800,13613314048
200,1767544435653,7842.751739501953,1980,1,0.7125,45540.05813598633,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.86466598510742,26.18109893798828,26.849029541015625,63.745208740234375,54.257999420166016,11.237228393554688,61.09554672241211,8.885017395019531,52.497596740722656,11.431900024414063,46.168739318847656,15.238265991210938,7879061504,18792771584,6259605504,13614415872
199,1767544435853,7123.158126831055,1980,1,1.0625,45541.455078125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.95969009399414,47.175296783447266,38.64210891723633,60.260902404785156,61.05742645263672,17.925506591796875,48.958377838134766,7.53875732421875,51.4693603515625,8.853347778320313,47.68143081665039,27.941261291503906,7879061504,18792771584,6263504896,13614276608
200,1767544436054,7842.940780639648,1980,1,0.7125,45542.8376159668,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.75543212890625,41.32600021362305,65.83817291259766,38.47565841674805,64.5804443359375,13.8651123046875,69.5826416015625,8.999732971191406,66.56794738769531,22.393753051757813,52.89161682128906,11.91680908203125,7879061504,18792771584,6267437056,13620957184
200,1767544436254,7843.0919189453125,1980,1,1.0625,45544.61680603027,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.23228073120117,58.881221771240234,74.5025405883789,46.07562255859375,71.03453063964844,24.998863220214844,68.36874389648438,21.1888427734375,79.74705505371094,18.33673095703125,64.4095458984375,22.579437255859375,7879061504,18792771584,6283845632,13632315392
199,1767544436455,7843.245330810547,1980,1,1.0625,45546.552001953125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.428619384765625,61.105464935302734,67.7879409790039,65.20413208007813,82.58808898925781,43.2497444152832,62.525390625,35.961143493652344,73.51935577392578,31.859588623046875,74.51768493652344,56.95149612426758,7879061504,18792771584,6279843840,13633089536
200,1767544436655,7843.401214599609,1980,1,1.0625,45548.184799194336,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.72864532470703,52.39836120605469,74.68290710449219,68.82771301269531,61.89805221557617,42.42144775390625,65.66368865966797,32.495201110839844,72.18023681640625,36.24894714355469,74.64041900634766,63.560997009277344,7879061504,18792771584,6287392768,13598896128
199,1767544436856,7843.502304077148,1980,1,1.05625,45549.50991821289,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.12991714477539,40.688716888427734,40.78094482421875,59.925418853759766,63.423561096191406,10.711563110351563,45.156192779541016,9.367523193359375,74.96189880371094,9.93731689453125,40.602020263671875,33.24778747558594,7879061504,18792771584,6307807232,13607571456
200,1767544437056,7651.933074951172,1980,1,1.0625,45550.976623535156,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.470733642578125,48.50419235229492,29.6158447265625,54.251258850097656,57.958457946777344,14.110267639160156,60.31520462036133,11.202873229980469,54.944915771484375,18.170814514160156,48.42207336425781,13.113113403320313,7879061504,18792771584,6308671488,13609922560
