Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767544406911,7830.196044921875,1980,1,1.0625,45351.121337890625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,17.40593719482422,14.673805236816406,8.54962158203125,100,13.700874328613281,9.520828247070313,8.308395385742188,28.72789764404297,14.074195861816406,82.3206787109375,45.71858596801758,3.5614776611328125,7879061504,18792771584,6699745280,13391958016
199,1767544406912,7830.197860717773,1980,1,0.7375,45351.14193725586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.31348419189453,44.97270584106445,100,100,70.92472839355469,44.62200164794922,21.13813018798828,100,28.602149963378906,60.59553527832031,88.42349243164063,25.10504913330078,7879061504,18792771584,6699765760,13391826944
200,1767544407111,7635.272735595703,1980,1,0.7125,45352.452224731445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,31.389312744140625,10.394729614257813,22.227142333984375,20.329315185546875,49.21746826171875,11.318702697753906,43.1878776550293,15.712730407714844,38.78013229370117,36.11329650878906,44.360050201416016,49.91543197631836,7879061504,18792771584,6722392064,13602086912
200,1767544407312,7635.364318847656,1980,1,0.7125,45353.6671295166,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.741119384765625,18.331985473632813,16.59832000732422,47.80275344848633,49.90403366088867,8.494422912597656,38.498863220214844,14.723251342773438,54.08442306518555,23.64777374267578,81.28634643554688,21.063560485839844,7879061504,18792771584,6736068608,13613060096
200,1767544407512,7635.502899169922,1980,1,0.7125,45355.05555725098,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.18357467651367,25.809661865234375,15.352653503417969,79.72572326660156,63.50203323364258,20.76305389404297,32.72296142578125,14.394966125488281,58.70379638671875,9.787956237792969,78.2916030883789,51.22825241088867,7879061504,18792771584,6750224384,13616562176
200,1767544407712,7082.89811706543,1980,1,0.7125,45356.44129943848,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.00638580322266,30.72895050048828,30.39409637451172,67.81957244873047,74.04492950439453,21.248069763183594,64.14009857177734,39.27809143066406,52.12151336669922,19.923065185546875,53.53260803222656,61.495887756347656,7879061504,18792771584,6766469120,13619216384
199,1767544407913,7830.744827270508,1980,1,0.7125,45357.65481567383,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,30.62358856201172,34.26243591308594,14.171989440917969,57.63141632080078,50.411800384521484,9.389137268066406,97.43893432617188,21.1846923828125,51.47771072387695,6.2623443603515625,37.9220085144043,7.112480163574219,7879061504,18792771584,6769938432,13610012672
200,1767544408113,7635.881134033203,1980,1,0.7125,45359.145599365234,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.2760009765625,33.36836242675781,29.90613555908203,62.060394287109375,63.97160720825195,37.18133544921875,75.73261260986328,49.165287017822266,68.83079528808594,14.284088134765625,41.818885803222656,19.661216735839844,7879061504,18792771584,6789287936,13616181248
200,1767544408313,7830.932189941406,1980,1,0.7125,45360.515701293945,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.10972595214844,25.09471893310547,25.03510284423828,63.23820495605469,53.24786376953125,40.673377990722656,81.34905242919922,42.44218444824219,60.60134506225586,16.081398010253906,58.305145263671875,10.633346557617188,7879061504,18792771584,6789562368,13614043136
200,1767544408514,7831.027557373047,1980,1,0.7375,45362.05372619629,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.98492431640625,39.249427795410156,29.111953735351563,61.37594985961914,85.8023910522461,40.55721664428711,65.02706909179688,67.12814331054688,68.39985656738281,27.27873992919922,54.58157730102539,13.674171447753906,7879061504,18792771584,6791458816,13616119808
