Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767544380692,7621.46159362793,1980,1,1.05625,45177.8221282959,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,15.716476440429688,17.963958740234375,16.393699645996094,4.6790008544921875,17.692543029785156,11.88153076171875,17.320831298828125,5.7136993408203125,16.282485961914063,7.6417694091796875,19.900962829589844,51.847633361816406,7879061504,18792771584,7038611456,13530488832
198,1767544380694,7817.511199951172,1980,1,0.7375,45177.84379577637,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,84.97295379638672,50.998050689697266,59.830867767333984,26.690643310546875,49.85036087036133,95.91993713378906,29.576339721679688,63.946624755859375,93.80851745605469,24.94989013671875,48.263362884521484,40.24052047729492,7879061504,18792771584,7040991232,13530480640
200,1767544380893,7817.580001831055,1980,1,0.7375,45179.24728393555,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.495758056640625,19.304473876953125,27.278785705566406,22.55591583251953,46.16655731201172,18.70037841796875,58.01520538330078,30.57506561279297,45.86038589477539,12.514923095703125,32.64375305175781,12.588363647460938,7879061504,18792771584,7064195072,13748056064
200,1767544381093,7817.6953125,1980,1,0.7375,45180.76692199707,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.881160736083984,12.862159729003906,33.26421356201172,77.32186126708984,43.298377990722656,13.399131774902344,34.14312744140625,24.443740844726563,41.346988677978516,15.910453796386719,48.1497802734375,20.167816162109375,7879061504,18792771584,7090540544,13755887616
199,1767544381294,7817.755661010742,1980,1,0.7375,45182.01345825195,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.26447677612305,18.89891815185547,45.04170227050781,71.91658020019531,53.85740661621094,14.247726440429688,29.58843231201172,20.451065063476563,55.076171875,9.4642333984375,37.69749450683594,11.931777954101563,7879061504,18792771584,7084322816,13759049728
199,1767544381494,7461.614501953125,1980,1,0.7375,45183.61686706543,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.92575073242188,34.48332977294922,87.15859985351563,62.918975830078125,73.88169860839844,31.45923614501953,48.37482833862305,49.16047668457031,79.91372680664063,30.045745849609375,67.72985076904297,23.57611083984375,7879061504,18792771584,7057428480,13765795840
199,1767544381694,7817.97233581543,1980,1,0.7375,45185.07067871094,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.51207733154297,48.14512634277344,48.07831573486328,71.25884246826172,55.73312759399414,32.657005310058594,78.20804595947266,22.897323608398438,61.45834732055664,20.452415466308594,54.94755935668945,24.29076385498047,7879061504,18792771584,6954328064,13762674688
200,1767544381894,7818.060165405273,1980,1,0.7375,45186.349060058594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,35.153846740722656,28.474395751953125,32.891395568847656,52.51280212402344,49.453453063964844,14.572807312011719,39.35715103149414,12.661575317382813,56.567081451416016,20.724891662597656,51.89124298095703,8.638031005859375,7879061504,18792771584,6964633600,13769756672
200,1767544382094,7818.199630737305,1980,1,0.7375,45187.988021850586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.0015754699707,48.872596740722656,48.159603118896484,69.46263122558594,55.73440170288086,51.60112762451172,67.91148376464844,30.659461975097656,87.51905822753906,23.69445037841797,71.03306579589844,27.143157958984375,7879061504,18792771584,7034089472,13845409792
200,1767544382295,7818.253356933594,1980,1,0.7375,45189.1708984375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.02650451660156,26.289932250976563,27.027748107910156,72.162841796875,40.06703186035156,17.635574340820313,45.177852630615234,8.063529968261719,55.221466064453125,4.8813018798828125,28.672622680664063,10.108726501464844,7879061504,18792771584,6976585728,13758005248
199,1767544382496,7818.368209838867,1237.5,2,0.7375,45190.70443725586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.86073684692383,50.859100341796875,51.47447967529297,59.674835205078125,55.722694396972656,57.31374740600586,69.92910766601563,28.43212890625,72.98725891113281,19.16014862060547,61.026771545410156,20.867599487304688,7879061504,18792771584,6975160320,13747183616
200,1767544382696,7818.464096069336,1980,1,0.7375,45192.18795776367,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.03001403808594,37.173580169677734,71.52268981933594,67.94490814208984,54.3631477355957,52.234493255615234,42.804588317871094,44.37746047973633,67.17155456542969,33.75146484375,42.91234588623047,38.78242492675781,7879061504,18792771584,6956257280,13689335808
200,1767544382896,7818.542129516602,1980,1,0.7375,45193.42189025879,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,31.619125366210938,14.257453918457031,66.35621643066406,66.05912780761719,33.85907745361328,13.454048156738281,25.998245239257813,12.510101318359375,67.24678802490234,6.809242248535156,45.62914276123047,5.636138916015625,7879061504,18792771584,6950367232,13685596160
199,1767544383096,7818.619659423828,1237.5,2,0.7375,45194.59451293945,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.53172302246094,11.843223571777344,22.64227294921875,62.07849884033203,33.51770782470703,27.034812927246094,29.088951110839844,10.793045043945313,54.34104537963867,5.349983215332031,40.51136016845703,7.343994140625,7879061504,18792771584,6965231616,13690142720
200,1767544383297,7623.263412475586,1980,1,0.7375,45195.78985595703,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.5024299621582,13.675041198730469,24.013992309570313,60.53752899169922,24.807235717773438,72.77308654785156,45.915687561035156,7.658470153808594,46.256107330322266,12.133468627929688,33.07544708251953,16.30565643310547,7879061504,18792771584,6964412416,13695406080
200,1767544383497,7818.746932983398,1980,1,0.7375,45197.16110229492,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,39.989341735839844,36.272483825683594,26.320083618164063,62.705848693847656,39.36669921875,51.049659729003906,60.57875442504883,10.157867431640625,60.957984924316406,10.659355163574219,38.486083984375,6.3900604248046875,7879061504,18792771584,6976229376,13692932096
200,1767544383698,7818.806854248047,1980,1,0.7375,45198.49382019043,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.781227111816406,34.054908752441406,25.18732452392578,66.06241607666016,48.41530990600586,24.39977264404297,43.56236267089844,14.567169189453125,56.551788330078125,9.771621704101563,30.13904571533203,6.888397216796875,7879061504,18792771584,6976569344,13697036288
200,1767544383899,7071.578216552734,1980,1,0.7375,45199.922622680664,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.78245544433594,37.00967025756836,24.680496215820313,68.80616760253906,50.93895721435547,17.46270751953125,33.41034698486328,15.073738098144531,53.998172760009766,15.459793090820313,30.528480529785156,7.88189697265625,7879061504,18792771584,6978400256,13698469888
200,1767544384099,7623.807189941406,1980,1,0.7375,45201.44528198242,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.748435974121094,22.702484130859375,28.442977905273438,66.97187042236328,50.163352966308594,30.318748474121094,46.57579803466797,14.651092529296875,46.43238067626953,27.11121368408203,41.166934967041016,14.507530212402344,7879061504,18792771584,6989205504,13702184960
200,1767544384300,7623.946197509766,1980,1,0.7375,45202.96879577637,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.07388687133789,52.03510665893555,36.29078674316406,72.5293197631836,60.30796813964844,47.368797302246094,80.89227294921875,17.767539978027344,56.79145812988281,23.410675048828125,54.99636459350586,18.032554626464844,7879061504,18792771584,6990708736,13666377728
200,1767544384500,7095.650177001953,1980,1,0.7125,45204.554428100586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.53340148925781,54.315391540527344,77.54497528076172,71.29949951171875,74.07678985595703,51.44701385498047,75.9407958984375,34.90013885498047,67.96533203125,41.82588577270508,76.76861572265625,37.94767761230469,7879061504,18792771584,7014567936,13685202944
200,1767544384700,7624.24235534668,1980,1,1.21875,45206.04862976074,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.8739128112793,32.087318420410156,72.10946655273438,60.11626434326172,57.99178695678711,24.58251190185547,63.864784240722656,16.060150146484375,64.4134292602539,17.494003295898438,39.288482666015625,36.70009994506836,7879061504,18792771584,7007625216,13678972928
200,1767544384901,7819.3873291015625,1237.5,2,0.7125,45207.55827331543,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,31.224945068359375,58.773658752441406,19.45063018798828,72.25138854980469,51.91924285888672,15.369712829589844,46.12397384643555,13.0521240234375,47.87377166748047,11.01226806640625,40.21717071533203,23.416976928710938,7879061504,18792771584,7001915392,13674119168
199,1767544385102,7624.5299072265625,1980,1,1.0625,45209.09587097168,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.75406265258789,28.47020721435547,19.288307189941406,66.4725341796875,37.5311393737793,42.00257873535156,49.612823486328125,20.845458984375,53.27006530761719,11.500045776367188,38.206722259521484,31.071945190429688,7879061504,18792771584,7005179904,13666689024
200,1767544385302,7819.585952758789,1980,1,0.7125,45210.54586791992,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.57784652709961,22.927818298339844,13.47711181640625,71.58441162109375,42.2462272644043,45.10529327392578,60.661170959472656,15.6976318359375,51.171443939208984,8.294036865234375,33.03614807128906,22.616363525390625,7879061504,18792771584,7014252544,13665353728
200,1767544385502,7819.661727905273,1980,1,0.7125,45211.86161804199,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.608131408691406,38.737823486328125,15.416961669921875,66.51322937011719,44.71884536743164,32.84033203125,62.83889389038086,13.572097778320313,57.791961669921875,21.15125274658203,42.82364273071289,10.095771789550781,7879061504,18792771584,7038373888,13668732928
200,1767544385703,7072.6295166015625,1980,1,0.7125,45213.31414794922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.95171356201172,40.55533218383789,22.468002319335938,61.10906982421875,50.95101547241211,40.49867248535156,78.85328674316406,18.619903564453125,65.90304565429688,12.793441772460938,43.26445770263672,21.297027587890625,7879061504,18792771584,7034470400,13664829440
200,1767544385903,7819.856063842773,1980,1,0.7125,45214.71057128906,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,33.56745910644531,44.06078338623047,24.377113342285156,57.588069915771484,58.70079803466797,34.86988830566406,58.64493179321289,10.930328369140625,58.8463020324707,7.3119659423828125,47.319908142089844,18.125686645507813,7879061504,18792771584,7035813888,13676363776
200,1767544386104,7072.855850219727,1980,1,0.7125,45216.39375305176,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.22160339355469,57.84864807128906,25.569717407226563,76.1039810180664,68.52982330322266,47.31478500366211,75.05509948730469,20.750267028808594,62.74067687988281,10.845367431640625,54.56716537475586,23.125503540039063,7879061504,18792771584,7045156864,13679648768
200,1767544386304,7820.094467163086,1237.5,2,0.7125,45218.00086975098,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.60197448730469,47.24460220336914,31.70819091796875,52.33856964111328,43.04252624511719,32.39924621582031,46.41802215576172,26.69373321533203,55.26854705810547,18.369232177734375,50.815269470214844,14.434600830078125,7879061504,18792771584,7048404992,13676826624
200,1767544386505,7820.147018432617,1980,1,0.7125,45219.18894958496,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,35.489036560058594,33.80255889892578,11.092376708984375,60.54681396484375,56.45001983642578,14.196144104003906,33.87939453125,10.014610290527344,34.5223388671875,13.536827087402344,29.466102600097656,8.987846374511719,7879061504,18792771584,7038898176,13661384704
