Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767544419105,7641.87532043457,1980,1,0.7375,45432.29739379883,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,27.698692321777344,3.9230880737304688,34.918495178222656,3.5260009765625,17.893951416015625,9.64471435546875,18.131011962890625,57.75004577636719,8.061141967773438,14.141639709472656,87.228759765625,10.367233276367188,7879061504,18792771584,6722363392,13339971584
199,1767544419107,7835.763565063477,1980,1,1.0625,45432.339614868164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.21641540527344,20.458160400390625,84.93568420410156,12.488395690917969,90.83013153076172,14.487464904785156,100,100,30.77509307861328,12.488395690917969,61.15899658203125,54.68107604980469,7879061504,18792771584,6722740224,13339840512
200,1767544419306,7113.94059753418,1237.5,2,0.7125,45433.54405212402,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,30.99170684814453,10.568801879882813,22.026878356933594,20.31360626220703,31.812408447265625,11.023384094238281,51.33842086791992,29.798629760742188,28.04296875,11.839675903320313,38.08967208862305,12.710166931152344,7879061504,18792771584,6760488960,13559709696
200,1767544419507,7113.999603271484,1980,1,0.7125,45434.65409851074,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.19535827636719,8.289497375488281,14.401657104492188,70.42686462402344,59.82568359375,6.219520568847656,38.07619857788086,8.560989379882813,38.10219192504883,10.654266357421875,31.702682495117188,8.213920593261719,7879061504,18792771584,6775304192,13566152704
199,1767544419708,7835.930374145508,1980,1,0.7125,45435.86962890625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.09769821166992,9.384986877441406,7.4982147216796875,72.70853424072266,55.26138687133789,14.723396301269531,32.04736328125,12.15338134765625,43.18161392211914,4.508399963378906,25.945884704589844,14.034286499023438,7879061504,18792771584,6780825600,13571670016
200,1767544419908,7835.97314453125,1237.5,2,0.70625,45437.00827026367,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.204952239990234,19.773422241210938,9.768600463867188,69.9234390258789,57.2232780456543,6.437538146972656,35.56364440917969,8.975440979003906,39.10493469238281,4.3242340087890625,25.50432586669922,11.927894592285156,7879061504,18792771584,6787567616,13574021120
199,1767544420108,7642.453567504883,1980,1,0.7125,45438.18817138672,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,23.334426879882813,45.65911102294922,7.42816162109375,85.7574234008789,43.404178619384766,14.072021484375,38.39799118041992,13.383041381835938,34.91620635986328,7.918373107910156,32.25982666015625,12.856246948242188,7879061504,18792771584,6806003712,13582471168
200,1767544420308,7642.638442993164,1980,1,0.7125,45440.06428527832,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,81.73851013183594,91.92484283447266,82.52063751220703,85.39249420166016,84.4056167602539,82.35005187988281,90.28865051269531,90.6277084350586,85.37525939941406,83.79212188720703,91.3377456665039,82.61196899414063,7879061504,18792771584,6855520256,13647290368
200,1767544420509,7089.482803344727,1980,1,0.7125,45441.815185546875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,90.61751556396484,83.59063720703125,85.44480895996094,85.67239379882813,92.73281860351563,84.09182739257813,90.18655395507813,85.36650085449219,87.6494140625,82.2887191772461,84.4906005859375,86.81523895263672,7879061504,18792771584,6853443584,13646229504
199,1767544420709,7089.616226196289,1980,1,0.7125,45443.42987060547,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.37558364868164,43.240272521972656,29.205123901367188,62.536712646484375,92.60604858398438,35.44353485107422,61.92354965209961,32.99263000488281,63.79007339477539,30.096763610839844,56.511016845703125,34.254493713378906,7879061504,18792771584,6917050368,13738393600
