Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633519251,691.9533996582031,1980,1,0.7375,7467.3697509765625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.067874908447266,37.198116302490234,67.97355651855469,5.389778137207031,34.05364990234375,47.989505767822266,32.47344207763672,12.651939392089844,45.21848678588867,17.02374267578125,49.57742691040039,6.639747619628906,7879061504,18781786112,6529728512,12589871104
199,1767633519252,746.7859344482422,1980,1,1.05625,7467.3975830078125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.33858871459961,70.47896575927734,0,0,14.524551391601563,35.3248291015625,91.52023315429688,100,100,0,32.33256530761719,0,7879061504,18781786112,6529769472,12590923776
199,1767633519451,686.7984313964844,1980,1,0.7375,7468.630340576172,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.97556686401367,26.338462829589844,42.8896369934082,24.479049682617188,40.92350387573242,23.517410278320313,34.04546356201172,40.64668273925781,40.32488250732422,20.20842742919922,29.733238220214844,21.915550231933594,7879061504,18781786112,6549245952,12806770688
199,1767633519651,672.9583740234375,1980,1,0.7375,7470.176803588867,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.0616340637207,32.917747497558594,50.09912109375,31.663436889648438,41.99673843383789,35.711753845214844,43.90203857421875,42.165245056152344,57.87168502807617,36.54974365234375,55.69228744506836,37.75407791137695,7879061504,18781786112,6571249664,12810534912
199,1767633519852,747.1968383789063,1980,1,0.7375,7471.778366088867,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.5657958984375,64.53121948242188,71.74801635742188,11.845199584960938,36.953853607177734,18.39947509765625,26.39202117919922,23.990432739257813,83.78189086914063,64.26583862304688,56.29092025756836,44.743751525878906,7879061504,18781786112,6577324032,12816162816
200,1767633520052,693.7121887207031,1980,1,0.7375,7473.515243530273,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.61579513549805,58.11103820800781,66.83700561523438,27.766334533691406,49.32591247558594,29.19702911376953,38.238433837890625,43.156524658203125,81.6497802734375,78.10523986816406,73.17833709716797,39.939510345458984,7879061504,18781786112,6574571520,12820221952
200,1767633520253,776.2725219726563,1980,1,0.7375,7475.450225830078,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,77.91210174560547,67.09207153320313,73.26681518554688,70.55529022216797,77.04681396484375,78.81166076660156,73.08763885498047,71.08438873291016,96.64249420166016,96.84727478027344,90.56428527832031,69.63385009765625,7879061504,18781786112,6558265344,12761264128
200,1767633520453,694.0775451660156,1980,1,0.7375,7477.184112548828,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.74458312988281,68.81700134277344,59.8242301940918,39.29457092285156,50.95173645019531,49.48523712158203,66.81634521484375,46.75545120239258,89.79678344726563,92.69538879394531,55.70262908935547,57.67399597167969,7879061504,18781786112,6564352000,12767227904
200,1767633520653,674.0117950439453,1980,1,0.7375,7478.902420043945,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,79.23395538330078,91.18254089355469,49.21945571899414,44.45878982543945,75.05220794677734,76.83751678466797,65.69819641113281,64.6839599609375,78.64720153808594,48.2194938659668,50.05953598022461,50.23072814941406,7879061504,18781786112,6567837696,12767256576
199,1767633520854,674.2449340820313,1980,1,1.0625,7480.735443115234,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,89.1065444946289,90.08918762207031,53.47964096069336,52.04079818725586,61.54418182373047,58.78421401977539,56.894161224365234,47.78052520751953,90.48377990722656,91.58504486083984,61.080692291259766,47.74473190307617,7879061504,18781786112,6572924928,12767055872
199,1767633521054,748.2235107421875,1980,1,1.0625,7482.547576904297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,78.119140625,74.01835632324219,59.4317626953125,46.381309509277344,58.89677810668945,43.71527099609375,60.04241180419922,60.51032257080078,83.34184265136719,74.989990234375,57.205970764160156,49.08310317993164,7879061504,18781786112,6588968960,12769464320
199,1767633521254,688.2438659667969,1980,1,1.0625,7484.136672973633,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.0208740234375,68.16172790527344,67.20301818847656,49.453433990478516,31.86572265625,29.807357788085938,46.06389617919922,54.9792594909668,57.62043762207031,41.594825744628906,59.096031188964844,26.809715270996094,7879061504,18781786112,6592479232,12765970432
200,1767633521455,748.5515289306641,1980,1,0.7375,7485.787048339844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.24315643310547,51.32225799560547,65.29134368896484,66.62970733642578,48.040748596191406,41.214073181152344,60.360801696777344,49.388092041015625,57.434669494628906,20.69049835205078,65.93817138671875,58.66781997680664,7879061504,18781786112,6605778944,12782592000
199,1767633521655,688.6283111572266,1980,1,0.7375,7487.36474609375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.74345397949219,20.94316864013672,71.12016296386719,68.7396240234375,83.32550048828125,68.9391098022461,60.94731140136719,32.952613830566406,50.24964904785156,15.158378601074219,51.34941101074219,28.316123962402344,7879061504,18781786112,6601224192,12774731776
200,1767633521855,688.8230438232422,1980,1,1.0625,7488.698806762695,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,35.945556640625,12.285530090332031,62.09348678588867,68.35218811035156,50.05644226074219,41.787349700927734,23.55175018310547,20.65654754638672,40.128414154052734,8.383781433105469,33.28998565673828,14.583335876464844,7879061504,18781786112,6603321344,12775182336
200,1767633522056,777.6728973388672,1980,1,0.7375,7490.061340332031,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.877052307128906,12.094131469726563,46.1474609375,63.563438415527344,56.42815017700195,35.343528747558594,26.774452209472656,32.864051818847656,34.37641143798828,10.894187927246094,34.50602722167969,31.28369140625,7879061504,18781786112,6606458880,12776218624
199,1767633522257,694.0843353271484,1980,1,1.05625,7491.4339599609375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.5109748840332,17.377273559570313,53.650142669677734,11.865570068359375,73.7243423461914,61.65142059326172,55.7651252746582,65.51974487304688,38.35758590698242,9.195175170898438,37.95602035522461,18.670616149902344,7879061504,18781786112,6606618624,12776472576
200,1767633522457,694.2772674560547,1980,1,0.7375,7492.935302734375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.828521728515625,37.6923828125,53.56624221801758,18.309486389160156,94.70195770263672,88.46947479248047,84.37255859375,69.33431243896484,41.884498596191406,33.07343292236328,54.84259796142578,23.76238250732422,7879061504,18781786112,6605090816,12779020288
199,1767633522657,695.7052307128906,1980,1,1.05625,7494.704132080078,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.76658630371094,49.40058135986328,56.807212829589844,36.271812438964844,85.9476318359375,82.07140350341797,91.24712371826172,81.90185546875,59.85913848876953,30.09716796875,59.79936599731445,42.684200286865234,7879061504,18781786112,6600015872,12782493696
200,1767633522858,778.4947204589844,1980,1,0.7375,7496.194931030273,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.955535888671875,32.306556701660156,44.394264221191406,30.706710815429688,83.96131896972656,85.27507019042969,79.60250854492188,61.88056182861328,39.94247055053711,16.678070068359375,30.396751403808594,23.794448852539063,7879061504,18781786112,6599815168,12783333376
199,1767633523058,694.8698577880859,1980,1,0.7375,7497.775726318359,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.61590576171875,27.224693298339844,43.52592468261719,20.55144500732422,81.81454467773438,77.27084350585938,73.20006561279297,72.53028106689453,54.12166213989258,32.01941680908203,56.361473083496094,21.489364624023438,7879061504,18781786112,6602498048,12782182400
199,1767633523259,689.7967071533203,1980,1,0.7375,7499.524108886719,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.506195068359375,37.70949172973633,53.441673278808594,38.125404357910156,81.57938385009766,56.19534683227539,45.57763671875,52.39850616455078,57.050270080566406,61.30931854248047,59.67778015136719,52.02959060668945,7879061504,18781786112,6623875072,12784676864
199,1767633523459,749.8900451660156,1980,1,0.7375,7501.334915161133,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.13737487792969,47.632442474365234,64.1639633178711,58.629276275634766,58.901611328125,47.53623962402344,71.4561538696289,42.94485855102539,57.69883346557617,47.79817581176758,93.50703430175781,84.99393463134766,7879061504,18781786112,6652301312,12779065344
199,1767633523659,696.4744873046875,1980,1,0.7375,7503.361511230469,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.10077667236328,68.22445678710938,56.783992767333984,56.57626724243164,68.97886657714844,59.627349853515625,95.13592529296875,89.75347137451172,72.11591339111328,65.59915161132813,84.40062713623047,94.1147232055664,7879061504,18781786112,6661160960,12775768064
199,1767633523859,676.3248748779297,1980,1,0.7375,7505.140518188477,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,87.42321014404297,95.51335906982422,61.14560317993164,38.880035400390625,51.79287338256836,47.277366638183594,86.36177062988281,86.52055358886719,60.005775451660156,49.460418701171875,62.46955871582031,39.547996520996094,7879061504,18781786112,6666665984,12772900864
199,1767633524059,750.4547271728516,1980,1,0.7375,7506.934417724609,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.16236877441406,45.119667053222656,77.78116607666016,77.10745239257813,51.41777420043945,46.314979553222656,45.71006774902344,42.646732330322266,91.44644927978516,85.80854034423828,64.27763366699219,40.995601654052734,7879061504,18781786112,6680002560,12773888000
