Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633486951,659.6440582275391,1980,1,1.0625,7200.630569458008,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.86126708984375,57.94380569458008,46.48814392089844,2.26885986328125,21.65869140625,10.859107971191406,60.607940673828125,56.332733154296875,33.082237243652344,17.98088836669922,26.68634033203125,22.170448303222656,7879061504,18781786112,6211960832,12547215360
199,1767633486952,666.8284301757813,1980,1,1.0625,7200.683364868164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.41514587402344,100,64.12759399414063,38.291255950927734,55.150390625,51.39472579956055,76.11264038085938,100,56.95046615600586,37.880943298339844,65.10704040527344,100,7879061504,18781786112,6212030464,12547215360
200,1767633487151,666.982421875,1980,1,1.0625,7202.026885986328,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,76.70747375488281,69.00559997558594,46.047142028808594,10.259498596191406,26.05915069580078,20.859527587890625,48.86106491088867,49.74111557006836,32.89881134033203,12.052314758300781,32.8792724609375,22.86756134033203,7879061504,18781786112,6220812288,12553269248
200,1767633487352,668.7003936767578,1980,1,1.05625,7203.471054077148,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.46199035644531,51.98396301269531,45.141841888427734,16.689773559570313,33.072792053222656,24.60894775390625,78.75395965576172,80.6248779296875,46.95231246948242,16.769989013671875,37.27842712402344,22.0025634765625,7879061504,18781786112,6241378304,12766941184
199,1767633487552,749.1474151611328,1980,1,1.0625,7205.163635253906,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.93363952636719,77.79751586914063,50.775821685791016,37.80010223388672,44.129051208496094,35.165618896484375,89.03581237792969,90.02896118164063,53.63304901123047,30.706031799316406,50.6934814453125,51.05068588256836,7879061504,18781786112,6239391744,12743606272
200,1767633487753,749.3507080078125,1980,1,0.7375,7206.757751464844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.070777893066406,36.333335876464844,64.31700134277344,15.78009033203125,69.73452758789063,66.5556640625,72.02622985839844,75.42443084716797,48.088138580322266,18.174102783203125,39.15176773071289,38.97381591796875,7879061504,18781786112,6240993280,12745408512
199,1767633487954,660.3827362060547,1980,1,0.7375,7208.832992553711,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,83.2860107421875,80.88638305664063,91.57899475097656,90.8261947631836,95.75616455078125,94.22463989257813,87.36625671386719,83.03036499023438,84.11740112304688,86.54857635498047,85.8152084350586,88.21588134765625,7879061504,18781786112,6276771840,12809682944
200,1767633488153,749.8252563476563,1980,1,0.7375,7210.999267578125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,92.84535217285156,90.79651641845703,93.8215560913086,93.78565216064453,93.9061279296875,91.10711669921875,92.16618347167969,93.1419906616211,92.93765258789063,92.45298767089844,93.07369232177734,93.38746643066406,7879061504,18781786112,6296637440,12816756736
200,1767633488354,668.2519683837891,1980,1,0.7375,7212.707260131836,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.41310119628906,75.22850799560547,63.059471130371094,43.96308517456055,60.52728271484375,45.38517761230469,58.16925048828125,58.33375549316406,66.34652709960938,48.08897399902344,57.98918914794922,59.68660354614258,7879061504,18781786112,6292590592,12817084416
199,1767633488554,750.0462188720703,4050,0,0.7375,7214.082214355469,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.19403839111328,53.2379150390625,69.68217468261719,49.143585205078125,27.446853637695313,22.423980712890625,29.50304412841797,35.74443817138672,40.7420768737793,31.234771728515625,37.75834274291992,23.725624084472656,7879061504,18781786112,6303203328,12818083840
