Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633452026,691.0783996582031,1980,1,0.7375,6897.251571655273,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.044395446777344,24.194656372070313,38.810081481933594,9.912582397460938,21.483741760253906,10.463676452636719,92.16523742675781,73.88800811767578,73.26622009277344,82.57609558105469,57.4270133972168,59.60734176635742,7879061504,18781786112,7063793664,12581646336
199,1767633452027,691.0818176269531,1980,1,0.7375,6897.2767333984375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,38.764156341552734,40.72128677368164,27.6031494140625,19.60236358642578,74.54037475585938,42.96083068847656,100,91.99638366699219,100,100,97.19280242919922,91.70549774169922,7879061504,18781786112,7064735744,12581384192
199,1767633452226,638.3390502929688,1980,1,0.7375,6899.266830444336,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.27741241455078,44.670963287353516,46.250335693359375,27.330841064453125,66.3691177368164,45.754886627197266,70.69183349609375,67.4499740600586,66.6806869506836,44.5341682434082,65.76001739501953,49.88969421386719,7879061504,18781786112,7070105600,12585136128
199,1767633452427,691.3758239746094,1980,1,0.7375,6901.103057861328,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.39575958251953,68.64257049560547,38.59819030761719,22.867568969726563,77.21263122558594,82.00706481933594,31.50843048095703,49.76356506347656,56.15387725830078,24.147117614746094,46.34492874145508,17.016952514648438,7879061504,18781786112,7105335296,12798246912
199,1767633452627,638.816650390625,1980,1,0.7375,6903.817901611328,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,81.50740814208984,78.46257019042969,62.268829345703125,37.19739532470703,88.83907318115234,82.91047668457031,45.63283920288086,75.47579193115234,76.39295196533203,40.5692138671875,60.00957489013672,61.328636169433594,7879061504,18781786112,7134109696,12815544320
200,1767633452827,629.8335571289063,1980,1,1.0625,6905.915328979492,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,86.28012084960938,69.7218017578125,72.33905029296875,43.40473175048828,88.05809783935547,91.71243286132813,66.06539154052734,63.35869598388672,85.85843658447266,57.03128433227539,59.29338073730469,57.55376434326172,7879061504,18781786112,7153221632,12820922368
200,1767633453028,630.0144500732422,1980,1,1.03125,6907.85807800293,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.39383316040039,46.55603790283203,57.55224609375,37.816654205322266,94.75926208496094,94.06245422363281,46.40478515625,60.19724655151367,54.3228874206543,37.12089538574219,56.879573822021484,37.902828216552734,7879061504,18781786112,7162183680,12833902592
230,1767633453228,617.8885345458984,1980,1,0.7375,6909.770065307617,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.63504028320313,53.78947067260742,67.9885025024414,49.33077621459961,80.0023193359375,82.89569091796875,59.276588439941406,63.866455078125,76.25836944580078,69.30630493164063,63.032249450683594,55.82321548461914,7879061504,18781786112,7167049728,12835233792
200,1767633453459,692.4263763427734,1980,1,0.7375,6912.480926513672,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,92.26788330078125,87.63558197021484,94.46310424804688,86.51318359375,93.4527587890625,89.05357360839844,90.00019073486328,86.48159790039063,98.56024169921875,96.89723205566406,95.37488555908203,86.45611572265625,7879061504,18781786112,7190765568,12843278336
200,1767633453659,692.5910797119141,1980,1,1.0625,6914.055389404297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,78.18927001953125,66.61872863769531,90.65907287597656,74.30918884277344,97.36268615722656,58.63124465942383,77.96269989013672,75.86164093017578,83.92485046386719,72.46436309814453,82.991455078125,79.53327941894531,7879061504,18781786112,7201730560,12841164800
