Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633502945,673.3660583496094,1980,1,0.7375,7334.750015258789,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,29.44066619873047,32.498619079589844,60.3907585144043,94.92266082763672,26.499984741210938,27.962074279785156,93.8028564453125,73.55561828613281,63.82096862792969,18.06714630126953,33.596702575683594,20.833641052246094,7879061504,18781786112,6579073024,12553863168
187,1767633502957,763.4229583740234,1980,1,1.05625,7334.875473022461,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.79173278808594,13.819229125976563,86.93201446533203,65.15727233886719,24.159751892089844,21.279617309570313,94.41166687011719,86.59242248535156,18.838958740234375,10.725067138671875,20.374267578125,60.53636169433594,7879061504,18781786112,6579486720,12554895360
200,1767633503146,763.5031585693359,1980,1,0.7375,7336.340148925781,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.495018005371094,23.903152465820313,84.27993774414063,88.47086334228516,23.838775634765625,26.487533569335938,81.04012298583984,58.26149368286133,52.058563232421875,22.206886291503906,31.89812469482422,44.588523864746094,7879061504,18781786112,6578450432,12555132928
200,1767633503346,673.7767791748047,1980,1,0.7375,7337.9273681640625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.41225814819336,28.66834259033203,80.83854675292969,94.1131362915039,33.505409240722656,23.91315460205078,73.68804931640625,87.69638061523438,49.8068733215332,22.293502807617188,45.54769515991211,29.281005859375,7879061504,18781786112,6601129984,12758188032
199,1767633503547,673.9831390380859,1980,1,0.7375,7339.452133178711,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.73393630981445,34.45635986328125,80.38233947753906,62.431243896484375,30.662155151367188,22.450660705566406,76.94600677490234,87.37046813964844,46.36098098754883,21.478683471679688,34.91790008544922,34.80689239501953,7879061504,18781786112,6617571328,12763938816
200,1767633503747,763.8289184570313,1980,1,0.7375,7340.915603637695,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.12742614746094,25.36756134033203,49.88356018066406,27.975906372070313,47.34501266479492,59.67604064941406,71.6712417602539,77.70254516601563,45.41082000732422,38.89458465576172,30.441200256347656,41.46672821044922,7879061504,18781786112,6625386496,12765061120
200,1767633503947,764.0207214355469,1980,1,0.7375,7342.594940185547,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.09339904785156,36.04902648925781,49.200801849365234,23.45581817626953,69.18838500976563,66.59432983398438,64.48588562011719,63.391807556152344,74.91365051269531,80.67374420166016,32.608489990234375,31.534225463867188,7879061504,18781786112,6640033792,12764364800
199,1767633504148,764.2256317138672,1980,1,0.7375,7344.182022094727,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.6626968383789,60.97981262207031,42.02508544921875,54.88498306274414,77.63833618164063,78.67589569091797,37.7212028503418,36.051605224609375,73.6650619506836,68.24111938476563,44.99730682373047,26.4830322265625,7879061504,18781786112,6648352768,12769800192
200,1767633504348,681.5876007080078,1980,1,0.7375,7345.6229248046875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,82.41981506347656,97.36700439453125,42.96006393432617,19.159332275390625,44.4520263671875,31.682785034179688,24.835067749023438,31.02729034423828,48.766082763671875,30.244094848632813,45.4448356628418,22.783981323242188,7879061504,18781786112,6656110592,12774203392
200,1767633504549,764.5320892333984,1980,1,0.7375,7347.361419677734,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,73.25343322753906,63.652374267578125,44.3748664855957,40.3863525390625,56.40872573852539,60.392555236816406,40.7857780456543,40.76613235473633,71.31643676757813,64.95774841308594,50.002716064453125,70.0994644165039,7879061504,18781786112,6652239872,12764127232
