Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633204087,595.54833984375,1980,1,0.7125,5468.096405029297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,12.785568237304688,0.472625732421875,22.7374267578125,7.1068572998046875,21.882080078125,8.442031860351563,16.987831115722656,1.1938934326171875,26.272369384765625,6.479087829589844,79.45257568359375,73.12760162353516,7879061504,18781786112,6307184640,11869208576
188,1767633204099,595.5512390136719,1980,1,0.7125,5468.155487060547,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,25.162139892578125,49.95621871948242,45.43124771118164,8.909690856933594,23.666397094726563,24.432418823242188,41.192466735839844,18.969139099121094,28.576515197753906,14.395759582519531,96.24034118652344,11.716796875,7879061504,18781786112,6307287040,11870240768
199,1767633204287,595.6195831298828,1980,1,0.7125,5469.130508422852,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,28.16004180908203,20.23529815673828,34.789581298828125,11.937629699707031,21.05089569091797,27.764305114746094,15.609031677246094,31.62287139892578,26.945167541503906,9.58441162109375,65.14783477783203,12.889755249023438,7879061504,18781786112,6328942592,12081975296
200,1767633204488,517.4250640869141,1980,1,0.7125,5470.090438842773,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.710655212402344,11.16534423828125,41.79838562011719,10.494987487792969,15.814689636230469,16.11468505859375,6.8307647705078125,75.90573120117188,45.21184158325195,4.5862884521484375,53.480613708496094,12.256507873535156,7879061504,18781786112,6342430720,12090449920
200,1767633204688,518.2568817138672,1980,1,0.7125,5471.174560546875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.73466491699219,21.859535217285156,36.7435302734375,15.621932983398438,41.853004455566406,17.481552124023438,43.48988723754883,56.89601135253906,51.48723602294922,9.489654541015625,59.14018630981445,13.894996643066406,7879061504,18781786112,6354550784,12094234624
200,1767633204889,518.3702392578125,1980,1,0.7125,5472.35920715332,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.29225158691406,55.32188415527344,58.10104751586914,19.49811553955078,55.27142333984375,17.069076538085938,29.25579833984375,65.870361328125,68.03329467773438,25.411407470703125,74.15180969238281,20.829261779785156,7879061504,18781786112,6347059200,12098232320
199,1767633205089,595.9365234375,1980,1,0.7125,5473.4522705078125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.74867630004883,66.43848419189453,42.08921432495117,9.492889404296875,36.047462463378906,15.070487976074219,27.305007934570313,74.85120391845703,38.01727294921875,11.451934814453125,55.82469940185547,18.056922912597656,7879061504,18781786112,6356103168,12102418432
200,1767633205289,596.0654144287109,1980,1,0.7125,5474.816589355469,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.03071594238281,49.55025863647461,61.56608200073242,31.05706024169922,71.31733703613281,25.917770385742188,73.15780639648438,53.830692291259766,61.60933303833008,40.32726287841797,72.07453918457031,51.66054916381836,7879061504,18781786112,6373371904,12109635584
199,1767633205491,596.2182159423828,1980,1,0.7125,5476.317184448242,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,79.12708282470703,57.265869140625,78.28813171386719,62.250858306884766,81.25999450683594,70.09956359863281,80.18724060058594,75.269775390625,79.21229553222656,65.0966796875,82.97164154052734,64.3291015625,7879061504,18781786112,6410072064,12134158336
199,1767633205691,596.3772277832031,1980,1,0.7125,5477.937576293945,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,90.17131042480469,85.77839660644531,91.84749603271484,87.03414916992188,90.16207885742188,90.66773986816406,96.54685974121094,81.67462158203125,90.43158721923828,86.56143951416016,89.479248046875,88.86237335205078,7879061504,18781786112,6430904320,12178743296
