Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767816954045,5068.991027832031,1980,1,0.7125,8624.384216308594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,25.216949462890625,6.750785827636719,2.3749160766601563,0,95.29137420654297,100,20.184921264648438,3.959442138671875,81.41458892822266,28.19121551513672,0.4744873046875,1.0313796997070313,7879061504,10733051904,5031677952,1562689536
199,1767816954046,5068.993225097656,1980,1,0.7125,8624.40119934082,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,100,66.07875061035156,8.788719177246094,7.99853515625,78.01153564453125,100,22.09515380859375,45.697330474853516,100,90.40442657470703,20.9715576171875,8.972091674804688,7879061504,10733051904,5031878656,1561952256
199,1767816954246,5069.060592651367,1980,1,0.70625,8625.319854736328,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,16.77727508544922,11.67864990234375,1.3647994995117188,7.034889221191406,71.85940551757813,87.7943115234375,53.819000244140625,48.64399337768555,34.141693115234375,27.37200164794922,4.133758544921875,2.4210205078125,7879061504,10733051904,5056675840,1776517120
199,1767816954446,8366.603469848633,1980,1,0.7125,8626.27719116211,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.659141540527344,44.25896453857422,0.17879486083984375,0.6347274780273438,44.70705032348633,35.836334228515625,69.56969451904297,56.38573455810547,46.21681213378906,38.615150451660156,1.7887191772460938,0.1746673583984375,7879061504,10733051904,5075210240,1787498496
199,1767816954646,5069.205230712891,1400,2,0.7125,8627.262603759766,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.691436767578125,45.438419342041016,0.7571258544921875,0.33056640625,87.9687271118164,68.81330108642578,59.951595306396484,61.03958511352539,25.935699462890625,20.443031311035156,2.7476654052734375,0.3007659912109375,7879061504,10733051904,5077323776,1783799808
199,1767816954846,6220.469772338867,1980,1,0.7125,8628.316329956055,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.236656188964844,52.749473571777344,2.0428314208984375,0.6233596801757813,68.42475891113281,80.79791259765625,61.686790466308594,52.274784088134766,62.82575607299805,55.631526947021484,3.947235107421875,1.815032958984375,7879061504,10733051904,5087674368,1796194304
199,1767816955046,6220.560440063477,1980,1,0.7125,8629.304626464844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.18649291992188,58.084659576416016,0.877410888671875,1.236724853515625,58.86334228515625,49.18234634399414,50.25542068481445,37.484046936035156,50.54114532470703,42.60205078125,2.1117324829101563,0.9354171752929688,7879061504,10733051904,5088497664,1795440640
199,1767816955247,8366.995590209961,1980,1,0.7125,8630.178146362305,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.451683044433594,45.612972259521484,0.37155914306640625,0,47.10131072998047,26.930946350097656,52.78253173828125,24.715171813964844,47.185359954833984,26.354827880859375,1.9009170532226563,0.17906951904296875,7879061504,10733051904,5096931328,1796505600
199,1767816955447,8367.161392211914,1980,1,0.7375,8631.27685546875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,84.81954956054688,73.50978088378906,0.11309051513671875,1.2880020141601563,70.29280090332031,63.40287399291992,56.99750518798828,59.95670700073242,50.461273193359375,48.73252868652344,1.0445938110351563,0.4820098876953125,7879061504,10733051904,5118496768,1803776000
199,1767816955647,5069.677307128906,1980,1,0.7125,8632.25961303711,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.36566162109375,56.88624954223633,0.10262298583984375,0,56.15336227416992,45.78526306152344,60.52212905883789,42.32115173339844,46.13798141479492,30.61468505859375,0.6297683715820313,0.5666885375976563,7879061504,10733051904,5121171456,1798688768
199,1767816955847,7688.20686340332,1980,1,0.7125,8633.264724731445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.1429443359375,65.6465072631836,0.07773590087890625,0.04868316650390625,55.50312423706055,56.88420104980469,60.077266693115234,39.66688537597656,39.52057647705078,31.619735717773438,0.6401748657226563,0.35186767578125,7879061504,10733051904,5126881280,1804685312
199,1767816956047,8367.50700378418,1980,1,0.7125,8634.185333251953,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.413997650146484,42.10083770751953,1.0565719604492188,0.98138427734375,50.39917755126953,45.1473274230957,45.35219955444336,40.29906463623047,45.25111770629883,27.237014770507813,1.6138839721679688,0.1989593505859375,7879061504,10733051904,5128880128,1804226560
200,1767816956247,6221.1343994140625,1980,1,0.7125,8635.140625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.99468994140625,67.98126983642578,1.6303024291992188,0,45.09540557861328,49.515777587890625,51.97652053833008,37.45056915283203,39.67094802856445,24.961158752441406,0.415069580078125,0.5612564086914063,7879061504,10733051904,5132709888,1805344768
199,1767816956448,6221.210006713867,1980,1,0.7125,8635.965118408203,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,29.15644073486328,24.075767517089844,1.4077835083007813,0.7261886596679688,22.56421661376953,29.53827667236328,48.348323822021484,25.85985565185547,48.560142517089844,42.90269088745117,1.2521514892578125,0.407958984375,7879061504,10733051904,5136584704,1806422016
199,1767816956648,6221.295669555664,1980,1,0.7125,8636.904647827148,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.06132507324219,75.0485610961914,0.29846954345703125,1.1107406616210938,31.118247985839844,46.332767486572266,59.53446960449219,32.060577392578125,28.819427490234375,27.56671142578125,0.7549972534179688,1.443603515625,7879061504,10733051904,5148934144,1814396928
199,1767816956848,5070.143173217773,1400,2,0.7125,8637.916213989258,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.558292388916016,58.27546310424805,0.24134063720703125,0.02764892578125,66.6903076171875,69.48670959472656,36.061256408691406,24.10308837890625,60.41876220703125,45.36418914794922,1.5801620483398438,0.0221405029296875,7879061504,10733051904,5154897920,1816481792
199,1767816957048,5070.229446411133,1980,1,0.7125,8638.927597045898,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.52110290527344,44.46131134033203,0.6189727783203125,1.0626449584960938,66.41456604003906,57.12849807739258,57.62135314941406,50.05537033081055,47.597755432128906,24.3526611328125,0.4271392822265625,8.778839111328125,7879061504,10733051904,5154717696,1816002560
199,1767816957249,6221.558776855469,1980,1,0.7375,8639.823226928711,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.67415237426758,43.56935501098633,0.25,0.8922882080078125,49.942771911621094,47.809852600097656,43.77378845214844,43.16564178466797,32.591835021972656,22.451377868652344,1.2935028076171875,0.8143844604492188,7879061504,10733051904,5156130816,1819213824
200,1767816957449,8368.252197265625,1980,1,0.7375,8640.77685546875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.44447326660156,79.57798767089844,0.26413726806640625,5.0458526611328125,57.18866729736328,37.28857421875,46.44618225097656,29.299057006835938,36.284488677978516,27.221405029296875,1.9809799194335938,1.2566070556640625,7879061504,10733051904,5159333888,1820958720
200,1767816957649,8368.400009155273,1980,1,0.7125,8641.776626586914,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.27230072021484,74.85829162597656,0.4065093994140625,1.0748062133789063,66.03514099121094,47.15265655517578,68.01028442382813,88.77259063720703,30.40703582763672,15.504440307617188,1.8940277099609375,5.164360046386719,7879061504,10733051904,5161508864,1820786688
199,1767816957850,5070.5146484375,1980,1,0.7125,8642.79946899414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.62721252441406,73.04463195800781,3.0812911987304688,0.46649932861328125,54.389434814453125,52.67513656616211,54.63651657104492,65.50556182861328,46.76243591308594,36.680641174316406,3.1243057250976563,9.450286865234375,7879061504,10733051904,5161426944,1819365376
199,1767816958050,6222.059875488281,1980,1,0.7125,8643.783172607422,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.14632034301758,50.24031448364258,1.1871719360351563,0,65.58905029296875,52.985286712646484,59.39586639404297,65.93753051757813,61.947181701660156,52.501502990722656,1.5904617309570313,11.472587585449219,7879061504,10733051904,5167521792,1826107392
199,1767816958250,5070.784454345703,1980,1,0.7125,8644.785934448242,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.59481811523438,63.840782165527344,1.7050094604492188,5.606834411621094,44.69527053833008,35.17573547363281,59.80236053466797,56.10804748535156,78.74105834960938,69.31533813476563,3.291656494140625,12.839942932128906,7879061504,10733051904,5177274368,1821536256
199,1767816958450,5070.877899169922,1980,1,0.7375,8645.728485107422,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.161720275878906,43.441307067871094,5.211570739746094,2.3400726318359375,41.76778030395508,33.976112365722656,56.017112731933594,61.65670394897461,48.99589157104492,33.48187255859375,3.4092330932617188,4.3258209228515625,7879061504,10733051904,5181214720,1820389376
199,1767816958651,7689.628860473633,1980,1,0.7125,8646.749450683594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,73.02037048339844,51.90856170654297,4.70294189453125,0.9858474731445313,34.518951416015625,35.061866760253906,52.19877624511719,53.36684799194336,69.86618041992188,59.28229522705078,4.080291748046875,13.903518676757813,7879061504,10733051904,5194960896,1824784384
200,1767816958851,5071.126495361328,1980,1,0.7125,8647.739852905273,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.40936279296875,85.23123168945313,1.6624069213867188,0.6687698364257813,43.88074493408203,35.41044616699219,35.55046081542969,38.65902328491211,63.555137634277344,56.056034088134766,5.541435241699219,11.18560791015625,7879061504,10733051904,5198385152,1823199232
199,1767816959051,5071.235595703125,1980,1,0.7125,8648.767700195313,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.18644714355469,54.93443298339844,1.14080810546875,0.15879058837890625,49.116641998291016,49.270179748535156,61.43501281738281,69.750732421875,53.78482437133789,52.8968620300293,2.88360595703125,11.231048583984375,7879061504,10733051904,5212930048,1829810176
199,1767816959251,5071.36653137207,1980,1,0.7125,8649.83479309082,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.6753921508789,65.28416442871094,3.750640869140625,1.485748291015625,63.55760192871094,59.334754943847656,57.951351165771484,60.273155212402344,67.66598510742188,60.2896842956543,5.0597076416015625,16.24034881591797,7879061504,10733051904,5216808960,1826734080
200,1767816959451,5071.478622436523,1980,1,0.7125,8650.801727294922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.23309326171875,48.34062194824219,3.6926498413085938,0.1777801513671875,40.17995071411133,34.4857177734375,76.63079071044922,76.13512420654297,58.95846176147461,52.3331184387207,1.3066024780273438,11.416160583496094,7879061504,10733051904,5215285248,1828986880
199,1767816959652,8369.709014892578,1980,1,0.7125,8651.888702392578,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.35589599609375,77.04744720458984,2.327789306640625,3.307861328125,67.18739318847656,55.486385345458984,64.28993225097656,62.92999267578125,53.71999740600586,40.61476516723633,7.595054626464844,1.351318359375,7879061504,10733051904,5229936640,1837969408
200,1767816959852,7690.281753540039,1980,1,0.7125,8652.972351074219,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.57657623291016,74.01588439941406,2.8422317504882813,2.81402587890625,63.69099426269531,59.522830963134766,81.23197937011719,41.677303314208984,58.481204986572266,54.702152252197266,3.228179931640625,12.834022521972656,7879061504,10733051904,5228797952,1841684480
200,1767816960052,5071.817520141602,1980,1,0.7125,8654.036987304688,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.00466918945313,72.14905548095703,2.9070281982421875,1.7853317260742188,39.33018493652344,39.668739318847656,72.62127685546875,88.28076171875,63.08821487426758,57.21186447143555,2.593963623046875,14.794349670410156,7879061504,10733051904,5230600192,1847857152
199,1767816960253,5071.952285766602,1980,1,0.70625,8654.995895385742,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.825016021728516,53.42179870605469,0.6160507202148438,2.4553604125976563,33.93401336669922,28.524276733398438,85.6111831665039,64.83912658691406,67.36515808105469,53.56428527832031,1.3333816528320313,12.370170593261719,7879061504,10733051904,5242097664,1847943168
199,1767816960453,8370.271743774414,1980,1,0.7125,8655.998306274414,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.008419036865234,85.33251953125,6.493675231933594,3.04296875,42.72623062133789,41.30501174926758,50.13578414916992,41.152679443359375,76.02788543701172,51.93898391723633,1.7990798950195313,1.2212982177734375,7879061504,10733051904,5240156160,1848225792
199,1767816960653,6223.737884521484,1980,1,0.7125,8656.872817993164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.49106216430664,37.386959075927734,1.9455184936523438,2.9746170043945313,23.788772583007813,12.22271728515625,62.442806243896484,29.170761108398438,58.98904800415039,45.00248718261719,2.4934844970703125,12.088546752929688,7879061504,10733051904,5244182528,1847033856
199,1767816960854,3199.192642211914,1980,1,0.7125,8657.958145141602,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,31.90899658203125,30.33757781982422,22.45861053466797,25.240394592285156,47.62712097167969,37.57219696044922,72.84957885742188,37.583168029785156,58.38119888305664,62.906009674072266,8.298873901367188,12.643363952636719,7879061504,10733051904,5247094784,1858813952
199,1767816961054,3199.2576446533203,1980,1,0.70625,8658.885818481445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,5.5025634765625,0.9306259155273438,40.36171340942383,17.111724853515625,70.90644073486328,73.50576782226563,4.8399200439453125,0.8913040161132813,89.18426513671875,77.57756042480469,3.4890823364257813,4.521644592285156,7879061504,10733051904,5272408064,2082476032
200,1767816961254,5072.603897094727,1980,1,0.7125,8659.687683105469,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1.902923583984375,0.31363677978515625,48.942291259765625,35.212127685546875,85.00305938720703,100,2.0693359375,0.3717498779296875,43.45609664916992,36.09247589111328,0.726165771484375,3.7061080932617188,7879061504,10733051904,5279567872,2078629888
199,1767816961454,3199.455123901367,1980,1,0.7125,8660.513198852539,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,2.6819534301757813,0.6444549560546875,51.37704086303711,29.77159881591797,80.06937408447266,77.35322570800781,1.22332763671875,6.6216278076171875,41.185359954833984,39.11776351928711,2.4994659423828125,0.5817642211914063,7879061504,10733051904,5289390080,2088304640
200,1767816961654,3199.532669067383,1980,1,0.7125,8661.343994140625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,2.432525634765625,0.1074981689453125,42.749427795410156,24.788665771484375,52.46726989746094,46.823665618896484,0.5955429077148438,0,63.48037338256836,64.73261260986328,0.3696441650390625,0.9086532592773438,7879061504,10733051904,5297922048,2077507584
