Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633230353,529.9974212646484,1980,1,0.7125,5609.624099731445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,22.70343780517578,0.04485321044921875,17.732688903808594,0,36.89935302734375,6.421867370605469,72.55799865722656,23.488357543945313,21.363128662109375,4.190437316894531,52.744266510009766,0,7879061504,18781786112,6378344448,11859550208
199,1767633230354,606.6399078369141,1980,1,0.7125,5609.643447875977,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,69.47804260253906,0,58.72858810424805,0.80474853515625,36.31254959106445,44.315067291259766,98.55684661865234,58.50379943847656,79.57109832763672,0,100,0,7879061504,18781786112,6378946560,11859550208
200,1767633230554,606.720458984375,1980,1,0.7125,5610.676239013672,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.852821350097656,6.2769775390625,45.52600860595703,3.6236419677734375,24.90221405029297,25.470252990722656,21.78852081298828,25.929962158203125,26.158302307128906,18.46807861328125,61.80493927001953,15.516624450683594,7879061504,18781786112,6445899776,12153917440
199,1767633230755,606.8143157958984,1980,1,0.7125,5611.820297241211,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.82945251464844,10.357856750488281,54.4799690246582,8.724136352539063,38.8740348815918,23.411392211914063,50.49931716918945,55.519187927246094,47.942176818847656,9.891151428222656,28.2049560546875,70.77931213378906,7879061504,18781786112,6429696000,12086124544
200,1767633230955,504.63771057128906,1980,1,0.7125,5612.846115112305,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.576210021972656,4.764923095703125,47.34904098510742,4.782341003417969,39.9462890625,22.152679443359375,9.276611328125,86.17988586425781,47.83067321777344,7.1166229248046875,71.57743835449219,16.721900939941406,7879061504,18781786112,6434148352,12091092992
200,1767633231155,606.9738922119141,1980,1,1.05625,5613.951568603516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.3753662109375,6.877738952636719,62.40746307373047,7.0084991455078125,37.36966323852539,21.559158325195313,15.532623291015625,76.11705780029297,66.05232238769531,21.154457092285156,77.26986694335938,13.030548095703125,7879061504,18781786112,6436868096,12090486784
199,1767633231356,530.7286987304688,1980,1,0.7125,5614.836715698242,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.135494232177734,7.289642333984375,30.550338745117188,11.626380920410156,16.175498962402344,17.265701293945313,7.658531188964844,56.268218994140625,28.508934020996094,12.199516296386719,59.9377555847168,7.995552062988281,7879061504,18781786112,6446645248,12096782336
199,1767633231556,607.1177368164063,1980,1,0.7125,5616.0972900390625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.46257019042969,7.654441833496094,69.90302276611328,11.391571044921875,43.2187385559082,27.227951049804688,28.860641479492188,63.70744705200195,56.538307189941406,46.61996841430664,55.04060363769531,37.1492919921875,7879061504,18781786112,6476136448,12107747328
200,1767633231756,530.6215972900391,1980,1,0.7125,5617.365814208984,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.828369140625,14.786178588867188,58.37522506713867,32.214378356933594,55.29377365112305,17.251365661621094,42.10318374633789,58.14179611206055,58.856502532958984,37.6882438659668,46.004058837890625,51.21762466430664,7879061504,18781786112,6476824576,12106174464
199,1767633231957,607.2854309082031,1237.5,2,0.7125,5618.460830688477,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.85731506347656,7.813789367675781,49.36589431762695,16.22284698486328,32.56031799316406,17.17749786376953,16.990859985351563,75.99335479736328,50.27993392944336,28.11499786376953,55.94477081298828,30.339767456054688,7879061504,18781786112,6470201344,12098125824
