Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767828023940,11964.254165649414,1980,1,0.7125,50674.18569946289,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.5148811340332,44.133583068847656,30.290985107421875,27.60626983642578,63.42162322998047,0,19.660293579101563,100,24.68962860107422,12.048568725585938,44.456138610839844,0,7879061504,13985492992,6362349568,12986400768
200,1767828023940,11964.255310058594,1980,1,0.7125,50674.19633483887,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,100,41.50849151611328,100,0,85.02497863769531,0,0,100,42.98701477050781,11.828170776367188,35.71428680419922,0,7879061504,13985492992,6362361856,12986400768
199,1767828024140,11964.321716308594,1980,1,0.7125,50675.19348144531,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.17394256591797,18.414283752441406,45.16764831542969,37.58724594116211,37.54134750366211,11.71246337890625,24.16461181640625,23.81121826171875,50.776790618896484,13.064651489257813,60.079471588134766,11.040908813476563,7879061504,13985492992,6408134656,13028610048
199,1767828024341,6096.335067749023,1980,1,0.7125,50676.358795166016,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.098968505859375,23.636611938476563,32.978271484375,57.10235595703125,63.429439544677734,27.453025817871094,45.43977737426758,26.808670043945313,48.76029968261719,22.53399658203125,63.64413833618164,18.39971923828125,7879061504,13985492992,6419365888,13031927808
200,1767828024541,11964.544891357422,1980,1,0.7125,50677.62675476074,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.653324127197266,29.70177459716797,55.33235549926758,49.22716522216797,55.90468215942383,27.42113494873047,52.49622344970703,33.69483184814453,63.23712158203125,32.595611572265625,64.79325866699219,31.83570098876953,7879061504,13985492992,6419767296,13032316928
200,1767828024742,11964.659103393555,1980,1,0.7125,50679.03379821777,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.35793685913086,50.12001037597656,55.03831481933594,70.4853515625,59.72513198852539,41.65675735473633,62.55440902709961,50.64891815185547,61.626895904541016,45.851837158203125,70.6796646118164,46.754966735839844,7879061504,13985492992,6430679040,13046386688
199,1767828024943,11964.781646728516,1980,1,0.7125,50680.36935424805,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.0050048828125,59.14374923706055,58.03031921386719,70.51642608642578,63.35811233520508,50.43085479736328,61.4553337097168,52.85649490356445,67.70553588867188,52.89384841918945,72.32231903076172,49.20183563232422,7879061504,13985492992,6438227968,13050281984
199,1767828025143,9062.10627746582,1980,1,0.7375,50681.92858886719,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,78.91751861572266,74.65074157714844,84.82417297363281,79.52394104003906,78.28463745117188,71.30943298339844,79.40164947509766,73.79339599609375,83.20429229736328,70.72767639160156,84.32891845703125,70.6189193725586,7879061504,13985492992,6443896832,13052739584
199,1767828025343,11965.085678100586,1980,1,0.7125,50683.519622802734,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,86.63204193115234,78.34840393066406,82.27053833007813,79.22168731689453,85.35301971435547,77.93370819091797,82.34929656982422,80.6260986328125,85.21556854248047,78.66708374023438,83.63592529296875,76.20410919189453,7879061504,13985492992,6438588416,13041426432
200,1767828025543,11965.24348449707,1980,1,0.7125,50685.12658691406,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,88.67507934570313,84.9330825805664,86.26730346679688,82.7729721069336,87.82412719726563,84.26115417480469,90.59080505371094,89.13348388671875,89.7794418334961,87.63314819335938,86.36680603027344,83.90618133544922,7879061504,13985492992,6448852992,13048487936
199,1767828025744,11965.375717163086,1980,1,0.7125,50686.628677368164,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.28451538085938,72.57598114013672,78.65762329101563,70.30264282226563,78.88145446777344,65.36279296875,77.26642608642578,79.23739624023438,84.62655639648438,75.05194091796875,80.06491088867188,69.69121551513672,7879061504,13985492992,6459244544,13051514880
200,1767828025944,11965.51498413086,1980,1,0.7125,50688.16194152832,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,88.5698013305664,83.0133056640625,81.76425170898438,75.80308532714844,81.51950073242188,81.94921875,88.12781524658203,79.8238754272461,90.05572509765625,81.7918701171875,81.8279800415039,76.75042724609375,7879061504,13985492992,6460891136,13057925120
199,1767828026145,11965.652526855469,1980,1,0.7125,50689.687255859375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,82.59491729736328,78.36216735839844,79.09427642822266,75.20049285888672,82.51162719726563,75.27009582519531,85.1543197631836,80.15061950683594,87.55431365966797,80.67050170898438,82.2856674194336,73.26204681396484,7879061504,13985492992,6465683456,13066743808
200,1767828026345,11965.783264160156,1980,1,0.7375,50691.12789916992,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,76.30331420898438,73.0489501953125,70.69646453857422,64.02821350097656,76.58160400390625,67.45030975341797,77.34103393554688,75.55009460449219,81.601318359375,70.1661605834961,77.7967758178711,56.13832473754883,7879061504,13985492992,6472183808,13066280960
199,1767828026545,12752.661636352539,1980,1,0.7125,50692.55506896973,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.07630920410156,50.98246383666992,58.897117614746094,50.70307159423828,56.89565658569336,36.97293472290039,77.64485931396484,72.15876007080078,66.50342559814453,57.74662780761719,60.93767547607422,48.20927429199219,7879061504,13985492992,6477901824,13070049280
199,1767828026746,11965.99624633789,1980,1,0.7125,50693.894439697266,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.1265869140625,67.16783142089844,76.3284683227539,47.558372497558594,54.89702224731445,40.067138671875,58.17805480957031,62.306854248046875,71.40937042236328,52.1254997253418,69.72550201416016,38.75531768798828,7879061504,13985492992,6484561920,13073088512
200,1767828026946,9063.366241455078,1980,1,0.7125,50695.28709411621,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.72773742675781,80.79373168945313,70.09356689453125,65.28897094726563,68.47306060791016,58.147796630859375,76.67253112792969,64.07943725585938,75.56172180175781,66.82884979248047,68.83723449707031,59.669334411621094,7879061504,13985492992,6481387520,13082091520
200,1767828027146,9063.544815063477,1980,1,0.7125,50696.887130737305,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,88.42877960205078,68.73462677001953,69.95648193359375,66.40204620361328,85.95027160644531,56.98027038574219,78.4327392578125,73.6714096069336,78.44830322265625,66.97189331054688,72.63756561279297,55.102996826171875,7879061504,13985492992,6456803328,13052805120
200,1767828027347,12753.24934387207,1980,1,0.7125,50698.2804107666,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,75.23445129394531,48.497825622558594,74.93358612060547,64.84466552734375,67.94771575927734,33.29772186279297,72.06183624267578,62.61909484863281,71.5675048828125,65.8134536743164,69.38285827636719,45.54475784301758,7879061504,13985492992,6448508928,13059780608
200,1767828027547,9063.793701171875,1980,1,0.7125,50699.48017883301,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.919105529785156,52.348426818847656,61.59581756591797,56.070560455322266,58.179344177246094,39.79743576049805,57.022674560546875,38.925926208496094,72.2044906616211,52.087379455566406,66.19728088378906,33.07154846191406,7879061504,13985492992,6444978176,13061271552
199,1767828027748,11966.66194152832,1980,1,0.7125,50700.961181640625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,70.24488830566406,51.723594665527344,41.40247344970703,58.103458404541016,54.067955017089844,56.06522750854492,82.44693756103516,64.560302734375,58.80177688598633,74.10731506347656,57.4933967590332,41.192237854003906,7879061504,13985492992,6449389568,13065424896
199,1767828027948,11966.781692504883,1980,1,0.7125,50702.3864440918,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,73.49223327636719,34.997657775878906,58.580814361572266,47.062076568603516,59.11244583129883,39.46382522583008,93.45272827148438,69.40757751464844,74.53414916992188,57.67079162597656,70.59648895263672,33.286834716796875,7879061504,13985492992,6483963904,13073510400
199,1767828028148,11966.942581176758,1980,1,0.7125,50703.918395996094,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.31907653808594,54.41215133666992,68.40135955810547,62.89143753051758,69.24140930175781,64.17684936523438,85.42185974121094,80.04545593261719,76.16875457763672,68.55878448486328,73.98406982421875,41.70465087890625,7879061504,13985492992,6514704384,13082746880
200,1767828028348,4726.376663208008,1980,1,1.0625,50705.71681213379,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.11731719970703,62.1755485534668,72.63800048828125,68.36788940429688,68.32779693603516,64.78067779541016,75.19481658935547,82.64722442626953,77.68087768554688,73.04287719726563,74.9030532836914,62.72159194946289,7879061504,13985492992,6536830976,13094731776
200,1767828028549,11967.323745727539,1980,1,1.0625,50707.61994934082,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,86.44734954833984,66.68860626220703,76.75675964355469,61.944698333740234,79.9981918334961,66.76170349121094,83.68888092041016,76.4443130493164,83.13272094726563,72.12733459472656,74.57321166992188,63.10613250732422,7879061504,13985492992,6524489728,13066780672
200,1767828028749,12754.389022827148,1980,1,0.7125,50709.28341674805,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.10545349121094,54.2404670715332,58.96653366088867,57.88587188720703,48.003395080566406,75.22342681884766,69.82791137695313,53.08692932128906,74.78302001953125,37.86455154418945,62.94892501831055,55.03139877319336,7879061504,13985492992,6529900544,13067517952
199,1767828028950,11967.600952148438,1980,1,0.7125,50710.63409423828,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.28606414794922,28.959823608398438,66.59898376464844,51.489173889160156,33.195701599121094,49.773719787597656,47.88820266723633,32.61566162109375,86.98123168945313,69.85311126708984,67.09466552734375,36.8779182434082,7879061504,13985492992,6541025280,13068636160
200,1767828029150,11967.756896972656,1980,1,0.7375,50712.1671295166,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.42804718017578,43.61591339111328,56.48844528198242,57.78141403198242,71.1220703125,36.046409606933594,57.948020935058594,43.24704360961914,67.0208511352539,50.972049713134766,65.887939453125,51.77904510498047,7879061504,13985492992,6545588224,13070434304
200,1767828029350,11967.851104736328,1237.5,2,0.7125,50713.37097167969,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.07562255859375,14.230331420898438,33.633766174316406,59.61045837402344,36.620662689208984,20.0843505859375,36.189571380615234,26.688758850097656,70.32078552246094,15.640525817871094,67.6546401977539,19.950836181640625,7879061504,13985492992,6554816512,13071286272
