Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633256761,531.3602294921875,1980,1,0.7125,5753.485885620117,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,22.97283172607422,9.953369140625,6.263969421386719,5.8680267333984375,38.23099899291992,8.920570373535156,69.18590545654297,26.664817810058594,9.600059509277344,3.9742431640625,56.144474029541016,1.4513473510742188,7879061504,18781786112,6516756480,11948883968
187,1767633256774,618.2575531005859,1980,1,0.7375,5753.560562133789,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,31.1710205078125,68.27662658691406,43.01029968261719,16.09845733642578,17.77930450439453,23.518218994140625,20.642990112304688,21.769439697265625,22.912193298339844,6.88507080078125,36.29372024536133,50.837703704833984,7879061504,18781786112,6516916224,11949916160
200,1767633256962,618.3203277587891,1980,1,0.7125,5754.506011962891,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,32.15675354003906,14.452308654785156,36.507816314697266,6.603355407714844,16.18511199951172,23.372146606445313,22.956138610839844,35.97032165527344,21.070632934570313,7.5526275634765625,65.38716125488281,12.968315124511719,7879061504,18781786112,6538891264,12161347584
200,1767633257162,618.4309844970703,1980,1,0.7125,5755.78874206543,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.32575225830078,15.594070434570313,53.66033172607422,21.483436584472656,53.46892547607422,23.4293212890625,29.7158203125,62.865665435791016,58.77489471435547,24.299583435058594,66.67586517333984,16.15990447998047,7879061504,18781786112,6568472576,12172746752
200,1767633257362,618.4795532226563,1980,1,0.7125,5756.791961669922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,33.434059143066406,10.173294067382813,49.76102066040039,5.6252593994140625,28.220046997070313,12.086021423339844,13.984474182128906,74.63797760009766,45.411277770996094,5.630767822265625,62.322242736816406,9.27508544921875,7879061504,18781786112,6575263744,12182556672
199,1767633257563,618.5586242675781,1980,1,0.7125,5757.940155029297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.40030288696289,19.219024658203125,52.707550048828125,15.333015441894531,43.631263732910156,17.03302764892578,25.266647338867188,67.18565368652344,53.473167419433594,36.11920166015625,71.3448257446289,19.54180908203125,7879061504,18781786112,6584516608,12187611136
199,1767633257763,618.6935882568359,1980,1,0.7125,5759.284774780273,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.66755294799805,50.626155853271484,58.369422912597656,25.046493530273438,71.01866149902344,41.005496978759766,51.145904541015625,59.34526062011719,47.427433013916016,40.15402603149414,65.07745361328125,28.87079620361328,7879061504,18781786112,6560202752,12122718208
199,1767633257963,543.3475952148438,1980,1,0.7125,5760.564697265625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.4388542175293,32.405616760253906,64.7225341796875,15.516082763671875,59.15215301513672,18.86139678955078,49.30328369140625,51.366455078125,60.7624397277832,49.228538513183594,63.10250473022461,32.485023498535156,7879061504,18781786112,6569603072,12125716480
200,1767633258163,517.8722229003906,1980,1,0.7125,5761.854736328125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.43441009521484,17.23363494873047,65.07809448242188,28.83654022216797,60.377864837646484,17.824447631835938,30.13770294189453,62.09989929199219,52.49852752685547,42.03334045410156,61.07053756713867,40.85331344604492,7879061504,18781786112,6578388992,12124168192
200,1767633258364,543.6018371582031,1980,1,0.7125,5762.955535888672,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.05590057373047,8.12896728515625,52.98434829711914,7.196220397949219,32.85552978515625,12.10003662109375,15.72686767578125,75.72488403320313,40.00991439819336,25.007797241210938,57.91159439086914,20.60700225830078,7879061504,18781786112,6577246208,12130095104
