Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633176290,535.6125183105469,1980,1,0.7125,5306.348663330078,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.78080749511719,22.46373748779297,26.40569305419922,36.56019973754883,18.233848571777344,27.60613250732422,34.46912384033203,34.716773986816406,92.541259765625,80.2792739868164,74.0100326538086,13.272468566894531,7879061504,18781786112,6603165696,11965739008
199,1767633176291,489.2715606689453,1980,1,0.7125,5306.3740234375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.466514587402344,84.41786193847656,50.44048309326172,10.171188354492188,42.00120162963867,53.0283317565918,72.58985137939453,16.08769989013672,71.5386962890625,67.23396301269531,76.69436645507813,8.8197021484375,7879061504,18781786112,6603407360,11965476864
199,1767633176491,477.84327697753906,1980,1,0.7125,5308.167098999023,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,82.00245666503906,73.9218978881836,87.8538818359375,74.2225341796875,87.89363098144531,77.22239685058594,80.34388732910156,78.39216613769531,86.18898010253906,85.70576477050781,79.8091049194336,73.56306457519531,7879061504,18781786112,6626562048,11983491072
199,1767633176691,581.9491271972656,1980,1,0.7125,5309.804428100586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,80.40983581542969,77.09796142578125,93.59222412109375,91.84378814697266,81.13313293457031,75.49949645996094,93.88819885253906,97.08749389648438,79.99185180664063,74.57894897460938,84.25624084472656,79.85934448242188,7879061504,18781786112,6666854400,12213190656
200,1767633176891,536.1168212890625,1980,1,1.05625,5311.610702514648,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.13127899169922,47.58139419555664,88.56137084960938,83.54259490966797,66.4022216796875,49.943824768066406,82.5915298461914,89.19294738769531,69.02491760253906,63.05138397216797,72.19479370117188,53.26959991455078,7879061504,18781786112,6696706048,12231294976
238,1767633177092,536.2753448486328,1980,1,0.7375,5313.076248168945,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,61.29514694213867,23.416114807128906,68.36094665527344,69.15570831298828,59.31866455078125,22.5284423828125,54.73564529418945,43.27455520629883,65.42478942871094,46.859256744384766,78.09623718261719,25.65167236328125,7879061504,18781786112,6730424320,12226953216
166,1767633177356,536.5665435791016,1980,1,0.7375,5315.986892700195,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,89.21782684326172,69.28778076171875,83.89491271972656,91.86805725097656,94.37489318847656,71.89444732666016,89.40225982666016,70.66468811035156,93.18004608154297,87.25362396240234,83.44049835205078,71.04763793945313,7879061504,18781786112,6752735232,12244795392
200,1767633177522,478.6512451171875,1980,1,0.7125,5316.4835205078125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,76.52715301513672,74.3363037109375,90.39177703857422,95.70288848876953,86.17514038085938,51.273101806640625,77.4840316772461,57.00000762939453,87.70418548583984,47.06608963012695,77.20157623291016,76.69000244140625,7879061504,18781786112,6762811392,12246937600
199,1767633177723,536.7755584716797,1980,1,0.7125,5318.127243041992,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,94.2814712524414,94.89595794677734,98.75177001953125,94.83074188232422,91.70243835449219,96.84634399414063,98.91368865966797,94.74252319335938,96.63278198242188,94.04281616210938,97.6915512084961,93.7640380859375,7879061504,18781786112,6745341952,12182245376
200,1767633177923,490.669189453125,1980,1,0.7125,5319.592727661133,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.79696655273438,52.572998046875,89.11725616455078,68.60726928710938,72.4181900024414,68.06573486328125,74.83155059814453,65.4105224609375,77.86019134521484,77.50874328613281,84.40531158447266,58.46769714355469,7879061504,18781786112,6744629248,12196159488
199,1767633178124,537.0516204833984,1980,1,0.7125,5321.098358154297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,77.76668548583984,67.19406127929688,69.44497680664063,53.54572296142578,77.70565795898438,57.623897552490234,74.29712677001953,61.326412200927734,74.1266098022461,85.09549713134766,75.51386260986328,61.84703826904297,7879061504,18781786112,6751379456,12186406912
200,1767633178324,537.2025756835938,1980,1,0.7125,5322.647079467773,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,81.28931427001953,60.713844299316406,68.30105590820313,63.908897399902344,72.79925537109375,76.89604949951172,83.65357971191406,45.521507263183594,74.75602722167969,52.40410232543945,77.08401489257813,52.64596939086914,7879061504,18781786112,6778056704,12210245632
200,1767633178525,537.3306579589844,1980,1,0.7125,5323.906005859375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.568355560302734,39.11928939819336,35.73149108886719,58.59950637817383,58.347354888916016,34.74201202392578,51.99467086791992,36.573970794677734,71.11558532714844,33.35813903808594,72.49935150146484,33.859840393066406,7879061504,18781786112,6776635392,12210061312
200,1767633178725,479.4803924560547,1980,1,0.7125,5325.3223876953125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.056087493896484,61.965492248535156,54.35289001464844,65.64019775390625,65.32777404785156,61.389530181884766,83.34674072265625,45.74534225463867,74.3921890258789,36.32878112792969,70.92318725585938,33.514808654785156,7879061504,18781786112,6727385088,12205793280
199,1767633178925,537.5679626464844,1980,1,0.7125,5326.452575683594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.02189254760742,25.136398315429688,23.540008544921875,67.75611114501953,47.75627899169922,25.345619201660156,41.66328811645508,35.100746154785156,54.661460876464844,22.07738494873047,56.685150146484375,24.19969940185547,7879061504,18781786112,6692073472,12198850560
200,1767633179126,479.6593780517578,1237.5,2,0.70625,5327.46549987793,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.341495513916016,22.127822875976563,41.795249938964844,57.09590530395508,39.018341064453125,26.55950164794922,35.55363464355469,33.29772186279297,49.37242126464844,18.721885681152344,48.61391830444336,36.68027114868164,7879061504,18781786112,6668865536,12196708352
200,1767633179326,479.76116943359375,1980,1,0.7125,5328.629592895508,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.900047302246094,29.158065795898438,29.6741943359375,63.81624221801758,45.98737716674805,26.978416442871094,42.63207244873047,30.553504943847656,61.262855529785156,20.292007446289063,55.1104736328125,20.6075439453125,7879061504,18781786112,6657216512,12200464384
200,1767633179526,537.8875427246094,1980,1,0.7125,5329.849426269531,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,77.53153991699219,32.78643035888672,45.11332702636719,64.79803466796875,56.755435943603516,31.760787963867188,53.461490631103516,36.313873291015625,64.13346099853516,16.338165283203125,56.110877990722656,18.000450134277344,7879061504,18781786112,6640058368,12206301184
199,1767633179727,505.79966735839844,1980,1,0.7125,5331.237655639648,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.24964141845703,39.101078033447266,44.524452209472656,68.45169067382813,79.69786834716797,35.60798645019531,67.53185272216797,38.741966247558594,68.38525390625,27.903343200683594,67.38945007324219,29.761573791503906,7879061504,18781786112,6613917696,12204265472
200,1767633179927,584.1938323974609,1980,1,0.7125,5332.531845092773,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.4024658203125,28.598182678222656,31.607444763183594,69.31442260742188,62.91342544555664,28.225860595703125,59.37837219238281,27.66155242919922,59.97843551635742,17.502479553222656,59.82260513305664,26.38177490234375,7879061504,18781786112,6584320000,12205854720
199,1767633180127,492.159912109375,1980,1,0.7125,5333.961929321289,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.624420166015625,40.984825134277344,32.10856628417969,71.73802947998047,50.905765533447266,55.37371826171875,52.9681282043457,42.65936279296875,60.98219299316406,26.74121856689453,66.31788635253906,36.331634521484375,7879061504,18781786112,6585626624,12214206464
199,1767633180328,538.4826812744141,1980,1,0.7125,5335.765823364258,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,76.99345397949219,50.91888427734375,65.00369262695313,68.29003143310547,68.86962890625,62.65653610229492,70.12684631347656,55.262664794921875,76.55532836914063,40.08897018432617,64.28498840332031,61.86345291137695,7879061504,18781786112,6602285056,12299014144
200,1767633180528,492.51136779785156,1980,1,0.7125,5337.278839111328,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,81.33809661865234,62.87307357788086,58.410465240478516,73.89866638183594,67.91641235351563,70.72039794921875,80.4733657836914,66.26680755615234,95.7296142578125,38.70243453979492,63.16824722290039,63.76119613647461,7879061504,18781786112,6536937472,12213092352
200,1767633180728,538.7678833007813,1980,1,0.7125,5338.631805419922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.38813400268555,64.89128112792969,54.69242477416992,55.335758209228516,71.36907958984375,53.0546989440918,80.56846618652344,71.37455749511719,71.88668060302734,29.79442596435547,61.3680419921875,49.37757873535156,7879061504,18781786112,6513205248,12212207616
200,1767633180929,538.8858489990234,1980,1,0.7375,5339.983856201172,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.27738952636719,40.21572494506836,42.18614959716797,65.51918029785156,44.065616607666016,64.95076751708984,76.70277404785156,35.446929931640625,62.973243713378906,17.72088623046875,46.41788864135742,38.07822799682617,7879061504,18781786112,6512308224,12214587392
200,1767633181129,539.04736328125,1980,1,0.7125,5341.591247558594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,74.83464050292969,62.64315414428711,74.16847229003906,58.93755340576172,66.85054016113281,58.39628219604492,69.49252319335938,44.19155502319336,70.23882293701172,30.291839599609375,73.30107116699219,39.55414581298828,7879061504,18781786112,6505160704,12212658176
199,1767633181330,539.1810760498047,1980,1,0.7375,5342.934020996094,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,72.77497863769531,42.12923812866211,49.795413970947266,49.43075180053711,63.802001953125,29.22661590576172,49.822059631347656,28.69464111328125,54.36560821533203,16.90282440185547,61.16524124145508,27.814727783203125,7879061504,18781786112,6496735232,12216090624
