Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767788147812,1242.883804321289,1880,1,0.70625,7652.922103881836,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,23.288986206054688,6.150550842285156,0,0,31.372451782226563,23.026649475097656,61.49538040161133,66.28924560546875,46.69878005981445,17.62823486328125,0,0,7879061504,10733051904,5636513792,780013568
161,1767788147851,850.1021118164063,1880,1,0.7375,7653.10693359375,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,48.78638458251953,32.45338439941406,0,0,31.913291931152344,23.585494995117188,56.487247467041016,57.77201843261719,38.582149505615234,25.043487548828125,0,0,7879061504,10733051904,5635833856,782536704
199,1767788148012,1220.7286376953125,1880,1,0.70625,7653.643890380859,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,46.595218658447266,30.45256805419922,0.10294342041015625,0.10282135009765625,63.44282913208008,58.2152214050293,49.79701614379883,33.490257263183594,0.10363006591796875,0.1034393310546875,0.1033782958984375,0.1031951904296875,7879061504,10733051904,5644328960,981032960
199,1767788148213,1243.1268920898438,1880,1,0.7,7654.261825561523,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,59.68830108642578,35.83769226074219,0.32268524169921875,0.3225860595703125,72.06195068359375,69.19345092773438,29.92095184326172,22.121673583984375,0.32323455810546875,0.3231353759765625,0.3229827880859375,0.322784423828125,7879061504,10733051904,5666455552,998416384
199,1767788148413,850.3522644042969,1880,1,0.70625,7654.922607421875,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,59.714393615722656,40.73530197143555,0,0,62.98358917236328,55.243736267089844,62.2839241027832,46.891578674316406,0,0,0,0,7879061504,10733051904,5673865216,1001971712
200,1767788148613,575.6914215087891,1880,1,0.70625,7655.668121337891,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,61.270225524902344,46.444087982177734,0,0,68.39553833007813,65.10267639160156,56.56211471557617,60.144535064697266,30.58806610107422,15.053047180175781,0,0,7879061504,10733051904,5675642880,988143616
199,1767788148814,850.589111328125,1880,1,0.70625,7656.485534667969,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,69.78612518310547,66.16204833984375,0.1542205810546875,0.15416717529296875,65.22274780273438,53.501869201660156,60.06301498413086,45.353755950927734,57.60577392578125,35.77449035644531,0.15451812744140625,0.1544189453125,7879061504,10733051904,5681004544,992030720
199,1767788149014,1221.3871765136719,1880,1,0.70625,7657.158004760742,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,65.45964813232422,45.804710388183594,0.15777587890625,0.15767669677734375,66.82369995117188,45.56689453125,40.336181640625,35.78749084472656,0.15842437744140625,0.1582794189453125,0.1580810546875,0.157928466796875,7879061504,10733051904,5684916224,994177024
200,1767788149214,575.8487854003906,1880,1,0.70625,7657.99104309082,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,68.90364074707031,55.84994888305664,0,0,70.73747253417969,60.248329162597656,83.86956787109375,72.4427490234375,22.16490936279297,19.311439514160156,0,0,7879061504,10733051904,5690961920,998289408
199,1767788149415,1221.6702270507813,1880,1,0.70625,7658.851348876953,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,72.49767303466797,60.74904251098633,0,0,69.17561340332031,74.57884216308594,58.42985916137695,56.9696044921875,68.05451965332031,54.7833366394043,0,0,7879061504,10733051904,5700009984,996069376
199,1767788149615,1221.798812866211,1880,1,0.70625,7659.557800292969,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,51.4383430480957,29.57653045654297,0,0,68.49037170410156,56.273319244384766,63.68248748779297,66.33544921875,14.156005859375,8.746185302734375,0,0,7879061504,10733051904,5702135808,998649856
200,1767788149816,851.2307891845703,1880,1,0.70625,7660.471054077148,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,63.411991119384766,53.069820404052734,0.135894775390625,0.13594818115234375,77.83448791503906,69.29606628417969,77.09597778320313,66.52786254882813,52.98276901245117,45.634498596191406,0.13599395751953125,0.13594818115234375,7879061504,10733051904,5705756672,998539264
199,1767788150016,1222.0206146240234,1880,1,0.70625,7661.1123046875,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,36.503204345703125,32.42185974121094,0,0,37.098899841308594,28.641456604003906,61.50149154663086,56.885738372802734,37.77253341674805,13.13238525390625,0,0,7879061504,10733051904,5705932800,1000050688
199,1767788150216,1222.1302032470703,1880,1,0.70625,7661.793884277344,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,56.53388977050781,35.244895935058594,0.2180633544921875,0.21796417236328125,50.30215835571289,50.068607330322266,58.3032112121582,39.30161666870117,0.2184600830078125,0.2183074951171875,0.21816253662109375,0.21826171875,7879061504,10733051904,5708693504,1001074688
200,1767788150416,1222.2509307861328,1880,1,0.70625,7662.537826538086,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,62.50347900390625,46.26376724243164,0,0,58.58254623413086,48.41298294067383,61.188907623291016,54.75325393676758,0,0,0,0,7879061504,10733051904,5713485824,1002012672
200,1767788150617,851.7065734863281,1880,1,0.70625,7663.373199462891,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,66.8792724609375,46.7384033203125,0,0,71.02922821044922,59.513336181640625,76.3625259399414,65.55520629882813,0,0,0,0,7879061504,10733051904,5725147136,1008427008
200,1767788150817,851.8541717529297,1880,1,0.70625,7664.1683349609375,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,70.90921783447266,69.25147247314453,0,0,80.32158660888672,71.1438217163086,78.91995239257813,76.28197479248047,0,0,0,0,7879061504,10733051904,5728923648,1008967680
199,1767788151018,1222.6794128417969,1880,1,0.70625,7664.917587280273,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,51.85530471801758,34.01097106933594,0.1110992431640625,0.11090087890625,72.4123306274414,64.22941589355469,50.26291275024414,41.77362823486328,52.148101806640625,26.80626678466797,0.1118011474609375,0.11150360107421875,7879061504,10733051904,5726851072,1008070656
200,1767788151218,1245.018051147461,1880,1,0.70625,7665.636383056641,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,68.466064453125,52.42771530151367,0.34778594970703125,0.34793853759765625,66.03285217285156,46.67599868774414,51.22474670410156,43.13300704956055,34.05809020996094,15.34552001953125,0.3473358154296875,0.34763336181640625,7879061504,10733051904,5728350208,1011122176
200,1767788151418,1245.1629638671875,1880,1,0.70625,7666.392501831055,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,64.98117065429688,54.262386322021484,0.054595947265625,0.05449676513671875,70.61542510986328,71.28775787353516,69.88470458984375,58.475093841552734,16.032394409179688,3.8785552978515625,0.054840087890625,0.0547943115234375,7879061504,10733051904,5729976320,1011699712
200,1767788151619,1245.3020782470703,1880,1,0.70625,7667.221282958984,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,68.77000427246094,60.41474533081055,0.15129852294921875,0.15110015869140625,67.7784652709961,46.17521667480469,61.292179107666016,65.5444107055664,64.21521759033203,39.03495788574219,0.1517486572265625,0.15145111083984375,7879061504,10733051904,5736480768,1016750080
200,1767788151819,1245.441162109375,1880,1,0.70625,7668.14208984375,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,68.79606628417969,58.41006088256836,0,0,71.34434509277344,62.699371337890625,74.74755859375,71.81843566894531,43.66016387939453,42.596343994140625,0,0,7879061504,10733051904,5731913728,1016070144
