Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767826242694,4227.5994873046875,1980,1,0.7125,43345.29135131836,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,2.9225082397460938,0,44.81549835205078,43.171939849853516,28.378036499023438,42.726924896240234,11.6507568359375,2.3531494140625,53.21840286254883,3.1749267578125,68.05343627929688,6.756538391113281,7879061504,13985492992,6809362432,11653844992
188,1767826242706,5544.390487670898,1980,1,0.7125,43345.35998535156,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,19.152297973632813,6.160400390625,34.649436950683594,42.01384735107422,48.5931282043457,12.819366455078125,58.25517272949219,6.390678405761719,36.413414001464844,20.933090209960938,61.96150207519531,41.29889678955078,7879061504,13985492992,6812991488,11667156992
200,1767826242895,5544.514785766602,1980,1,0.7125,43346.305755615234,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,29.90631103515625,8.609428405761719,33.86790466308594,44.82979965209961,31.509490966796875,18.960166931152344,32.973670959472656,4.58319091796875,51.748924255371094,13.357749938964844,75.20101928710938,11.43316650390625,7879061504,13985492992,6843420672,11694850048
199,1767826243095,5544.656646728516,1980,1,0.7125,43347.369689941406,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,37.98068618774414,14.767440795898438,30.71343231201172,62.717506408691406,27.754989624023438,22.44403839111328,69.27572631835938,19.742958068847656,28.763671875,18.62932586669922,63.48086929321289,17.407249450683594,7879061504,13985492992,6850375680,11700752384
200,1767826243296,5544.793518066406,1980,1,0.7125,43348.70738220215,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.58304214477539,44.18899917602539,61.35747146606445,65.55013275146484,71.41941833496094,42.188358306884766,69.61866760253906,43.404075622558594,63.962467193603516,48.45746612548828,67.473876953125,50.39991760253906,7879061504,13985492992,6850383872,11699830784
200,1767826243496,4228.138961791992,1980,1,0.7125,43350.08531188965,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.189327239990234,38.14725112915039,63.49814224243164,49.404361724853516,63.54138946533203,54.150577545166016,51.681373596191406,41.436546325683594,77.60084533691406,69.76769256591797,69.2017822265625,43.31465148925781,7879061504,13985492992,6866120704,11723546624
200,1767826243697,5545.12353515625,1980,1,0.7125,43351.6650390625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,85.7886734008789,73.30909729003906,83.1661148071289,77.97059631347656,85.36273193359375,82.38025665283203,83.44779205322266,77.25325012207031,87.0087890625,84.58362579345703,87.44854736328125,80.16236877441406,7879061504,13985492992,6891474944,11734425600
199,1767826243898,4228.476959228516,1980,1,0.7125,43353.323471069336,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,88.0966567993164,81.17559051513672,88.60779571533203,86.10680389404297,92.98966979980469,88.9767074584961,88.00639343261719,80.83529663085938,91.92071533203125,86.25830078125,94.0092544555664,83.36006927490234,7879061504,13985492992,6905921536,11744272384
200,1767826244098,4228.648910522461,1980,1,1.0625,43354.96339416504,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,88.93590545654297,92.88449096679688,89.74382019042969,87.84188079833984,92.203125,88.2996597290039,90.56340026855469,87.02752685546875,91.54615783691406,91.26453399658203,88.85426330566406,88.10153198242188,7879061504,13985492992,6902865920,11748134912
200,1767826244299,5545.642852783203,1980,1,0.7375,43356.59523010254,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,95.01026916503906,92.16941833496094,93.10211944580078,92.05916595458984,94.96370697021484,95.9698715209961,94.08118438720703,93.39130401611328,95.19091796875,94.0654296875,93.24984741210938,90.55772399902344,7879061504,13985492992,6889926656,11756171264
