Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633162814,482.02369689941406,1980,1,1.05625,5228.867767333984,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.50652313232422,13.176956176757813,77.20581817626953,50.608741760253906,40.34843063354492,44.25457000732422,55.900089263916016,52.82203674316406,45.87872314453125,95.30200958251953,56.32488250732422,42.505680084228516,7879061504,18781786112,6848438272,11856080896
199,1767633162815,482.0269317626953,1980,1,0.7375,5228.8929443359375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,81.48197937011719,38.39997482299805,87.23113250732422,66.23536682128906,66.92233276367188,100,71.03411865234375,38.29325866699219,91.88981628417969,62.24030303955078,70.36715698242188,44.882781982421875,7879061504,18781786112,6847729664,11856015360
200,1767633163015,527.9707489013672,1980,1,0.7375,5230.0928955078125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.40885543823242,22.730743408203125,26.404953002929688,49.02605056762695,47.650325775146484,28.304847717285156,50.76924514770508,44.84796142578125,48.31550979614258,14.313934326171875,46.762290954589844,19.252517700195313,7879061504,18781786112,6864199680,12070494208
200,1767633163215,470.80767822265625,1980,1,0.7375,5231.192337036133,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.30406188964844,11.951858520507813,54.25224685668945,39.61501693725586,55.048240661621094,23.082778930664063,42.066768646240234,35.24760437011719,55.70026779174805,26.533981323242188,45.88465118408203,18.830413818359375,7879061504,18781786112,6876753920,12073181184
199,1767633163416,528.1400756835938,1237.5,2,0.7375,5232.175079345703,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.82268524169922,10.363784790039063,23.361862182617188,64.90165710449219,46.995147705078125,16.40582275390625,38.45431137084961,15.207450866699219,63.37443542480469,6.656318664550781,45.774234771728516,3.1398696899414063,7879061504,18781786112,6884876288,12076953600
199,1767633163616,496.96656799316406,1980,1,0.7375,5233.335113525391,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.36210632324219,28.258811950683594,32.863739013671875,62.76605224609375,80.98804473876953,19.509071350097656,56.55832290649414,15.853965759277344,59.06513595581055,13.7274169921875,40.649330139160156,34.032257080078125,7879061504,18781786112,6929326080,12160983040
199,1767633163816,528.3381958007813,1980,1,0.7375,5234.404724121094,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.73369216918945,14.001396179199219,26.324569702148438,68.03150177001953,51.89010238647461,16.312721252441406,37.585479736328125,6.842948913574219,76.89347076416016,10.378189086914063,38.84300994873047,27.13189697265625,7879061504,18781786112,6919589888,12089053184
199,1767633164017,528.4557342529297,1980,1,0.7375,5235.553619384766,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.75874328613281,44.74015808105469,17.67243194580078,72.09339141845703,50.82551956176758,35.765037536621094,62.56169128417969,7.52569580078125,50.224525451660156,12.918228149414063,67.5224609375,13.417488098144531,7879061504,18781786112,6929915904,12095606784
199,1767633164217,471.36302185058594,1980,1,0.7375,5236.751266479492,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.309364318847656,33.795928955078125,32.91328430175781,58.985740661621094,52.635047912597656,42.60155487060547,58.13201141357422,27.288375854492188,68.9061508178711,10.0008544921875,52.0274658203125,21.092994689941406,7879061504,18781786112,6939197440,12100726784
199,1767633164417,528.6817779541016,1980,1,0.7125,5237.9207763671875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.97711944580078,29.343101501464844,26.843116760253906,50.19681167602539,43.24382781982422,27.439544677734375,45.508140563964844,13.535026550292969,61.49444580078125,9.891990661621094,56.17163848876953,15.01849365234375,7879061504,18781786112,6943223808,12100657152
199,1767633164617,528.7876434326172,1980,1,0.70625,5239.043838500977,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.81336975097656,25.651527404785156,20.00037384033203,64.06452941894531,47.422298431396484,35.398887634277344,65.30291748046875,8.565658569335938,51.86358642578125,14.967231750488281,52.86398696899414,15.941169738769531,7879061504,18781786112,6951010304,12096589824
200,1767633164818,528.8820495605469,1980,1,0.7375,5240.053756713867,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,19.452468872070313,52.904544830322266,23.578292846679688,63.65476608276367,40.12135696411133,18.383750915527344,59.78456115722656,5.26043701171875,48.943267822265625,7.199928283691406,53.139102935791016,5.62408447265625,7879061504,18781786112,6952685568,12097331200
200,1767633165018,498.33673095703125,1980,1,0.7125,5241.071487426758,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,27.35126495361328,14.252616882324219,13.184120178222656,71.77701568603516,31.51519775390625,15.4451904296875,28.18224334716797,8.574966430664063,48.10252380371094,7.778892517089844,52.145477294921875,9.005210876464844,7879061504,18781786112,6957625344,12098326528
