Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767787952104,1097.6097717285156,1880,1,0.70625,6950.194290161133,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,41.01264953613281,4.952735900878906,0,0,33.43647766113281,0,7.2004241943359375,2.9119033813476563,87.66831970214844,60.463138580322266,0,0,7879061504,10733051904,5651582976,771166208
160,1767787952144,1097.6203918457031,1880,1,0.70625,6950.328231811523,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,43.834693908691406,10.657333374023438,0,0,28.112777709960938,7.493721008300781,15.747734069824219,10.482505798339844,47.991943359375,12.428726196289063,0,0,7879061504,10733051904,5651144704,771166208
199,1767787952305,764.8144683837891,1880,1,0.70625,6950.921447753906,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,58.351966857910156,31.71910858154297,0,0,64.9990234375,30.094261169433594,50.617027282714844,30.756370544433594,2.1605606079101563,0.6954727172851563,0,0,7879061504,10733051904,5652156416,775016448
200,1767787952506,1097.8405303955078,1880,1,0.70625,6951.648864746094,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,61.27211380004883,46.2242317199707,0,0,51.58269119262695,37.12958526611328,47.509334564208984,47.43162155151367,0,0,0,0,7879061504,10733051904,5679050752,989274112
191,1767787952715,1097.9780578613281,1880,1,0.70625,6952.412033081055,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,68.3299560546875,57.30874252319336,0,0,66.43795776367188,38.05543899536133,55.25676727294922,53.29714584350586,0,0,0,0,7879061504,10733051904,5685186560,994689024
199,1767787952907,1117.567886352539,1880,1,0.70625,6953.218521118164,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,73.07279205322266,62.39323043823242,0,0,73.78427124023438,71.76737213134766,64.79095458984375,62.50904846191406,0,0,0,0,7879061504,10733051904,5705662464,1001865216
200,1767787953107,1117.7215118408203,1880,1,0.70625,6953.980880737305,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,78.1141357421875,69.49040222167969,0,0,77.63131713867188,62.74790573120117,66.76605224609375,64.31121826171875,0,0,0,0,7879061504,10733051904,5709025280,1006080000
200,1767787953307,1098.40966796875,1880,1,0.70625,6954.690841674805,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,60.21154022216797,43.436397552490234,0,0,68.66795349121094,55.75285339355469,57.895023345947266,49.25724411010742,0,0,0,0,7879061504,10733051904,5714661376,1006080000
199,1767787953508,765.6172180175781,1880,1,0.70625,6955.518798828125,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,76.97856140136719,74.56449890136719,0,0,76.00057220458984,70.8612060546875,67.10323333740234,71.03831481933594,21.265838623046875,25.660057067871094,0,0,7879061504,10733051904,5734858752,1013366784
200,1767787953708,517.6894378662109,1880,1,0.70625,6956.361511230469,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,70.07738494873047,46.94413375854492,0,0,65.58665466308594,40.448143005371094,72.08454895019531,45.24344253540039,65.38732147216797,53.02093505859375,0,0,7879061504,10733051904,5738385408,1009086464
