Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633217218,523.4242401123047,1980,1,0.7375,5538.21614074707,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,31.019432067871094,3.837158203125,100,6.3355560302734375,76.7226333618164,34.38842010498047,44.897335052490234,11.939002990722656,25.647804260253906,4.1221771240234375,34.16161346435547,21.227066040039063,7879061504,18781786112,6357213184,11928252416
197,1767633217221,523.4264831542969,1980,1,0.7375,5538.24153137207,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,27.730606079101563,27.395423889160156,100,22.667144775390625,100,79.55398559570313,69.13433837890625,0.01116943359375,15.594833374023438,0.513946533203125,87.86869812011719,23.710670471191406,7879061504,18781786112,6357520384,11928252416
200,1767633217418,523.4977569580078,1980,1,0.7125,5539.269241333008,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,36.99775695800781,9.259315490722656,46.468833923339844,15.622489929199219,21.72374725341797,23.578384399414063,24.13304901123047,23.007827758789063,24.815956115722656,6.300071716308594,59.11614227294922,4.7834625244140625,7879061504,18781786112,6385090560,12140978176
198,1767633217620,601.3562927246094,1980,1,0.7125,5540.396301269531,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.69017028808594,29.11890411376953,60.91861343383789,35.00685119628906,35.460540771484375,38.821746826171875,29.07036590576172,93.52842712402344,55.30928421020508,28.770103454589844,66.63717651367188,31.057464599609375,7879061504,18781786112,6387666944,12097785856
200,1767633217819,601.4194946289063,1980,1,0.7125,5541.5487060546875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.95412063598633,9.710182189941406,78.04891204833984,42.55066680908203,28.294174194335938,20.236297607421875,17.66516876220703,71.9798355102539,64.95247650146484,10.304008483886719,65.47589111328125,10.569122314453125,7879061504,18781786112,6378262528,12092207104
200,1767633218020,601.4846954345703,1980,1,0.7125,5542.758102416992,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.546630859375,10.221580505371094,66.59341430664063,33.412322998046875,33.51605224609375,15.086051940917969,22.592041015625,63.86520767211914,74.07542419433594,20.465538024902344,73.02565002441406,16.920852661132813,7879061504,18781786112,6392246272,12100927488
199,1767633218220,524.0251312255859,1980,1,0.7125,5543.951095581055,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.63426971435547,23.392486572265625,63.335235595703125,47.350955963134766,40.84251022338867,34.23480224609375,33.041168212890625,69.83734130859375,40.65932083129883,42.72056198120117,60.200191497802734,37.10787582397461,7879061504,18781786112,6408716288,12104134656
199,1767633218420,601.6713714599609,1980,1,0.7125,5545.238006591797,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.26820755004883,18.268218994140625,90.59400177001953,33.34495544433594,55.341094970703125,19.3739013671875,25.584999084472656,77.39986419677734,67.23628997802734,42.89679718017578,60.3370246887207,47.90970230102539,7879061504,18781786112,6429450240,12113952768
200,1767633218620,524.3068084716797,1980,1,0.7125,5546.631683349609,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.78193664550781,17.820884704589844,78.37503051757813,31.986099243164063,72.05574798583984,22.731353759765625,47.41109848022461,55.662052154541016,65.33074951171875,53.550167083740234,54.201271057128906,61.71118927001953,7879061504,18781786112,6435643392,12106735616
200,1767633218821,601.8770599365234,1980,1,0.7125,5547.680862426758,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.68891143798828,6.0084686279296875,51.56364440917969,14.342292785644531,33.05506896972656,14.399070739746094,14.230735778808594,81.04570770263672,36.18165969848633,22.157318115234375,51.451141357421875,32.864479064941406,7879061504,18781786112,6442749952,12112678912
199,1767633219021,601.9408264160156,1980,1,0.7125,5548.782089233398,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.13947296142578,9.339286804199219,61.86240005493164,10.499588012695313,34.18244171142578,14.236259460449219,22.046401977539063,58.73744201660156,53.38725280761719,29.635818481445313,61.94892120361328,19.586196899414063,7879061504,18781786112,6440640512,12113616896
200,1767633219221,524.6392822265625,1980,1,0.7125,5549.829025268555,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.89075469970703,9.270782470703125,53.94712448120117,15.424057006835938,36.20979309082031,11.682243347167969,20.040428161621094,41.779319763183594,36.57735061645508,14.5006103515625,52.820953369140625,9.518081665039063,7879061504,18781786112,6493700096,12194357248
199,1767633219422,602.0689544677734,1980,1,0.70625,5550.762100219727,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.44474792480469,2.3976516723632813,41.63299560546875,9.997451782226563,33.36646270751953,11.678695678710938,12.5103759765625,64.74949645996094,27.778564453125,11.136566162109375,47.3915901184082,9.477386474609375,7879061504,18781786112,6451245056,12118028288
199,1767633219622,602.1446380615234,1980,1,0.7125,5551.781951904297,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.593746185302734,4.839714050292969,41.3047981262207,13.688987731933594,40.013423919677734,11.426231384277344,13.882667541503906,74.20755767822266,70.77333068847656,10.124069213867188,61.61491394042969,5.474090576171875,7879061504,18781786112,6458712064,12123627520
200,1767633219822,513.1759643554688,1980,1,0.7125,5552.958114624023,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.90766906738281,10.124961853027344,50.85490798950195,26.883544921875,45.35648727416992,18.873611450195313,20.30164337158203,76.34457397460938,67.21092224121094,29.231033325195313,74.44198608398438,23.05115509033203,7879061504,18781786112,6472433664,12131373056
200,1767633220023,602.297607421875,1980,1,0.7125,5554.037490844727,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.646324157714844,5.742828369140625,55.77320098876953,14.033058166503906,31.884193420410156,13.888031005859375,16.72772979736328,71.57769775390625,33.723960876464844,34.798851013183594,58.410369873046875,18.504409790039063,7879061504,18781786112,6474108928,12132065280
200,1767633220223,602.3789215087891,1980,1,0.7375,5555.267333984375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.3662109375,6.6339263916015625,41.744659423828125,20.606399536132813,32.901710510253906,13.668052673339844,18.694580078125,58.6033935546875,62.32498550415039,11.898513793945313,65.81578063964844,15.54833984375,7879061504,18781786112,6479978496,12135624704
200,1767633220424,602.4495086669922,1980,1,0.7375,5556.478012084961,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.46996307373047,12.672798156738281,62.633514404296875,14.549911499023438,28.392608642578125,15.440032958984375,16.138572692871094,65.05409240722656,26.464553833007813,61.803409576416016,59.20203399658203,22.119239807128906,7879061504,18781786112,6472040448,12131708928
