Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633148820,519.7787780761719,1980,1,0.7125,5150.483474731445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,67.86367797851563,40.417179107666016,72.97148132324219,64.10224914550781,47.73988723754883,40.10369110107422,46.188133239746094,61.33955001831055,93.0619125366211,36.17667770385742,94.06989288330078,24.36669921875,7879061504,18781786112,6795976704,11889143808
198,1767633148821,519.78271484375,1980,1,0.7125,5150.520584106445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,100,100,100,100,100,100,100,100,100,100,100,100,7879061504,18781786112,6796054528,11889143808
200,1767633149020,519.8715057373047,1980,1,0.7125,5151.924789428711,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.185298919677734,30.54808807373047,69.6685562133789,27.128822326660156,44.975589752197266,41.7360954284668,57.23877716064453,26.493545532226563,18.988624572753906,95.48454284667969,54.782615661621094,19.697494506835938,7879061504,18781786112,6812364800,11899256832
200,1767633149221,463.8098602294922,1980,1,0.7125,5153.100387573242,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.39786911010742,23.320831298828125,26.674179077148438,72.47108459472656,47.96819305419922,31.87842559814453,49.44597625732422,34.373931884765625,40.29523849487305,35.781349182128906,43.146202087402344,21.94310760498047,7879061504,18781786112,6785585152,12100583424
200,1767633149421,474.5616149902344,1980,1,0.7125,5154.089508056641,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,59.0857048034668,9.624717712402344,24.17192840576172,61.73337936401367,31.100135803222656,12.587493896484375,26.943557739257813,26.611900329589844,48.40420913696289,16.625396728515625,66.17167663574219,7.592369079589844,7879061504,18781786112,6785507328,12101697536
199,1767633149622,474.7145080566406,1980,1,0.7125,5155.280853271484,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.571319580078125,11.577835083007813,27.52124786376953,67.34455871582031,42.3060188293457,12.91156005859375,42.8210334777832,25.131919860839844,74.23181915283203,7.520317077636719,50.508235931396484,22.318450927734375,7879061504,18781786112,6810894336,12107137024
200,1767633149822,474.82667541503906,1980,1,0.70625,5156.491622924805,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.29917907714844,16.31281280517578,36.854515075683594,47.75893020629883,43.14397048950195,16.1348876953125,69.02381134033203,11.771766662597656,88.15506744384766,14.043746948242188,62.913631439208984,15.845542907714844,7879061504,18781786112,6763479040,12119363584
200,1767633150022,520.4117736816406,1980,1,0.7125,5157.703186035156,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.89888000488281,24.51129150390625,40.78571701049805,61.43989944458008,43.23697280883789,25.835861206054688,40.14125442504883,31.01898193359375,70.58724212646484,19.88690948486328,69.67901611328125,19.159156799316406,7879061504,18781786112,6745088000,12120915968
200,1767633150223,491.08409118652344,1980,1,0.7125,5159.198104858398,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,63.43369674682617,44.59082794189453,54.25448989868164,60.78091812133789,60.392730712890625,30.683631896972656,60.692970275878906,34.557273864746094,74.369873046875,33.797698974609375,76.04777526855469,19.794532775878906,7879061504,18781786112,6777348096,12130394112
200,1767633150423,520.6742401123047,1980,1,0.7125,5160.424942016602,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.59054183959961,26.96569061279297,26.33582305908203,65.56604766845703,43.30024337768555,15.309127807617188,41.147525787353516,33.56452941894531,67.73731994628906,16.779098510742188,71.97067260742188,11.869728088378906,7879061504,18781786112,6799470592,12124520448
