Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767815977195,3539.410690307617,1980,1,0.7125,4231.75993347168,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,14.853477478027344,9.558769226074219,26.671783447265625,7.424896240234375,11.939781188964844,18.754173278808594,55.36701202392578,74.07911682128906,4.132598876953125,2.4882888793945313,55.248695373535156,2.1790924072265625,7879061504,10733051904,4994895872,1832771584
187,1767815977207,3539.42236328125,1980,1,1.05625,4231.838073730469,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,34.309173583984375,42.761314392089844,19.177947998046875,55.843414306640625,38.530303955078125,33.10173034667969,51.78681182861328,10.225883483886719,24.100242614746094,1.4870681762695313,60.921756744384766,2.726287841796875,7879061504,10733051904,4994985984,1834737664
199,1767815977395,3539.5433502197266,1980,1,0.7125,4232.654281616211,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,24.750930786132813,7.195426940917969,12.752906799316406,63.29948043823242,48.93557357788086,6.577705383300781,25.70671844482422,10.092491149902344,27.79326629638672,1.1715240478515625,59.92180252075195,0.7871475219726563,7879061504,10733051904,5020184576,2048655360
200,1767815977595,3539.6603393554688,1980,1,0.7125,4233.652389526367,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.33047866821289,22.233314514160156,16.764877319335938,73.90665435791016,58.09578323364258,14.581108093261719,32.21598815917969,12.672149658203125,59.68385314941406,1.2045364379882813,57.145328521728516,2.1553878784179688,7879061504,10733051904,5032497152,2055917568
199,1767815977796,2671.6051635742188,1980,1,0.7125,4234.736923217773,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.71504211425781,18.96747589111328,17.690521240234375,70.48188018798828,66.72944641113281,13.658531188964844,50.32147216796875,6.1428375244140625,59.6102409362793,2.6207962036132813,58.83180618286133,4.484886169433594,7879061504,10733051904,5033668608,2062757888
199,1767815977996,3539.9058837890625,1980,1,0.7125,4235.717742919922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,46.506526947021484,34.382354736328125,13.072380065917969,71.03306579589844,63.6554069519043,6.134330749511719,50.62545394897461,9.274826049804688,52.75025939941406,0.8988571166992188,59.713809967041016,0.28753662109375,7879061504,10733051904,5035835392,2064859136
199,1767815978196,2671.861343383789,1980,1,0.7125,4236.765823364258,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,35.60493469238281,31.13721466064453,15.145004272460938,69.15953063964844,58.160770416259766,12.324470520019531,58.16361618041992,1.9081573486328125,76.98370361328125,0.03333282470703125,64.72415161132813,2.381011962890625,7879061504,10733051904,5054234624,2069856256
200,1767815978396,4826.4560546875,1980,1,0.7125,4237.845642089844,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.25160217285156,18.47136688232422,19.545494079589844,70.45974731445313,52.923213958740234,24.690574645996094,65.56617736816406,5.779396057128906,65.61152648925781,0.8036880493164063,66.20501708984375,5.491485595703125,7879061504,10733051904,5067661312,2072068096
199,1767815978597,3540.2971801757813,1980,1,0.7125,4238.903579711914,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,43.82268524169922,36.136390686035156,21.799026489257813,66.94071960449219,50.90640640258789,25.198272705078125,57.114925384521484,5.285514831542969,75.89800262451172,1.1584854125976563,64.70380401611328,4.381156921386719,7879061504,10733051904,5068967936,2073985024
200,1767815978797,3540.4268951416016,1980,1,0.7125,4239.821395874023,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,42.258670806884766,6.138694763183594,8.738029479980469,76.03349304199219,28.10443878173828,27.903427124023438,32.10780334472656,1.0092620849609375,65.16749572753906,0.22930145263671875,60.000972747802734,1.3523635864257813,7879061504,10733051904,5070483456,2076065792
193,1767815979004,3540.556869506836,1980,1,0.7125,4240.71159362793,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.47782897949219,4.17779541015625,5.2877349853515625,80.19097137451172,28.84894561767578,11.09149169921875,19.01373291015625,1.1177749633789063,53.496299743652344,0.08905792236328125,59.96779251098633,1.0137176513671875,7879061504,10733051904,5075800064,2078142464
199,1767815979198,3540.679473876953,1980,1,1.05,4241.708343505859,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.99839401245117,10.103569030761719,16.390274047851563,71.67293548583984,56.086055755615234,8.256919860839844,27.684730529785156,10.534751892089844,59.05290603637695,6.085723876953125,60.8949089050293,3.0534439086914063,7879061504,10733051904,5086507008,2082373632
200,1767815979398,3540.8148803710938,1980,1,0.7125,4242.854705810547,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,73.63707733154297,15.279243469238281,13.873908996582031,68.3031997680664,64.72856140136719,19.951072692871094,54.18141174316406,1.488128662109375,69.32672119140625,1.4044265747070313,68.06057739257813,3.8576736450195313,7879061504,10733051904,5095874560,2086981632
199,1767815979598,2672.7396545410156,1980,1,0.7125,4243.898864746094,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.22029495239258,18.068504333496094,20.84813690185547,69.6364974975586,49.896121978759766,24.128067016601563,44.421119689941406,4.095558166503906,60.1021842956543,1.625701904296875,69.63238525390625,4.394004821777344,7879061504,10733051904,5096513536,2087190528
199,1767815979799,3541.085464477539,1980,1,0.7125,4244.925094604492,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.04769515991211,17.26116180419922,17.688011169433594,64.88761138916016,41.270023345947266,20.747970581054688,46.586761474609375,1.3341903686523438,68.79032135009766,0.38527679443359375,62.8266716003418,2.1009063720703125,7879061504,10733051904,5096742912,2090307584
200,1767815979999,4827.255310058594,1980,1,0.7125,4246.175979614258,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.268428802490234,44.6910400390625,37.30340576171875,62.14377975463867,54.62892532348633,40.0715217590332,78.63627624511719,8.0467529296875,71.51358032226563,2.2924652099609375,69.51548767089844,7.83013916015625,7879061504,10733051904,5100449792,2091675648
200,1767815980199,3541.3594360351563,1980,1,0.7125,4247.295654296875,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,58.16533279418945,27.578163146972656,27.65015411376953,67.31132507324219,49.903255462646484,44.80256652832031,67.38082122802734,8.368896484375,62.554996490478516,1.3228683471679688,65.46652221679688,9.826927185058594,7879061504,10733051904,5103267840,2092277760
200,1767815980400,3541.4904022216797,1980,1,0.7375,4248.456481933594,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.75568389892578,25.867645263671875,23.841217041015625,72.21983337402344,48.908809661865234,37.291221618652344,63.833229064941406,14.429039001464844,52.777042388916016,6.3412017822265625,66.7347640991211,6.1029510498046875,7879061504,10733051904,5106446336,2096177152
200,1767815980600,3541.6161346435547,1980,1,0.70625,4249.5980224609375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.1683235168457,29.414138793945313,27.160980224609375,73.46537017822266,45.154903411865234,38.72796630859375,57.128299713134766,21.622108459472656,61.29304504394531,5.283042907714844,66.48080444335938,7.605018615722656,7879061504,10733051904,5116215296,2099388416
199,1767815980801,4827.638092041016,1980,1,0.7125,4250.718780517578,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.50775909423828,28.78679656982422,17.71070098876953,72.58241271972656,68.10104370117188,22.02405548095703,53.965389251708984,12.485343933105469,62.39669418334961,3.9335250854492188,62.89981460571289,5.96685791015625,7879061504,10733051904,5129256960,2105094144
199,1767815981001,2673.673370361328,1980,1,0.7125,4251.842742919922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.78950500488281,22.622604370117188,29.23242950439453,63.14144515991211,55.66096115112305,34.739044189453125,66.33747100830078,12.753738403320313,65.70142364501953,1.3544082641601563,65.11221313476563,6.497306823730469,7879061504,10733051904,5139308544,2103209984
199,1767815981201,3542.005889892578,1980,1,0.7125,4252.995193481445,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,57.441444396972656,30.646896362304688,38.357513427734375,56.862525939941406,51.196529388427734,42.720855712890625,64.29132080078125,12.968757629394531,67.87582397460938,9.952796936035156,72.96170043945313,7.977607727050781,7879061504,10733051904,5156036608,2108219392
200,1767815981401,2673.927749633789,1980,1,0.7125,4254.188140869141,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.925907135009766,48.54930877685547,38.95973205566406,63.311256408691406,51.43657684326172,54.141117095947266,78.11283111572266,14.382087707519531,72.2384033203125,9.304542541503906,68.55755615234375,7.8824310302734375,7879061504,10733051904,5153923072,2109702144
200,1767815981602,4828.071716308594,1980,1,0.7125,4255.32438659668,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.095924377441406,36.189823150634766,29.613739013671875,60.910926818847656,60.997772216796875,28.03125,71.14060974121094,8.816009521484375,69.8525619506836,7.262336730957031,67.93769836425781,6.87969970703125,7879061504,10733051904,5169160192,2119409664
200,1767815981802,3542.4107055664063,1980,1,0.7125,4256.633209228516,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.03601837158203,38.893062591552734,47.85637283325195,59.508296966552734,60.24771499633789,37.08952331542969,72.03529357910156,26.776878356933594,72.87931060791016,3.470977783203125,72.55105590820313,10.486793518066406,7879061504,10733051904,5166665728,2115940352
