Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767633189984,485.2934875488281,1980,1,0.7375,5389.495834350586,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,29.368133544921875,2.3659133911132813,34.12522888183594,12.727493286132813,65.9407958984375,36.44348907470703,25.28619384765625,8.624313354492188,27.980506896972656,4.404014587402344,53.85458755493164,11.970809936523438,7879061504,18781786112,6254632960,11892850688
199,1767633189985,543.8774871826172,1980,1,0.7125,5389.508407592773,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,23.045799255371094,0,100,1.8480606079101563,100,69.95155334472656,68.82772827148438,0,81.72918701171875,0,50.72174072265625,2.9069442749023438,7879061504,18781786112,6254092288,11892850688
199,1767633190184,497.20335388183594,1980,1,0.70625,5390.539840698242,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,36.82167053222656,3.9812545776367188,29.570480346679688,20.78387451171875,44.478111267089844,23.255661010742188,35.450836181640625,8.161720275878906,27.732460021972656,5.935264587402344,50.28805160522461,11.268234252929688,7879061504,18781786112,6274854912,12106715136
201,1767633190385,544.0506744384766,1237.5,2,0.7125,5391.468307495117,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.26934051513672,7.2640228271484375,10.88934326171875,64.95782470703125,39.860103607177734,15.888740539550781,32.849456787109375,7.400169372558594,35.549224853515625,5.957603454589844,50.24165344238281,7.54888916015625,7879061504,18781786112,6290464768,12114194432
200,1767633190586,485.4672546386719,1980,1,0.7125,5392.376480102539,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,45.67649841308594,6.870719909667969,15.269309997558594,68.51775360107422,48.87251281738281,18.232269287109375,37.646732330322266,3.0173187255859375,40.991329193115234,4.453697204589844,52.63473129272461,11.765647888183594,7879061504,18781786112,6310440960,12119580672
199,1767633190787,544.2106628417969,1237.5,2,0.7125,5393.424957275391,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,56.574676513671875,35.424842834472656,28.42810821533203,60.65071105957031,58.37408447265625,11.119316101074219,42.77592849731445,3.4884033203125,45.058528900146484,6.0712738037109375,45.02217483520508,11.838310241699219,7879061504,18781786112,6316650496,12124225536
200,1767633190987,511.4739532470703,1980,1,0.7125,5394.406112670898,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,36.77991485595703,15.5030517578125,16.620849609375,74.47199249267578,42.836666107177734,16.167327880859375,31.862144470214844,4.8380126953125,32.51294708251953,9.203414916992188,49.34484100341797,9.105232238769531,7879061504,18781786112,6324183040,12126564352
200,1767633191187,544.3964691162109,1237.5,2,0.7125,5395.654541015625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,53.27170944213867,55.353939056396484,30.610626220703125,63.5509147644043,64.82894897460938,35.372283935546875,74.50048828125,9.027099609375,54.86904525756836,23.076141357421875,60.351707458496094,16.500572204589844,7879061504,18781786112,6345076736,12135493632
200,1767633191388,544.5010681152344,1980,1,0.7125,5396.781005859375,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,48.89582824707031,34.354347229003906,22.066688537597656,71.0937271118164,48.888824462890625,43.28362274169922,61.97186279296875,9.267829895019531,61.89582824707031,6.510581970214844,51.355491638183594,26.264373779296875,7879061504,18781786112,6352404480,12135981056
199,1767633191589,485.9304656982422,1980,1,0.7125,5398.092086791992,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,50.505123138427734,43.6175537109375,30.23320770263672,64.56874084472656,56.6143913269043,44.20810317993164,60.55915069580078,20.84967041015625,61.873069763183594,13.335800170898438,60.7483024597168,24.690353393554688,7879061504,18781786112,6378745856,12211400704
