Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767816364533,2907.385726928711,1980,1,0.7125,5890.87858581543,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,8.342445373535156,6.188629150390625,54.59857177734375,63.847984313964844,16.24591064453125,13.996322631835938,9.77691650390625,6.533348083496094,8.10467529296875,1.3535003662109375,50.03021240234375,3.0000534057617188,7879061504,10733051904,4818235392,1723985920
199,1767816364534,8200.740631103516,1980,1,0.7125,5890.896926879883,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,41.43901443481445,37.26154708862305,66.25788879394531,53.72549057006836,89.94017791748047,39.46161651611328,94.88201904296875,100,29.923561096191406,5.559989929199219,42.73180389404297,0.96710205078125,7879061504,10733051904,4818276352,1723985920
199,1767816364733,2907.438919067383,1980,1,0.70625,5891.678817749023,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,22.414344787597656,19.67481231689453,23.836746215820313,22.472183227539063,46.79621124267578,35.91222381591797,27.491615295410156,19.242904663085938,5.17291259765625,0.6907424926757813,45.03390121459961,1.3857955932617188,7879061504,10733051904,4825300992,1738199040
199,1767816364934,8200.817840576172,1980,1,0.70625,5892.502883911133,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,21.51282501220703,16.60315704345703,71.63165283203125,76.09268951416016,33.616004943847656,17.724105834960938,13.4117431640625,6.2824859619140625,5.0146636962890625,0.8743896484375,46.48819351196289,0.957366943359375,7879061504,10733051904,4846592000,1939677184
199,1767816365134,2907.737060546875,1980,1,0.7125,5893.420989990234,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,35.62261962890625,31.382225036621094,65.30880737304688,71.93397521972656,36.51483154296875,27.966896057128906,20.22515106201172,20.343368530273438,5.434562683105469,0.17089080810546875,45.567047119140625,1.3048934936523438,7879061504,10733051904,4859133952,1943752704
200,1767816365334,2907.844223022461,1980,1,0.7125,5894.344818115234,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.93185806274414,44.439231872558594,47.316471099853516,55.2276725769043,54.00944900512695,36.01344299316406,15.91473388671875,30.811752319335938,3.5711669921875,1.210968017578125,47.722412109375,0.3755035400390625,7879061504,10733051904,4873175040,1953988608
199,1767816365535,2907.9699096679688,1980,1,0.7125,5895.227188110352,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,54.67796325683594,46.83414077758789,64.12117004394531,57.94273376464844,45.0253791809082,32.70994567871094,14.016456604003906,13.945037841796875,9.346572875976563,0.16704559326171875,48.2016716003418,0.4008941650390625,7879061504,10733051904,4887056384,1957437440
199,1767816365735,2908.084457397461,1980,1,0.7125,5896.04231262207,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,44.632530212402344,47.16835021972656,47.60456085205078,54.839988708496094,31.277969360351563,24.348182678222656,13.415191650390625,8.177894592285156,3.545623779296875,0.26995086669921875,46.39810562133789,0.050811767578125,7879061504,10733051904,4892155904,1958510592
200,1767816365935,7518.296279907227,1980,1,0.7125,5897.023300170898,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,60.4423713684082,61.05311584472656,51.33745574951172,54.3353157043457,47.04536819458008,44.668617248535156,56.03769302368164,49.82421112060547,4.29473876953125,3.2805023193359375,46.40348434448242,1.0766143798828125,7879061504,10733051904,4895653888,1961750528
199,1767816366136,2908.3313903808594,1980,1,0.7125,5898.057586669922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,52.97783279418945,60.44900131225586,58.06047058105469,63.67727279663086,57.59358215332031,54.88002395629883,37.81843566894531,36.98501205444336,6.615745544433594,2.4474334716796875,47.627960205078125,1.2587051391601563,7879061504,10733051904,4902457344,1959673856
199,1767816366336,2908.4295043945313,1980,1,0.7125,5898.995529174805,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.13428497314453,73.08157348632813,40.08604431152344,50.81324005126953,49.18986129760742,46.0031852722168,18.10009002685547,15.317207336425781,3.1539306640625,0.0147705078125,47.9633674621582,0,7879061504,10733051904,4901494784,1958449152
200,1767816366536,2908.5414276123047,1980,1,0.7125,5900.052932739258,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,71.35530853271484,65.94635009765625,49.27437210083008,54.32896041870117,71.32847595214844,71.51219177246094,56.33561706542969,48.41271209716797,3.5756988525390625,1.1069488525390625,46.21458053588867,0.40642547607421875,7879061504,10733051904,4906311680,1963319296
200,1767816366737,2908.653289794922,1980,1,0.70625,5900.863525390625,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.304176330566406,41.1058235168457,46.72240447998047,57.570438385009766,27.19354248046875,25.373992919921875,10.193687438964844,11.509552001953125,3.690155029296875,0.11479949951171875,45.68092727661133,0,7879061504,10733051904,4906643456,1960804352
199,1767816366937,2908.769317626953,1980,1,0.7125,5901.631607055664,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,30.84461212158203,21.797897338867188,51.57154846191406,66.27116394042969,30.048263549804688,22.481735229492188,5.693794250488281,2.6990585327148438,3.3066482543945313,1.8437423706054688,45.85031509399414,0.6622238159179688,7879061504,10733051904,4909129728,1962979328
199,1767816367137,2908.9053344726563,1980,1,0.7125,5902.423400878906,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,24.993019104003906,25.936004638671875,71.53670501708984,65.6414794921875,32.85394287109375,23.565505981445313,13.293792724609375,1.7390899658203125,3.2450790405273438,1.4805145263671875,48.29684066772461,0.08237457275390625,7879061504,10733051904,4913774592,1965551616
199,1767816367338,8201.987045288086,1980,1,0.7125,5903.315399169922,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,40.35589599609375,25.643936157226563,62.388614654541016,80.18316650390625,33.042144775390625,46.99993896484375,21.218475341796875,21.01897430419922,2.9800567626953125,2.36798095703125,49.34733963012695,0.3043365478515625,7879061504,10733051904,4931276800,1971818496
199,1767816367538,2909.188751220703,1980,1,0.7125,5904.34423828125,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,62.725196838378906,47.57963943481445,61.00313949584961,62.49405288696289,62.199405670166016,44.933998107910156,30.026626586914063,18.587425231933594,6.13677978515625,1.1325149536132813,47.34375,0.6091690063476563,7879061504,10733051904,4934934528,1971937280
199,1767816367738,8202.202621459961,1980,1,0.7125,5905.263229370117,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,49.87271499633789,41.008853912353516,68.98619842529297,72.28978729248047,49.316078186035156,35.607948303222656,18.029891967773438,10.4896240234375,2.929443359375,0,45.06183624267578,0.100006103515625,7879061504,10733051904,4932575232,1972461568
200,1767816367938,6024.952102661133,1237.5,2,0.70625,5906.082229614258,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.22499084472656,51.89787673950195,34.93858337402344,44.703983306884766,34.00505828857422,27.32183074951172,12.439796447753906,11.734176635742188,3.335052490234375,1.6233673095703125,49.227943420410156,0.9797821044921875,7879061504,10733051904,4934078464,1975676928
199,1767816368139,2909.5840911865234,1980,1,0.70625,5907.031753540039,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,47.537391662597656,42.55948257446289,66.91011047363281,72.02564239501953,44.71922302246094,28.541854858398438,21.378173828125,15.27227783203125,7.884910583496094,2.4874801635742188,47.94585037231445,2.1589431762695313,7879061504,10733051904,4932345856,1976004608
199,1767816368339,2909.7372283935547,1980,1,0.7125,5908.070739746094,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,55.87387466430664,49.748329162597656,69.04627990722656,68.82780456542969,67.26274871826172,54.112422943115234,44.7452392578125,41.20265579223633,7.377197265625,0.45822906494140625,46.88209533691406,3.0946197509765625,7879061504,10733051904,4939231232,1977655296
199,1767816368539,2909.8624114990234,1980,1,0.7125,5909.084564208984,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,68.44825744628906,69.66239929199219,59.973758697509766,56.88282775878906,59.142669677734375,49.66032028198242,34.70915222167969,27.695846557617188,7.300651550292969,0.8068084716796875,46.18232727050781,3.4190216064453125,7879061504,10733051904,4940271616,1977688064
200,1767816368739,7519.65348815918,1980,1,1.0625,5910.066619873047,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,65.70170593261719,63.988067626953125,55.738285064697266,55.748023986816406,53.46586990356445,39.549835205078125,31.8294677734375,36.38277816772461,8.809768676757813,1.0242919921875,44.72447204589844,5.320655822753906,7879061504,10733051904,4943867904,1982947328
200,1767816368940,6025.339569091797,1980,1,0.7125,5911.161468505859,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,64.94975280761719,63.74238204956055,57.135562896728516,60.09242630004883,61.588157653808594,56.98512649536133,52.7795524597168,40.604156494140625,13.553703308105469,1.9591598510742188,45.94625473022461,6.9569549560546875,7879061504,10733051904,4947582976,1981460480
199,1767816369141,2910.238265991211,1980,1,0.7125,5912.103134155273,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,51.980255126953125,44.16203689575195,50.79075622558594,60.71626663208008,51.83629608154297,44.71868896484375,36.95352554321289,38.7093620300293,5.064979553222656,0.13562774658203125,47.64921569824219,2.1578903198242188,7879061504,10733051904,4957966336,1983733760
199,1767816369341,2910.37841796875,1980,1,0.7125,5913.196640014648,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,1988,66.94281768798828,64.47219848632813,59.60954666137695,57.60585021972656,67.02015686035156,60.49101638793945,40.328643798828125,27.141510009765625,11.368621826171875,2.9250564575195313,45.95583724975586,5.7059326171875,7879061504,10733051904,4962377728,1987878912
