Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767824175714,5220.357025146484,1566.6666666666665,2,0.70625,35326.39440917969,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,28.704315185546875,8.979156494140625,51.270320892333984,40.048526763916016,18.867538452148438,5.648834228515625,17.95081329345703,7.105323791503906,46.28741455078125,10.351165771484375,44.29491424560547,3.8731689453125,7879061504,11813789696,6553264128,10232324096
25,1767824175888,11313.93293762207,1880,1,0.70625,35327.070251464844,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,42.75938034057617,16.68963623046875,6.4307861328125,13.877281188964844,39.24391174316406,14.037635803222656,27.827850341796875,12.095794677734375,12.252120971679688,3.3375778198242188,16.722503662109375,1.5699386596679688,7879061504,11813789696,6548037632,10242867200
199,1767824175914,10544.779998779297,1880,1,0.70625,35327.18818664551,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,63.75791931152344,39.97035598754883,0,0,100,45.12202835083008,65.31111145019531,42.5269775390625,0,0,0,0,7879061504,11813789696,6547779584,10242736128
200,1767824176115,10544.918899536133,1880,1,0.75,35328.14453125,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,71.69271087646484,64.69546508789063,0.36423492431640625,0.3470001220703125,81.26544189453125,66.68470001220703,68.66606140136719,62.57636260986328,2.5290603637695313,2.0237579345703125,0.347442626953125,0.347198486328125,7879061504,11813789696,6539501568,10245177344
199,1767824176315,6639.990798950195,1880,1,0.70625,35329.114166259766,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,61.48163604736328,39.72751998901367,0,0,54.38559341430664,34.59196472167969,53.70596694946289,45.78406524658203,63.14533996582031,33.624786376953125,0,0,7879061504,11813789696,6564679680,10271289344
200,1767824176515,10545.124114990234,1880,1,0.70625,35329.985595703125,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,57.5781364440918,43.896881103515625,0.32579803466796875,0.32574462890625,68.61906433105469,25.729103088378906,50.371543884277344,23.608718872070313,26.140472412109375,6.242256164550781,0.3262939453125,0.32604217529296875,7879061504,11813789696,6565294080,10273832960
199,1767824176716,5220.388656616211,1880,1,0.70625,35330.98336791992,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,76.20227813720703,58.83608627319336,0,0,72.82222747802734,65.92355346679688,71.35627746582031,71.52320098876953,43.34210205078125,42.815494537353516,1.6550979614257813,1.8441009521484375,7879061504,11813789696,6567149568,10270920704
200,1767824176916,5220.522644042969,1880,1,0.75625,35332.147872924805,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,64.67083740234375,72.7103271484375,0,0,68.10816955566406,56.5615119934082,68.08281707763672,57.17131042480469,73.74933624267578,58.419673919677734,69.44349670410156,57.00658416748047,7879061504,11813789696,6583648256,10274623488
199,1767824177117,6640.357482910156,1880,1,0.7375,35333.309478759766,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,64.84152221679688,65.83174133300781,26.871917724609375,23.984207153320313,59.30039596557617,44.10798263549805,57.80191421508789,46.476280212402344,62.49644088745117,55.20635223388672,66.51715850830078,43.991844177246094,7879061504,11813789696,6579130368,10274361344
199,1767824177317,4023.509521484375,1880,1,0.7375,35334.63377380371,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,69.24691009521484,46.44295883178711,64.15071105957031,47.20419692993164,72.13526916503906,63.6031379699707,63.33995819091797,46.68213653564453,70.75212860107422,48.875972747802734,66.82710266113281,45.827266693115234,7879061504,11813789696,6587162624,10285010944
199,1767824177517,4023.6483764648438,1880,1,0.70625,35336.087326049805,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,87.33644104003906,85.95793151855469,88.27976989746094,84.15644836425781,90.831298828125,84.6834716796875,87.33753967285156,86.40991973876953,88.09882354736328,85.44314575195313,88.18907165527344,85.35189819335938,7879061504,11813789696,6586306560,10283298816
199,1767824177718,4023.7869262695313,1880,1,0.70625,35337.57777404785,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,86.11067962646484,81.34037780761719,83.79068756103516,80.7789077758789,86.90806579589844,82.7509765625,84.98097229003906,82.5299072265625,84.00614166259766,87.23407745361328,82.40641784667969,81.58155822753906,7879061504,11813789696,6584016896,10284138496
200,1767824177918,4023.9244079589844,1880,1,0.70625,35339.083892822266,1893,1813,1813,1813,1893,1893,1813,1893,1813,1813,1813,1813,93.014892578125,87.4714126586914,86.34318542480469,85.35242462158203,90.80631256103516,86.94271850585938,90.73672485351563,89.90007019042969,89.26719665527344,89.8994140625,86.97967529296875,86.41030883789063,7879061504,11813789696,6599983104,10287136768
