Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767788466417,1441.5041046142578,1880,1,0.70625,8781.360107421875,1893,1893,1813,1813,1893,1893,1893,1813,1813,1813,1813,1813,33.291587829589844,11.845542907714844,0,0,65.05812072753906,77.86589050292969,5.0524139404296875,3.2976837158203125,44.880859375,15.306655883789063,0,0,7879061504,10733051904,5510959104,773652480
160,1767788466457,1417.6791076660156,1880,1,0.73125,8781.51235961914,1893,1893,1813,1813,1893,1893,1893,1813,1813,1813,1813,1813,66.03209686279297,58.52277755737305,0,0,86.17417907714844,84.68727111816406,0,0,0,0,0,0,7879061504,10733051904,5510475776,777322496
194,1767788466623,1441.6510314941406,1880,1,0.70625,8782.071701049805,1893,1893,1813,1813,1893,1893,1893,1813,1813,1813,1813,1813,65.32359313964844,52.6301383972168,0.068511962890625,0.068511962890625,80.03083801269531,78.30821228027344,6.1435699462890625,5.270408630371094,0.068817138671875,0.068450927734375,0.068511962890625,0.068511962890625,7879061504,10733051904,5515022336,781545472
199,1767788466818,990.8382110595703,1880,1,0.70625,8782.768783569336,1893,1893,1813,1813,1893,1893,1893,1813,1813,1813,1813,1813,60.38604736328125,36.45548629760742,0.5233154296875,0.523162841796875,45.84309768676758,30.201156616210938,69.86827850341797,57.92974090576172,0.5240859985351563,0.5237808227539063,0.52362060546875,0.523468017578125,7879061504,10733051904,5551038464,991223808
199,1767788467018,1418.0527648925781,1880,1,0.70625,8783.474426269531,1893,1893,1813,1813,1893,1893,1893,1813,1813,1813,1813,1813,52.241065979003906,22.443771362304688,0,0,76.98824310302734,75.31208801269531,50.209625244140625,42.86376190185547,0,0,0,0,7879061504,10733051904,5556334592,995536896
199,1767788467218,1442.0133972167969,1342.857142857143,2,0.7375,8784.209030151367,1893,1893,1813,1813,1893,1893,1893,1813,1813,1813,1813,1813,56.60270690917969,44.68790817260742,0,0,64.63909149169922,64.61830139160156,63.86001205444336,65.19952392578125,30.55762481689453,12.187294006347656,0,0,7879061504,10733051904,5561450496,1004503040
200,1767788467419,991.1851196289063,1880,1,0.70625,8784.977722167969,1893,1893,1813,1813,1893,1893,1893,1813,1813,1813,1813,1813,67.8707275390625,63.99446105957031,0,0,60.58783721923828,51.514163970947266,53.39463806152344,53.71327209472656,55.338829040527344,19.874610900878906,0,0,7879061504,10733051904,5560131584,1001009152
199,1767788467619,664.1170501708984,1880,1,0.70625,8785.645401000977,1893,1893,1813,1813,1893,1893,1893,1813,1813,1813,1813,1813,58.36250305175781,44.9803581237793,0,0,44.74672317504883,30.43890380859375,29.616989135742188,26.807601928710938,59.23717498779297,31.91400146484375,0,0,7879061504,10733051904,5578891264,1001586688
199,1767788467819,1418.5113830566406,1880,1,0.70625,8786.419479370117,1893,1893,1813,1813,1893,1893,1893,1813,1813,1813,1813,1813,76.62902069091797,83.43609619140625,0,0,62.55622100830078,60.65964126586914,66.49959564208984,59.93243408203125,29.72577667236328,9.99359130859375,0,0,7879061504,10733051904,5586321408,1006841856
199,1767788468020,991.5169219970703,1880,1,0.70625,8787.362411499023,1893,1893,1813,1813,1893,1893,1893,1813,1813,1813,1813,1813,75.90469360351563,67.75967407226563,0.5249862670898438,0.5250396728515625,73.44024658203125,73.3035888671875,75.80996704101563,76.07086944580078,64.29594421386719,45.50541305541992,0.5242462158203125,0.5246429443359375,7879061504,10733051904,5598818304,1010573312
