Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767788903748,1696.2658386230469,1880,1,0.70625,10338.578308105469,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,66.47111511230469,74.45829772949219,0,0,31.248092651367188,23.66626739501953,14.6580810546875,5.7476654052734375,53.860931396484375,8.240715026855469,0,0,7879061504,10733051904,5575491584,774479872
160,1767788903787,1696.288589477539,1342.857142857143,2,0.70625,10338.746887207031,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,45.22563552856445,35.0125732421875,0.045867919921875,0.045623779296875,57.085025787353516,43.12643814086914,37.774410247802734,24.718650817871094,43.169891357421875,19.32268524169922,0.04514312744140625,0.04489898681640625,7879061504,10733051904,5575081984,776310784
199,1767788903948,1728.1502532958984,1880,1,0.70625,10339.317962646484,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,45.42550277709961,29.031768798828125,0.8951492309570313,0.8952102661132813,42.93593215942383,32.74224853515625,23.318885803222656,20.191184997558594,55.080440521240234,29.77397918701172,0.894775390625,0.8948974609375,7879061504,10733051904,5582073856,781234176
199,1767788904148,1728.2474822998047,1880,1,0.70625,10339.934936523438,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,46.74729919433594,24.41785430908203,0,0,53.895843505859375,36.685646057128906,43.58404541015625,39.862388610839844,26.903221130371094,17.188034057617188,0,0,7879061504,10733051904,5603418112,992419840
200,1767788904348,1696.5374145507813,1880,1,0.70625,10340.706726074219,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,52.25352478027344,43.51350021362305,0,0,42.924320220947266,38.67940139770508,54.5386848449707,66.34451293945313,37.00741195678711,9.936927795410156,0,0,7879061504,10733051904,5614198784,995651584
200,1767788904549,1186.6304779052734,1880,1,0.70625,10341.476165771484,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,56.12466812133789,47.43379592895508,0,0,57.29739761352539,43.556541442871094,61.46158981323242,68.65748596191406,47.73849105834961,25.306610107421875,0,0,7879061504,10733051904,5630771200,1004560384
199,1767788904749,1696.8001861572266,1880,1,0.70625,10342.234100341797,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,68.88025665283203,59.953208923339844,0,0,75.73513793945313,66.86849975585938,79.80511474609375,78.16822814941406,0,0,0,0,7879061504,10733051904,5633499136,1008410624
200,1767788904949,1696.9314880371094,1880,1,0.70625,10342.881820678711,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,65.00482177734375,44.100093841552734,0.2587738037109375,0.25872802734375,63.87636184692383,54.257747650146484,53.0471305847168,43.72052764892578,0.25887298583984375,0.2589263916015625,0.2589263916015625,0.25887298583984375,7879061504,10733051904,5638709248,1009668096
200,1767788905150,1187.0297088623047,1880,1,0.70625,10343.673889160156,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,66.95750427246094,53.620216369628906,0,0,71.39671325683594,73.91555786132813,69.55249786376953,67.62589263916016,27.492027282714844,24.087081909179688,0,0,7879061504,10733051904,5662580736,1017237504
199,1767788905350,1697.2164306640625,1880,1,0.70625,10344.52214050293,1893,1893,1813,1813,1893,1893,1893,1893,1813,1813,1813,1813,69.62503051757813,57.309730529785156,0,0,69.3034439086914,62.786624908447266,67.9368896484375,61.62437057495117,65.46173095703125,39.681827545166016,0,0,7879061504,10733051904,5658427392,1014124544
