Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767788664708,1567.7539672851563,1880,1,0.70625,9475.292739868164,1893,1893,1813,1813,1813,1893,1813,1813,1813,1813,1813,1813,59.76123809814453,31.241050720214844,0,0,80.56781768798828,90.98981475830078,0.8221435546875,0,0,0,0,0,7879061504,10733051904,5550485504,745070592
199,1767788664709,1567.7568817138672,1880,1,0.70625,9475.307266235352,1893,1893,1813,1813,1813,1893,1813,1813,1813,1813,1813,1813,100,100,13.216400146484375,13.208915710449219,100,100,14.658546447753906,13.231369018554688,13.223884582519531,13.221389770507813,13.221389770507813,13.221389770507813,7879061504,10733051904,5550534656,745070592
199,1767788664908,1542.0657043457031,1880,1,0.70625,9476.001068115234,1893,1893,1813,1813,1813,1893,1813,1813,1813,1813,1813,1813,63.028717041015625,57.466068267822266,0.1812286376953125,0.1812744140625,61.299163818359375,60.78665542602539,28.401275634765625,16.95317840576172,0.1812286376953125,0.1812286376953125,0.1812744140625,0.18117523193359375,7879061504,10733051904,5573070848,957419520
199,1767788665109,1542.1890716552734,1880,1,0.70625,9476.677871704102,1893,1893,1813,1813,1813,1893,1813,1813,1813,1813,1813,1813,65.88299560546875,47.91132736206055,0,0,52.65968322753906,35.857933044433594,72.19486999511719,35.96247100830078,0,0,0,0,7879061504,10733051904,5583396864,965169152
199,1767788665309,1568.1844329833984,1880,1,0.70625,9477.376556396484,1893,1893,1813,1813,1813,1893,1813,1813,1813,1813,1813,1813,64.64646911621094,49.64204788208008,0,0,60.467227935791016,54.520912170410156,67.51124572753906,34.707855224609375,0,0,0,0,7879061504,10733051904,5589598208,968376320
199,1767788665509,1568.335693359375,1880,1,0.70625,9478.129165649414,1893,1893,1813,1813,1813,1893,1813,1813,1813,1813,1813,1813,74.7757568359375,65.8073959350586,0,0,70.01676940917969,70.2880859375,70.66920471191406,67.76374816894531,0,0,0,0,7879061504,10733051904,5608853504,976326656
200,1767788665709,716.0851745605469,1880,1,0.70625,9478.965789794922,1893,1893,1813,1813,1813,1893,1813,1813,1813,1813,1813,1813,65.20932006835938,33.531105041503906,0.3300323486328125,0.3300323486328125,64.41159057617188,33.57733154296875,68.27243041992188,15.926200866699219,61.46508026123047,26.93878936767578,0.32993316650390625,0.32997894287109375,7879061504,10733051904,5614280704,976830464
199,1767788665910,1078.9355010986328,1880,1,0.70625,9479.764419555664,1893,1893,1813,1813,1813,1893,1813,1813,1813,1813,1813,1813,74.30017852783203,53.45235824584961,0.23987579345703125,0.2399749755859375,75.93170166015625,57.80608367919922,63.6798095703125,44.89093017578125,31.204177856445313,18.834930419921875,0.2393798828125,0.2396240234375,7879061504,10733051904,5620224000,983482368
200,1767788666110,1079.0793151855469,1880,1,0.70625,9480.673858642578,1893,1893,1813,1813,1813,1893,1813,1813,1813,1813,1813,1813,73.61940002441406,77.56163787841797,0.45986175537109375,0.45946502685546875,67.109619140625,72.19442749023438,69.225341796875,62.57959747314453,66.95278930664063,69.50115966796875,0.4601593017578125,0.46001434326171875,7879061504,10733051904,5640695808,989171712
199,1767788666310,1079.2062072753906,1880,1,0.70625,9481.452529907227,1893,1893,1813,1813,1813,1893,1813,1813,1813,1813,1813,1813,59.337398529052734,56.188758850097656,0,0,62.585689544677734,40.45195007324219,72.0957260131836,45.03530502319336,37.98145294189453,25.726951599121094,0,0,7879061504,10733051904,5643923456,987648000
