Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767789033753,1809.9819641113281,1880,1,0.70625,10788.777359008789,1893,1893,1813,1813,1893,1813,1813,1813,1813,1813,1813,1813,39.64371871948242,14.483436584472656,0,0,86.07302856445313,56.792945861816406,9.842636108398438,9.663230895996094,38.75174331665039,2.243621826171875,0,0,7879061504,10733051904,5526937600,749715456
199,1767789033754,818.8332061767578,1880,1,0.70625,10788.791976928711,1893,1893,1813,1813,1893,1813,1813,1813,1813,1813,1813,1813,78.30899810791016,70.38362121582031,0,0,37.53220748901367,75.64176177978516,27.68871307373047,0,87.57038116455078,100,0,0,7879061504,10733051904,5526986752,749584384
200,1767789033954,1810.0695343017578,1880,1,0.70625,10789.485275268555,1893,1893,1813,1813,1893,1813,1813,1813,1813,1813,1813,1813,38.677825927734375,26.20146942138672,0,0,42.21132278442383,39.65180969238281,39.2330322265625,30.878646850585938,46.98281478881836,18.567306518554688,0,0,7879061504,10733051904,5532598272,755642368
199,1767789034155,1810.1873779296875,1880,1,0.7,10790.097229003906,1893,1893,1813,1813,1893,1813,1813,1813,1813,1813,1813,1813,61.113853454589844,51.65829849243164,0,0,53.56521987915039,56.62234115600586,18.07964324951172,16.74005126953125,25.388198852539063,1.5329971313476563,0,0,7879061504,10733051904,5558390784,968331264
199,1767789034355,1810.3216857910156,1880,1,0.70625,10790.768615722656,1893,1893,1813,1813,1893,1813,1813,1813,1813,1813,1813,1813,64.18635559082031,47.84561538696289,0.08100128173828125,0.08100128173828125,69.5614013671875,57.159061431884766,47.918121337890625,45.97315216064453,0.08124542236328125,0.081146240234375,0.08104705810546875,0.08100128173828125,7879061504,10733051904,5564850176,971649024
199,1767789034555,1810.4473419189453,1880,1,0.70625,10791.511993408203,1893,1893,1813,1813,1893,1813,1813,1813,1813,1813,1813,1813,60.51709747314453,37.38253402709961,0,0,66.01580047607422,50.53805923461914,66.05867004394531,56.858314514160156,37.68821716308594,30.46735382080078,0,0,7879061504,10733051904,5583089664,978395136
199,1767789034755,1810.5635528564453,1342.857142857143,2,0.70625,10792.282455444336,1893,1893,1813,1813,1893,1813,1813,1813,1813,1813,1813,1813,59.035850524902344,52.874576568603516,0,0,69.29409790039063,54.660274505615234,53.60976028442383,46.44807815551758,56.444313049316406,26.47942352294922,0,0,7879061504,10733051904,5588099072,983740416
200,1767789034956,1810.6988830566406,1880,1,0.70625,10792.886657714844,1893,1893,1813,1813,1893,1813,1813,1813,1813,1813,1813,1813,68.88643646240234,53.77800750732422,0,0,76.86729431152344,75.32825469970703,14.359039306640625,5.034217834472656,0.993194580078125,0,0,0,7879061504,10733051904,5592334336,985214976
200,1767789035156,819.1910552978516,1880,1,0.70625,10793.782257080078,1893,1893,1813,1813,1893,1813,1813,1813,1813,1813,1813,1813,67.88241577148438,60.52106475830078,0.1320037841796875,0.13190460205078125,65.30364990234375,67.81543731689453,80.08692932128906,83.49420928955078,8.787002563476563,1.7967147827148438,0.1321563720703125,0.13210296630859375,7879061504,10733051904,5603872768,991219712
199,1767789035356,1778.6121826171875,1880,1,0.70625,10794.647476196289,1893,1893,1813,1813,1893,1813,1813,1813,1813,1813,1813,1813,72.71693420410156,63.36260223388672,0.190643310546875,0.19058990478515625,62.62851333618164,59.15159606933594,72.19203186035156,65.50648498535156,68.06858825683594,44.73368453979492,0.190887451171875,0.1908416748046875,7879061504,10733051904,5620281344,989712384
