Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767788133728,1234.028305053711,1880,1,0.70625,7603.93034362793,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,43.7347297668457,6.7288055419921875,0,0,87.05268096923828,60.070587158203125,22.31707763671875,31.430923461914063,0,0,0,0,7879061504,10733051904,5642915840,786735104
160,1767788133768,843.9122009277344,1880,1,0.7375,7604.091613769531,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,63.06251907348633,55.82077407836914,0,0,45.70355987548828,21.955848693847656,59.73136520385742,44.436134338378906,0,0,0,0,7879061504,10733051904,5642493952,788799488
200,1767788133929,844.0007629394531,1880,1,0.70625,7604.632095336914,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,55.41246795654297,29.931678771972656,0,0,51.8533935546875,43.729759216308594,51.29633331298828,41.855926513671875,0,0,0,0,7879061504,10733051904,5636669440,792903680
199,1767788134130,1234.2893676757813,1880,1,0.70625,7605.35481262207,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,59.37385177612305,43.58802032470703,0,0,67.7239990234375,65.09061431884766,33.75102996826172,27.775596618652344,0,0,0,0,7879061504,10733051904,5674110976,1001881600
200,1767788134329,1212.2807312011719,1880,1,0.70625,7605.99072265625,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,65.6034927368164,49.494998931884766,0.22917938232421875,0.229278564453125,68.88809204101563,48.37458038330078,54.66897201538086,38.35426330566406,0.22917938232421875,0.2292327880859375,0.2292327880859375,0.2292327880859375,7879061504,10733051904,5679497216,1005469696
200,1767788134530,1234.5473327636719,1880,1,0.70625,7606.742263793945,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,61.222618103027344,49.967472076416016,0.022247314453125,0.022247314453125,66.14372253417969,56.08245086669922,81.73443603515625,67.23716735839844,26.510658264160156,11.949981689453125,0.02269744873046875,0.02249908447265625,7879061504,10733051904,5684801536,1013571584
200,1767788134730,572.0805358886719,1880,1,0.70625,7607.534271240234,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,59.882118225097656,48.1705322265625,0,0,74.82130432128906,69.59831237792969,59.30415725708008,43.9887809753418,56.610923767089844,29.5040283203125,0,0,7879061504,10733051904,5703073792,1019064320
199,1767788134931,844.5539855957031,1880,1,0.7375,7608.198394775391,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,59.780860900878906,47.53968811035156,0,0,57.332496643066406,40.885520935058594,62.0609016418457,58.775089263916016,0,0,0,0,7879061504,10733051904,5712003072,1019039744
199,1767788135131,1212.8069610595703,1880,1,0.70625,7609.0401611328125,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,71.97958374023438,60.23006820678711,0,0,68.8387451171875,63.55473709106445,77.0975112915039,68.30499267578125,11.384803771972656,5.868865966796875,0,0,7879061504,10733051904,5717008384,1023520768
199,1767788135332,572.2379455566406,1880,1,0.70625,7609.875717163086,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,70.84043884277344,60.99742889404297,0,0,64.38848114013672,59.16307830810547,68.4930419921875,51.372100830078125,62.58871078491211,54.08156967163086,0,0,7879061504,10733051904,5720961024,1022668800
200,1767788135532,1235.193115234375,1880,1,0.70625,7610.645843505859,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,55.61113357543945,34.561790466308594,0,0,58.900150299072266,48.18130874633789,63.03511047363281,53.67441177368164,20.16065216064453,18.34349822998047,0,0,7879061504,10733051904,5722435584,1024487424
200,1767788135732,1235.3399963378906,1880,1,0.70625,7611.449478149414,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,74.46635437011719,69.16618347167969,0,0,67.1507568359375,67.81376647949219,76.63623809814453,73.65069580078125,22.627777099609375,9.7357177734375,0,0,7879061504,10733051904,5723238400,1026015232
200,1767788135933,572.4279174804688,1880,1,0.70625,7612.130844116211,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,46.51835250854492,30.096046447753906,0.1354522705078125,0.13520050048828125,45.364253997802734,33.92315673828125,51.56280517578125,44.12781524658203,55.73368835449219,26.230628967285156,0.13590240478515625,0.13570404052734375,7879061504,10733051904,5728845824,1027854336
200,1767788136133,1235.5546569824219,1880,1,0.70625,7612.73681640625,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,58.979217529296875,41.48728942871094,0,0,52.467437744140625,48.317134857177734,25.22479248046875,26.954124450683594,11.901664733886719,8.068878173828125,0,0,7879061504,10733051904,5731385344,1028931584
199,1767788136334,1213.510513305664,1880,1,0.70625,7613.383331298828,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,55.28314208984375,29.20867919921875,0,0,65.40161895751953,64.57597351074219,61.84231185913086,42.64017105102539,0,0,0,0,7879061504,10733051904,5735960576,1028931584
199,1767788136534,845.4823913574219,1880,1,0.70625,7614.118865966797,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,62.346580505371094,46.06482696533203,0,0,71.99050903320313,77.73450469970703,71.7314453125,51.00263595581055,0,0,0,0,7879061504,10733051904,5754126336,1036890112
196,1767788136738,1213.8054962158203,1880,1,0.70625,7614.935531616211,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,72.26072692871094,62.55077362060547,0,0,82.36067199707031,67.67669677734375,82.52886962890625,75.35908508300781,0,0,0,0,7879061504,10733051904,5757276160,1036537856
200,1767788136935,1236.0765991210938,1880,1,0.70625,7615.737976074219,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,67.69160461425781,58.17382049560547,0,0,61.70351028442383,48.185848236083984,58.08066940307617,46.136837005615234,51.24995040893555,15.507469177246094,0,0,7879061504,10733051904,5758443520,1036681216
199,1767788137135,1214.0525512695313,1880,1,0.70625,7616.487060546875,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,65.50093078613281,57.629905700683594,0,0,67.7248306274414,62.43111038208008,54.086124420166016,42.91910171508789,27.454666137695313,8.540138244628906,0,0,7879061504,10733051904,5759840256,1037774848
199,1767788137336,1236.3589782714844,1880,1,0.70625,7617.263244628906,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,67.94607543945313,54.487831115722656,0,0,64.14878845214844,61.765865325927734,78.8675765991211,68.38159942626953,13.0721435546875,2.168426513671875,0,0,7879061504,10733051904,5758578688,1041309696
199,1767788137536,1236.4950561523438,1880,1,0.70625,7618.108673095703,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,69.67459106445313,53.082374572753906,0.4896240234375,0.4896240234375,65.35855102539063,62.516212463378906,67.62206268310547,48.311119079589844,55.859352111816406,30.090530395507813,0.4896697998046875,0.4896240234375,7879061504,10733051904,5756952576,1043169280
200,1767788137736,1236.6374206542969,1880,1,0.70625,7618.968307495117,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,72.87924194335938,64.36613464355469,0,0,67.5234375,57.78358459472656,63.637447357177734,61.221656799316406,59.527339935302734,41.01139831542969,0,0,7879061504,10733051904,5762273280,1041293312
200,1767788137936,846.3835601806641,1880,1,0.70625,7619.790740966797,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,66.98126220703125,53.155303955078125,0,0,72.39797973632813,65.83384704589844,66.52323913574219,55.093360900878906,51.93366622924805,35.894622802734375,0,0,7879061504,10733051904,5759954944,1040416768
199,1767788138137,1214.7591705322266,1880,1,0.70625,7620.707092285156,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,74.16898345947266,72.20326232910156,0.0202484130859375,0.020050048828125,76.18856048583984,70.46275329589844,69.74191284179688,56.0265007019043,48.6965446472168,33.18312072753906,0.020599365234375,0.0204010009765625,7879061504,10733051904,5770993664,1045676032
199,1767788138337,1214.8882904052734,1880,1,0.70625,7621.540496826172,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,65.99031066894531,45.3563346862793,0.03289031982421875,0.032989501953125,68.42594909667969,54.7449951171875,63.93299865722656,54.44070816040039,52.711666107177734,36.390262603759766,0.03269195556640625,0.03273773193359375,7879061504,10733051904,5774016512,1045594112
