Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767787966087,520.9482574462891,1880,1,0.70625,7000.14079284668,1893,1893,1813,1813,1813,1893,1813,1893,1813,1813,1813,1813,60.59973907470703,14.113265991210938,0,0,26.484298706054688,3.5093765258789063,28.800521850585938,4.60858154296875,64.44178009033203,67.00764465332031,0,0,7879061504,10733051904,5643599872,770265088
161,1767787966126,771.0387420654297,1880,1,1.05,7000.338729858398,1893,1893,1813,1813,1813,1893,1813,1893,1813,1813,1813,1813,67.91747283935547,17.462799072265625,0.490966796875,0.49072265625,60.50754928588867,19.001434326171875,56.29432678222656,50.09785079956055,42.74654006958008,37.310306549072266,0.490966796875,0.49072265625,7879061504,10733051904,5643014144,772198400
200,1767787966288,1106.5930786132813,1880,1,0.70625,7000.940460205078,1893,1893,1813,1813,1813,1893,1813,1893,1813,1813,1813,1813,62.793113708496094,24.140518188476563,0,0,47.379188537597656,14.740470886230469,43.736610412597656,18.002609252929688,60.658809661865234,14.415740966796875,0,0,7879061504,10733051904,5669318656,983789568
199,1767787966488,771.2162475585938,1880,1,0.70625,7001.738296508789,1893,1893,1813,1813,1813,1893,1813,1893,1813,1813,1813,1813,69.89874267578125,33.66527557373047,0,0,68.50227355957031,29.52703094482422,52.36689376831055,28.9361572265625,39.34026336669922,13.0853271484375,0,0,7879061504,10733051904,5680070656,991186944
200,1767787966688,1106.8445892333984,1880,1,0.70625,7002.447174072266,1893,1893,1813,1813,1813,1893,1813,1893,1813,1813,1813,1813,66.70709228515625,56.53740310668945,0.0478363037109375,0.0476837158203125,62.258811950683594,45.18296813964844,64.0868911743164,52.878753662109375,0.048583984375,0.04833221435546875,0.048187255859375,0.04798126220703125,7879061504,10733051904,5692542976,994381824
200,1767787966889,771.4892730712891,1880,1,0.70625,7003.231491088867,1893,1893,1813,1813,1813,1893,1813,1893,1813,1813,1813,1813,70.65789031982422,72.02569580078125,0.39788055419921875,0.3977813720703125,77.17135620117188,67.71925354003906,71.6395034790039,63.237152099609375,2.7918624877929688,2.035247802734375,0.39807891845703125,0.39792633056640625,7879061504,10733051904,5700116480,999686144
199,1767787967089,771.6091003417969,1880,1,0.70625,7004.101806640625,1893,1893,1813,1813,1813,1893,1813,1893,1813,1813,1813,1813,69.81564331054688,37.98800277709961,0.13121795654296875,0.13126373291015625,58.82938766479492,28.42041778564453,61.01219177246094,37.143524169921875,68.35494995117188,43.52119827270508,0.1309661865234375,0.131317138671875,7879061504,10733051904,5715865600,1004969984
200,1767787967289,771.732421875,1880,1,0.70625,7004.938751220703,1893,1893,1813,1813,1813,1893,1813,1893,1813,1813,1813,1813,66.42283630371094,53.904788970947266,0,0,68.2259750366211,38.71539306640625,59.87690734863281,38.7585563659668,77.229248046875,52.664859771728516,0,0,7879061504,10733051904,5723758592,1006460928
200,1767787967490,1107.373046875,1880,1,0.70625,7005.806945800781,1893,1893,1813,1813,1813,1893,1813,1893,1813,1813,1813,1813,73.1607894897461,56.632354736328125,0.0447845458984375,0.0446319580078125,69.59744262695313,49.468055725097656,58.10712432861328,54.053550720214844,72.14432525634766,60.58863067626953,0.0451812744140625,0.04498291015625,7879061504,10733051904,5730988032,1011916800
189,1767787967702,1107.522201538086,1880,1,0.70625,7006.63916015625,1893,1893,1813,1813,1813,1893,1813,1893,1813,1813,1813,1813,72.62690734863281,66.24430847167969,0.3484344482421875,0.348297119140625,75.69859313964844,58.56340789794922,63.53059387207031,70.80043029785156,4.6930389404296875,4.281036376953125,0.3489532470703125,0.34867095947265625,7879061504,10733051904,5732966400,1014120448
