Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1767787859187,1054.7381439208984,1880,1,0.70625,6608.554870605469,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,55.34364700317383,17.058189392089844,0,0,87.5981674194336,67.43312072753906,20.81982421875,6.9276275634765625,0,0,0,0,7879061504,10733051904,5639245824,765259776
159,1767787859228,1054.7767181396484,1880,1,0.70625,6608.724182128906,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,74.09678649902344,80.69896697998047,0,0,67.02139282226563,75.56475067138672,2.162994384765625,0,0,0,0,0,7879061504,10733051904,5638561792,768802816
200,1767787859388,1054.8992309570313,1880,1,0.70625,6609.278549194336,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,69.71710205078125,61.36800765991211,0,0,68.07807922363281,66.72642517089844,13.136878967285156,2.6050491333007813,0,0,0,0,7879061504,10733051904,5660184576,980234240
200,1767787859589,1038.287094116211,1880,1,0.70625,6609.975372314453,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,69.97542572021484,39.5854377746582,0,0,51.765625,57.735103607177734,64.96186065673828,32.111175537109375,0,0,0,0,7879061504,10733051904,5671407616,987119616
200,1767787859789,1055.1714477539063,1880,1,0.70625,6610.687973022461,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,68.08027648925781,42.463069915771484,0.35900115966796875,0.3589019775390625,72.17863464355469,50.618770599365234,71.96592712402344,44.67674255371094,0.35950469970703125,0.35935211181640625,0.3592529296875,0.359100341796875,7879061504,10733051904,5679013888,989306880
172,1767787860017,723.2601165771484,1880,1,0.70625,6611.596466064453,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,78.09851837158203,64.98424530029297,0.1123046875,0.11212921142578125,82.03108978271484,57.31493377685547,70.28694915771484,59.776981353759766,9.148590087890625,5.632774353027344,0.112518310546875,0.11248016357421875,7879061504,10733051904,5692841984,1000333312
200,1767787860190,1055.4530334472656,1880,1,0.70625,6612.311676025391,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,68.90200805664063,29.14525604248047,0.07022857666015625,0.03293609619140625,75.3758773803711,30.58776092529297,54.95729446411133,12.97607421875,67.87139129638672,26.248558044433594,0.07917022705078125,0.03351593017578125,7879061504,10733051904,5699334144,1003495424
200,1767787860390,1055.6013946533203,1880,1,0.70625,6613.103454589844,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,79.46522521972656,49.23971176147461,0.20163726806640625,0.20159149169921875,75.44401550292969,47.361175537109375,69.8421630859375,48.05473327636719,38.48924255371094,13.456527709960938,0.2021331787109375,0.2018890380859375,7879061504,10733051904,5716369408,1006505984
199,1767787860591,723.6123046875,1880,1,0.70625,6614.098281860352,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,66.46746826171875,73.63677215576172,0.46490478515625,0.46490478515625,65.51394653320313,70.15986633300781,72.57421875,43.93561935424805,72.12213897705078,68.71873474121094,0.4647064208984375,0.46480560302734375,7879061504,10733051904,5731692544,1010278400
200,1767787860791,723.7388916015625,1880,1,0.70625,6614.899765014648,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,74.3620376586914,60.61443328857422,0,0,66.20957946777344,53.51583480834961,68.20524597167969,50.581932067871094,32.47221374511719,20.818252563476563,0,0,7879061504,10733051904,5731192832,1013919744
199,1767787860991,1056.046371459961,1880,1,0.70625,6615.816024780273,1893,1893,1813,1813,1893,1893,1813,1813,1813,1813,1813,1813,73.00592041015625,71.69742584228516,0,0,77.67298126220703,63.47414016723633,74.43242645263672,54.728153228759766,74.23281860351563,53.888484954833984,0,0,7879061504,10733051904,5732536320,1010528256
